Iteration, Path length, Time, Planning, Flying
0, 0.724536, 1.895, 0.489, 1.02
1, 1.18836, 2.895, 0.489, 1.02
2, 1.27226, 2.895, 0.913, 1.04
3, 2.29482, 3.895, 0.913, 1.04
4, 2.94232, 3.895, 0.913, 1.04
5, 3.5352, 4.895, 0.954, 3.84
6, 3.97508, 4.895, 0.954, 3.84
7, 4.58691, 5.895, 1.012, 5.181
8, 5.35582, 5.895, 1.032, 7.94
9, 5.52808, 6.895, 1.091, 8.881
10, 5.6856, 6.895, 1.353, 10.139
11, 5.70688, 7.895, 2.034, 10.199
12, 5.71726, 7.895, 2.034, 10.199
13, 5.86197, 8.895, 2.953, 10.579
14, 5.90708, 8.895, 4.293, 10.719
15, 7.00219, 9.895, 4.332, 11.76
16, 7.051, 9.895, 5.572, 11.86
17, 7.77955, 10.895, 5.613, 11.88
18, 8.37924, 10.895, 5.613, 11.88
19, 9.34256, 11.896, 5.613, 11.88
20, 10.3695, 11.896, 5.613, 11.88
21, 11.477, 12.895, 5.633, 14.719
22, 12.7124, 12.895, 5.633, 14.719
23, 13.3972, 13.895, 5.633, 14.719
24, 14.4327, 13.895, 5.633, 14.719
25, 15.3322, 14.895, 5.654, 16.339
26, 16.1109, 14.895, 5.674, 20.679
27, 16.9739, 15.895, 5.715, 21.738
28, 17.42, 15.895, 5.734, 23.279
29, 18.0384, 16.895, 5.775, 24.198
30, 18.2356, 16.895, 6.475, 24.238
31, 19.1756, 17.895, 6.535, 25.278
32, 20.2698, 17.895, 6.535, 25.278
33, 20.8329, 18.895, 6.575, 26.158
34, 21.5483, 18.895, 6.575, 26.158
35, 22.9439, 19.895, 6.615, 26.798
36, 23.8238, 19.895, 6.615, 26.798
37, 24.4176, 20.895, 6.636, 28.157
38, 25.4867, 20.895, 6.636, 28.157
39, 26.1201, 21.895, 6.657, 29.276
40, 27.0499, 21.895, 6.657, 29.276
41, 27.6028, 22.895, 6.717, 30.375
42, 28.139, 22.895, 6.717, 30.375
43, 28.6515, 23.895, 6.776, 31.256
44, 29.3583, 23.895, 6.776, 31.256
45, 30.0651, 24.895, 6.796, 31.977
46, 30.4427, 24.895, 6.796, 40.337
47, 32.0276, 25.895, 6.855, 41.117
48, 32.1518, 25.895, 7.616, 41.256
49, 32.7853, 26.895, 7.655, 42.437
50, 33.658, 26.895, 7.655, 42.437
51, 34.629, 27.895, 7.696, 43.557
52, 35.0978, 27.895, 7.696, 43.557
53, 35.7011, 28.895, 7.735, 44.577
54, 36.663, 28.895, 7.735, 44.577
55, 37.0343, 29.895, 7.754, 45.258
56, 37.4661, 29.895, 7.754, 45.258
57, 38.0971, 30.895, 7.815, 46.017
58, 38.9536, 30.895, 7.815, 46.017
59, 39.9887, 31.895, 7.835, 46.758
60, 41.2247, 31.895, 7.854, 53.059
61, 42.1428, 32.896, 7.854, 53.059
62, 42.4662, 32.896, 7.854, 53.059
63, 43.308, 33.895, 7.895, 55.777
64, 43.8305, 33.895, 7.895, 55.777
65, 44.7351, 34.895, 7.956, 56.557
66, 45.7133, 34.895, 7.956, 56.557
67, 46.0716, 35.895, 7.975, 56.957
68, 47.494, 35.895, 7.975, 56.957
69, 48.4166, 36.895, 7.996, 58.097
70, 49.5353, 36.895, 7.996, 58.097
71, 49.6209, 37.895, 8.115, 58.918
72, 50.7995, 37.895, 8.115, 58.918
73, 50.864, 38.895, 9.475, 58.918
74, 51.3281, 38.895, 9.475, 58.918
75, 52.1451, 39.895, 9.537, 60.135
76, 53.3595, 39.895, 9.537, 60.135
77, 54.9828, 40.895, 9.578, 60.534
78, 55.6585, 40.895, 9.578, 60.534
79, 56.6482, 41.895, 9.599, 62.074
80, 57.1427, 41.895, 9.599, 62.074
81, 57.799, 42.895, 9.639, 62.453
82, 58.2925, 42.895, 9.639, 62.453
83, 59.1302, 43.895, 9.679, 63.554
84, 59.5173, 43.895, 9.679, 74.954
85, 60.156, 44.895, 9.739, 76.254
86, 60.1783, 44.895, 9.739, 76.254
87, 61.2993, 45.895, 9.759, 76.374
88, 61.9138, 45.895, 11.539, 76.394
89, 63.1481, 46.895, 11.578, 78.094
90, 64.162, 46.895, 11.578, 78.094
91, 64.9901, 47.895, 11.659, 79.134
92, 65.72, 47.895, 11.659, 79.134
93, 66.1999, 48.895, 11.719, 79.694
94, 66.822, 48.895, 11.719, 79.694
95, 67.6766, 49.895, 11.739, 80.634
96, 68.9656, 49.895, 11.739, 80.634
97, 70.4213, 50.895, 11.759, 81.674
98, 71.1472, 50.895, 11.759, 81.674
99, 72.3089, 51.895, 11.799, 83.033
100, 73.3319, 51.895, 11.799, 83.033
101, 73.8727, 52.895, 12.02, 83.173
102, 74.3478, 52.895, 12.02, 83.173
103, 75.4692, 53.895, 12.059, 84.813
104, 76.1225, 53.895, 12.059, 84.813
105, 76.5738, 54.895, 12.158, 85.714
106, 77.2269, 54.895, 12.298, 95.374
107, 77.8895, 55.895, 12.339, 96.073
108, 77.9247, 55.895, 12.339, 96.493
109, 78.3205, 56.895, 12.438, 97.215
110, 78.5854, 56.895, 13.358, 97.215
111, 79.3203, 57.895, 13.378, 98.215
112, 80.5055, 57.895, 13.378, 98.215
113, 80.884, 58.895, 13.417, 99.315
114, 81.776, 58.895, 13.417, 99.315
115, 82.8181, 59.895, 13.456, 100.056
116, 83.7051, 59.895, 13.456, 100.056
117, 84.3687, 60.895, 13.496, 101.516
118, 85.283, 60.895, 13.496, 101.516
119, 86.2534, 61.895, 13.496, 101.516
120, 86.6234, 61.895, 13.496, 101.516
121, 87.525, 62.895, 13.517, 103.436
122, 88.5114, 62.895, 13.517, 103.436
123, 88.8149, 63.896, 13.536, 104.276
124, 89.3574, 63.896, 13.536, 104.276
125, 90.5753, 64.895, 13.598, 105.335
126, 91.6261, 64.895, 13.598, 105.335
127, 92.4227, 65.895, 13.677, 106.235
128, 92.9386, 65.895, 13.677, 106.235
129, 93.9698, 66.896, 13.716, 106.896
130, 94.8042, 66.896, 13.716, 106.896
131, 95.5352, 67.895, 13.756, 108.077
132, 95.9719, 67.895, 13.756, 108.077
133, 96.1439, 68.895, 13.997, 108.836
