Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.548, 302.096, 9.4405, 215.104, 86.992, 2897.9
15.981, 302.096, 9.4405, 215.104, 86.992, 2897.9
18.935, 322.936, 10.0918, 231.712, 91.224, 2877.06
18.935, 322.936, 10.0918, 231.712, 91.224, 2877.06
18.935, 322.936, 10.0918, 231.712, 91.224, 2877.06
18.935, 322.936, 10.0918, 231.712, 91.224, 2877.06
18.935, 322.936, 10.0918, 231.712, 91.224, 2877.06
18.935, 322.936, 10.0918, 231.712, 91.224, 2877.06
19.934, 347.304, 10.8533, 250.408, 96.896, 2852.7
19.934, 347.304, 10.8533, 250.408, 96.896, 2852.7
19.934, 347.304, 10.8533, 250.408, 96.896, 2852.7
19.934, 347.304, 10.8533, 250.408, 96.896, 2852.7
19.934, 347.304, 10.8533, 250.408, 96.896, 2852.7
19.934, 347.304, 10.8533, 250.408, 96.896, 2852.7
20.937, 383.496, 11.9843, 278.904, 104.592, 2816.5
20.937, 383.496, 11.9843, 278.904, 104.592, 2816.5
20.937, 383.496, 11.9843, 278.904, 104.592, 2816.5
20.937, 383.496, 11.9843, 278.904, 104.592, 2816.5
20.937, 383.496, 11.9843, 278.904, 104.592, 2816.5
20.937, 383.496, 11.9843, 278.904, 104.592, 2816.5
21.938, 399.512, 12.4848, 291.488, 108.024, 2800.49
21.938, 399.512, 12.4848, 291.488, 108.024, 2800.49
21.938, 399.512, 12.4848, 291.488, 108.024, 2800.49
21.938, 399.512, 12.4848, 291.488, 108.024, 2800.49
21.938, 399.512, 12.4848, 291.488, 108.024, 2800.49
21.938, 399.512, 12.4848, 291.488, 108.024, 2800.49
22.938, 418.776, 13.0867, 306.736, 112.04, 2781.22
22.938, 418.776, 13.0867, 306.736, 112.04, 2781.22
22.938, 418.776, 13.0867, 306.736, 112.04, 2781.22
22.938, 418.776, 13.0867, 306.736, 112.04, 2781.22
22.938, 418.776, 13.0867, 306.736, 112.04, 2781.22
22.938, 418.776, 13.0867, 306.736, 112.04, 2781.22
23.94, 445.52, 13.9225, 327.192, 118.328, 2754.48
23.94, 445.52, 13.9225, 327.192, 118.328, 2754.48
23.94, 445.52, 13.9225, 327.192, 118.328, 2754.48
23.94, 445.52, 13.9225, 327.192, 118.328, 2754.48
23.94, 445.52, 13.9225, 327.192, 118.328, 2754.48
23.94, 445.52, 13.9225, 327.192, 118.328, 2754.48
24.936, 464.352, 14.511, 342.784, 121.568, 2735.65
24.936, 464.352, 14.511, 342.784, 121.568, 2735.65
24.936, 464.352, 14.511, 342.784, 121.568, 2735.65
24.936, 464.352, 14.511, 342.784, 121.568, 2735.65
24.936, 464.352, 14.511, 342.784, 121.568, 2735.65
24.936, 464.352, 14.511, 342.784, 121.568, 2735.65
25.936, 479.896, 14.9967, 353.544, 126.352, 2720.1
25.936, 479.896, 14.9967, 353.544, 126.352, 2720.1
25.936, 479.896, 14.9967, 353.544, 126.352, 2720.1
25.936, 479.896, 14.9967, 353.544, 126.352, 2720.1
25.936, 479.896, 14.9967, 353.544, 126.352, 2720.1
26.941, 497.848, 15.5577, 367.248, 130.6, 2702.15
26.941, 497.848, 15.5577, 367.248, 130.6, 2702.15
26.941, 497.848, 15.5577, 367.248, 130.6, 2702.15
26.941, 497.848, 15.5577, 367.248, 130.6, 2702.15
26.941, 497.848, 15.5577, 367.248, 130.6, 2702.15
26.941, 497.848, 15.5577, 367.248, 130.6, 2702.15
27.939, 509.928, 15.9352, 376.816, 133.112, 2690.07
27.939, 509.928, 15.9352, 376.816, 133.112, 2690.07
27.939, 509.928, 15.9352, 376.816, 133.112, 2690.07
27.939, 509.928, 15.9352, 376.816, 133.112, 2690.07
27.939, 509.928, 15.9352, 376.816, 133.112, 2690.07
27.939, 509.928, 15.9352, 376.816, 133.112, 2690.07
28.936, 529.12, 16.535, 393.16, 135.96, 2670.88
28.936, 529.12, 16.535, 393.16, 135.96, 2670.88
28.936, 529.12, 16.535, 393.16, 135.96, 2670.88
28.936, 529.12, 16.535, 393.16, 135.96, 2670.88
28.936, 529.12, 16.535, 393.16, 135.96, 2670.88
28.936, 529.12, 16.535, 393.16, 135.96, 2670.88
29.939, 543.432, 16.9822, 405.776, 137.656, 2656.57
29.939, 543.432, 16.9822, 405.776, 137.656, 2656.57
29.939, 543.432, 16.9822, 405.776, 137.656, 2656.57
29.939, 543.432, 16.9822, 405.776, 137.656, 2656.57
29.939, 543.432, 16.9822, 405.776, 137.656, 2656.57
29.939, 543.432, 16.9822, 405.776, 137.656, 2656.57
30.943, 562.184, 17.5682, 423.424, 138.76, 2637.82
30.943, 562.184, 17.5682, 423.424, 138.76, 2637.82
30.943, 562.184, 17.5682, 423.424, 138.76, 2637.82
30.943, 562.184, 17.5682, 423.424, 138.76, 2637.82
30.943, 562.184, 17.5682, 423.424, 138.76, 2637.82
30.943, 562.184, 17.5682, 423.424, 138.76, 2637.82
31.938, 574.488, 17.9527, 435.096, 139.392, 2625.51
31.938, 574.488, 17.9527, 435.096, 139.392, 2625.51
31.938, 574.488, 17.9527, 435.096, 139.392, 2625.51
31.938, 574.488, 17.9527, 435.096, 139.392, 2625.51
31.938, 574.488, 17.9527, 435.096, 139.392, 2625.51
31.938, 574.488, 17.9527, 435.096, 139.392, 2625.51
32.94, 583.464, 18.2332, 442.224, 141.24, 2616.54
32.94, 583.464, 18.2332, 442.224, 141.24, 2616.54
32.94, 583.464, 18.2332, 442.224, 141.24, 2616.54
32.94, 583.464, 18.2332, 442.224, 141.24, 2616.54
32.94, 583.464, 18.2332, 442.224, 141.24, 2616.54
32.94, 583.464, 18.2332, 442.224, 141.24, 2616.54
33.937, 590.632, 18.4572, 449.136, 141.496, 2609.37
33.937, 590.632, 18.4572, 449.136, 141.496, 2609.37
33.937, 590.632, 18.4572, 449.136, 141.496, 2609.37
33.937, 590.632, 18.4572, 449.136, 141.496, 2609.37
33.937, 590.632, 18.4572, 449.136, 141.496, 2609.37
33.937, 590.632, 18.4572, 449.136, 141.496, 2609.37
34.935, 599.624, 18.7382, 455.056, 144.568, 2600.38
34.935, 599.624, 18.7382, 455.056, 144.568, 2600.38
34.935, 599.624, 18.7382, 455.056, 144.568, 2600.38
34.935, 599.624, 18.7382, 455.056, 144.568, 2600.38
34.935, 599.624, 18.7382, 455.056, 144.568, 2600.38
34.935, 599.624, 18.7382, 455.056, 144.568, 2600.38
