Goal x, Goal y, Goal z, Planner
0.04695, 16.9426, 1, racer
0.322344, 16.646, 1.00004, racer
0.317304, 16.6177, 1, racer
0.348418, 16.6573, 0.99991, racer
0.568966, 17.0731, 1.00023, racer
0.553192, 16.9739, 1.00028, racer
0.404841, 16.7147, 1.00009, racer
0.40667, 16.7189, 1.00019, racer
0.405576, 16.7144, 1.00001, racer
0.354152, 16.685, 0.987443, racer
0.110018, 16.991, 0.915183, racer
0.269165, 17.2002, 0.961856, racer
1.47611, 16.5696, 1.00081, racer
2.10891, 16.5834, 1.00091, racer
1.77836, 17.4648, 0.950829, racer
1.44989, 17.615, 0.658227, racer
0.23047, 17.6978, 1.1353, racer
-0.831958, 17.8296, 1.42126, racer
-0.846757, 17.4338, 1.29701, racer
-0.00390389, 16.8238, 1.03727, racer
0.947348, 16.9889, 0.98843, racer
1.4475, 18.0729, 1.09832, racer
1.76156, 18.6257, 1.12014, racer
2.05392, 17.9413, 1.09519, racer
1.4397, 17.8075, 1.39817, racer
0.416611, 18.3126, 1.66955, racer
-0.354887, 18.5682, 1.60698, racer
-1.06101, 18.6093, 0.986035, racer
-1.30154, 18.0451, 1.3938, racer
-1.84498, 17.7591, 1.99321, racer
-2.47051, 18.1477, 1.66375, racer
-2.75421, 18.4743, 0.635004, racer
-2.75, 18.5603, 0.585376, racer
-2.0252, 18.4947, 1.33823, racer
-1.68772, 17.9517, 1.77142, racer
-1.41844, 17.6536, 1.73181, racer
-0.750556, 18.4879, 1.79364, racer
-1.1365, 18.6283, 1.73043, racer
-1.76419, 18.2195, 1.68739, racer
-1.22223, 18.1108, 1.57356, racer
-0.130931, 18.5441, 1.31091, racer
-0.0192507, 18.5079, 1.88775, racer
0.378335, 18.4745, 1.93347, racer
0.569826, 17.5349, 1.32401, racer
0.711702, 16.9334, 0.857512, racer
0.613546, 17.1736, 1.11603, racer
0.536797, 17.6747, 1.4438, racer
0.543831, 17.677, 1.44736, racer
0.479534, 17.0167, 1.30515, racer
0.494877, 16.1205, 0.865699, racer
1.39207, 16.4894, 0.963067, racer
2.13901, 16.5571, 0.974718, racer
2.67344, 16.0276, 1.00456, racer
2.93706, 16.6006, 0.988108, racer
3.02932, 17.1593, 0.810597, racer
2.94435, 16.631, 1.03401, racer
2.72838, 15.6152, 1.00414, racer
2.84407, 16.1445, 0.964041, racer
2.94334, 16.7607, 0.981967, racer
3.58249, 17.3006, 1.11091, racer
4.42663, 17.9253, 1.53064, racer
4.74821, 18.588, 1.45586, racer
5.19744, 18.0536, 0.922573, racer
5.09964, 16.9949, 1.02672, racer
4.41093, 16.9621, 1.19878, racer
4.47292, 17.6314, 1.14708, racer
5.48975, 17.9614, 0.982694, racer
