start-time,duration,end-time,type-of-collision
284.097,1.131,285.228,Agent-Human
292.057,1.2130000000000001,293.27,Agent-Human
327.26,1.1910000000000001,328.451,Agent-Human
371.415,0.92200000000000004,372.337,Agent-Human
465.652,1.4279999999999999,467.08,Agent-Human
474.026,0.85399999999999998,474.88,Agent-Human
508.888,1.1879999999999999,510.076,Agent-Human
553.101,0.97999999999999998,554.081,Agent-Human
647.48,1.2150000000000001,648.695,Agent-Human
655.793,1.1950000000000001,656.988,Agent-Human
690.913,0.85099999999999998,691.764,Agent-Human
734.928,1.137,736.065,Agent-Human
