Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.969, 291.784, 9.11825, 213.912, 77.872, 2908.22
7.987, 291.784, 9.11825, 213.912, 77.872, 2908.22
10.952, 291.784, 9.11825, 213.912, 77.872, 2908.22
10.952, 309.576, 9.67425, 227.192, 82.384, 2890.42
14.011, 309.576, 9.67425, 227.192, 82.384, 2890.42
14.011, 309.576, 9.67425, 227.192, 82.384, 2890.42
14.011, 309.576, 9.67425, 227.192, 82.384, 2890.42
14.011, 309.576, 9.67425, 227.192, 82.384, 2890.42
14.011, 309.576, 9.67425, 227.192, 82.384, 2890.42
14.011, 330.816, 10.338, 244.088, 86.728, 2869.18
15.012, 330.816, 10.338, 244.088, 86.728, 2869.18
15.012, 330.816, 10.338, 244.088, 86.728, 2869.18
15.012, 330.816, 10.338, 244.088, 86.728, 2869.18
15.012, 330.816, 10.338, 244.088, 86.728, 2869.18
15.012, 330.816, 10.338, 244.088, 86.728, 2869.18
15.012, 356.288, 11.134, 265.064, 91.224, 2843.71
16.011, 356.288, 11.134, 265.064, 91.224, 2843.71
16.011, 356.288, 11.134, 265.064, 91.224, 2843.71
16.011, 356.288, 11.134, 265.064, 91.224, 2843.71
16.011, 356.288, 11.134, 265.064, 91.224, 2843.71
16.011, 356.288, 11.134, 265.064, 91.224, 2843.71
16.011, 378.04, 11.8138, 280.696, 97.344, 2821.96
17.011, 378.04, 11.8138, 280.696, 97.344, 2821.96
17.011, 378.04, 11.8138, 280.696, 97.344, 2821.96
17.011, 378.04, 11.8138, 280.696, 97.344, 2821.96
17.011, 378.04, 11.8138, 280.696, 97.344, 2821.96
17.011, 378.04, 11.8138, 280.696, 97.344, 2821.96
17.011, 399.784, 12.4933, 296.264, 103.52, 2800.22
18.01, 399.784, 12.4933, 296.264, 103.52, 2800.22
18.01, 399.784, 12.4933, 296.264, 103.52, 2800.22
18.01, 399.784, 12.4933, 296.264, 103.52, 2800.22
18.01, 399.784, 12.4933, 296.264, 103.52, 2800.22
18.01, 399.784, 12.4933, 296.264, 103.52, 2800.22
18.01, 418.84, 13.0887, 312.2, 106.64, 2781.16
19.011, 418.84, 13.0887, 312.2, 106.64, 2781.16
19.011, 418.84, 13.0887, 312.2, 106.64, 2781.16
19.011, 418.84, 13.0887, 312.2, 106.64, 2781.16
