start-time,duration,end-time,type-of-collision
211.595,0.60899999999999999,212.204,Agent-Human
446.149,0.069000000000000006,446.218,Agent-Human
649.07,0.40699999999999997,649.477,Agent-Human
671.47,0.20200000000000001,671.672,Agent-Human
671.74,0.74299999999999999,672.483,Agent-Human
724.9,1.2150000000000001,726.115,Agent-Human
752.098,1.284,753.382,Agent-Human
756.358,1.083,757.441,Agent-Human
809.985,1.2150000000000001,811.2,Agent-Human
848.867,1.149,850.016,Agent-Human
853.195,1.083,854.278,Agent-Human
906.703,1.216,907.919,Agent-Human
934.039,1.083,935.122,Agent-Human
938.098,1.1539999999999999,939.252,Agent-Human
991.874,1.0800000000000001,992.954,Agent-Human
1030.821,1.012,1031.833,Agent-Human
1034.809,1.216,1036.025,Agent-Human
1088.749,1.083,1089.832,Agent-Human
1115.806,1.014,1116.82,Agent-Human
1119.799,1.2869999999999999,1121.086,Agent-Human
1173.664,1.081,1174.745,Agent-Human
624.597,0.54200000000000004,625.139,Agent-Agent
