Iteration, Path length, Time, Planning, Flying
1, 0.0787304, 0.935, 0.448, 0.481
2, 0.300891, 1.936, 0.467, 1.461
3, 0.484703, 2.935, 0.487, 2.443
4, 0.569469, 3.936, 0.588, 3.342
5, 0.706106, 4.935, 0.709, 4.22
6, 0.769097, 5.935, 1.03, 4.898
7, 1.45391, 6.935, 1.03, 5.898
8, 2.59129, 7.935, 1.03, 6.9
9, 3.87359, 8.935, 1.03, 7.9
10, 4.7494, 9.936, 1.03, 8.9
11, 5.56142, 10.936, 1.03, 9.9
12, 6.1271, 11.936, 1.03, 10.898
13, 6.88061, 12.935, 1.03, 11.901
14, 8.00152, 13.935, 1.03, 12.9
15, 8.55609, 14.936, 1.03, 13.898
16, 9.24965, 15.935, 1.03, 14.9
17, 10.2302, 16.935, 1.03, 15.9
18, 11.1427, 17.936, 1.03, 16.898
19, 12.1307, 18.936, 1.03, 17.9
20, 12.6186, 19.935, 1.03, 18.9
21, 13.7517, 20.936, 1.03, 19.9
22, 14.3658, 21.936, 1.03, 20.9
23, 15.3769, 22.936, 1.03, 21.899
24, 16.4316, 23.935, 1.03, 22.9
25, 17.445, 24.935, 1.03, 23.9
26, 18.4015, 25.935, 1.03, 24.9
27, 18.8369, 26.936, 1.03, 25.902
28, 20.0756, 27.936, 1.03, 26.899
29, 20.6376, 28.935, 1.03, 27.899
30, 21.7359, 29.936, 1.03, 28.9
31, 22.9443, 30.935, 1.03, 29.9
32, 23.7033, 31.936, 1.03, 30.901
33, 24.2867, 32.936, 1.03, 31.898
34, 25.143, 33.935, 1.03, 32.9
35, 26.1538, 34.936, 1.03, 33.898
36, 27.2914, 35.937, 1.03, 34.901
37, 28.31, 36.936, 1.03, 35.9
38, 28.8772, 37.935, 1.03, 36.901
39, 29.5685, 38.936, 1.03, 37.899
40, 30.5375, 39.935, 1.03, 38.9
41, 31.2938, 40.935, 1.03, 39.899
42, 32.2988, 41.936, 1.03, 40.898
43, 33.3546, 42.936, 1.03, 41.898
44, 34.3016, 43.935, 1.03, 42.901
45, 35.2054, 44.935, 1.03, 43.901
46, 36.3123, 45.936, 1.03, 44.899
47, 37.0493, 46.935, 1.03, 45.901
48, 37.6877, 47.936, 1.03, 46.899
49, 38.9947, 48.935, 1.03, 47.899
50, 39.8404, 49.935, 1.03, 48.899
51, 40.5092, 50.936, 1.03, 49.901
52, 41.3994, 51.938, 1.03, 50.902
53, 42.2202, 52.935, 1.03, 51.9
54, 43.1062, 53.936, 1.03, 52.898
55, 44.2127, 54.936, 1.03, 53.901
56, 45.1501, 55.935, 1.03, 54.898
57, 46.269, 56.935, 1.03, 55.898
58, 46.6487, 57.935, 1.03, 56.902
59, 47.7745, 58.935, 1.03, 57.9
60, 48.5511, 59.935, 1.03, 58.899
61, 49.6928, 60.935, 1.03, 59.9
62, 50.5904, 61.936, 1.03, 60.898
63, 50.8984, 62.935, 1.03, 61.901
64, 51.7151, 63.935, 1.03, 62.901
65, 52.6504, 64.936, 1.03, 63.901
66, 53.4818, 65.935, 1.03, 64.898
67, 54.4329, 66.935, 1.03, 65.9
68, 55.0151, 67.935, 1.03, 66.902
69, 56.2459, 68.936, 1.03, 67.898
70, 56.815, 69.935, 1.03, 68.9
71, 57.8205, 70.935, 1.03, 69.9
72, 58.7702, 71.936, 1.03, 70.898
73, 59.8733, 72.935, 1.03, 71.899
74, 60.6711, 73.935, 1.03, 72.899
75, 61.4612, 74.935, 1.03, 73.899
76, 61.9537, 75.935, 1.03, 74.9
77, 62.9105, 76.935, 1.03, 75.9
78, 64.0357, 77.936, 1.03, 76.9
79, 65.2494, 78.936, 1.03, 77.901
80, 65.9581, 79.935, 1.03, 78.899
81, 66.9706, 80.936, 1.03, 79.901
82, 67.8546, 81.935, 1.03, 80.9
83, 68.7127, 82.935, 1.03, 81.9
84, 69.4041, 83.935, 1.071, 82.859
85, 69.6331, 84.935, 1.471, 83.458
86, 70.8753, 85.936, 1.471, 84.458
87, 72.5734, 86.936, 1.471, 85.46
88, 74.2075, 87.936, 1.471, 86.46
89, 75.7329, 88.935, 1.471, 87.46
90, 76.4791, 89.935, 1.471, 88.459
91, 77.3842, 90.935, 1.471, 89.459
92, 78.2037, 91.936, 1.471, 90.459
93, 79.3154, 92.935, 1.471, 91.458
94, 80.3825, 93.936, 1.471, 92.459
95, 81.1268, 94.936, 1.471, 93.458
96, 82.1449, 95.935, 1.471, 94.459
97, 82.9766, 96.935, 1.471, 95.461
98, 84.1851, 97.937, 1.471, 96.458
99, 84.7752, 98.935, 1.471, 97.46
100, 85.8402, 99.936, 1.471, 98.459
101, 86.8446, 100.935, 1.471, 99.459
102, 87.7183, 101.935, 1.471, 100.459
103, 89.0173, 102.935, 1.471, 101.46
104, 90.029, 103.936, 1.471, 102.459
105, 91.299, 104.935, 1.471, 103.458
106, 92.2254, 105.935, 1.471, 104.46
107, 92.982, 106.936, 1.471, 105.459
108, 94.0715, 107.935, 1.471, 106.458
109, 94.7189, 108.935, 1.471, 107.459
110, 95.0466, 109.935, 1.471, 108.459
111, 95.7804, 110.935, 1.471, 109.459
112, 96.6745, 111.935, 1.471, 110.459
113, 97.864, 112.935, 1.471, 111.458
114, 98.8354, 113.936, 1.471, 112.459
115, 100.079, 114.935, 1.471, 113.46
116, 100.556, 115.935, 1.471, 114.457
117, 101.732, 116.935, 1.471, 115.459
118, 102.618, 117.935, 1.471, 116.458
119, 103.828, 118.935, 1.471, 117.458
120, 104.973, 119.935, 1.471, 118.458
121, 106.399, 120.936, 1.471, 119.459
122, 107.118, 121.936, 1.471, 120.459
123, 108.274, 122.935, 1.471, 121.459
124, 109.28, 123.935, 1.471, 122.459
125, 109.593, 124.935, 1.471, 123.459
126, 110.695, 125.935, 1.471, 124.461
127, 111.737, 126.936, 1.471, 125.46
128, 113.063, 127.935, 1.471, 126.459
129, 114.538, 128.936, 1.471, 127.46
130, 115.545, 129.936, 1.471, 128.459
131, 116.17, 130.935, 1.471, 129.457
132, 117.158, 131.935, 1.471, 130.457
133, 118.143, 132.936, 1.471, 131.46
134, 119.029, 133.935, 1.471, 132.459
135, 120.121, 134.935, 1.471, 133.46
136, 121.582, 135.935, 1.471, 134.459
137, 122.656, 136.935, 1.491, 135.439
138, 123.121, 137.936, 1.491, 136.437
139, 124.507, 138.935, 1.491, 137.439
140, 126.029, 139.936, 1.491, 138.437
141, 127.074, 140.935, 1.491, 139.44
142, 128.164, 141.936, 1.491, 140.437
143, 128.652, 142.935, 1.491, 141.44
144, 129.866, 143.935, 1.491, 142.439
145, 131.486, 144.935, 1.491, 143.437
146, 132.221, 145.935, 1.491, 144.437
147, 133.137, 146.936, 1.491, 145.437
148, 134.494, 147.935, 1.491, 146.437
149, 135.358, 148.935, 1.511, 147.417
150, 135.858, 149.936, 1.511, 148.419
151, 136.341, 150.936, 1.511, 149.42
152, 137.262, 151.936, 1.511, 150.418
153, 138.44, 152.936, 1.511, 151.42
154, 139.455, 153.935, 1.511, 152.418
155, 139.862, 154.936, 1.511, 153.419
156, 140.804, 155.935, 1.511, 154.419
157, 142.274, 156.936, 1.511, 155.42
158, 143.563, 157.936, 1.511, 156.418
159, 144.475, 158.935, 1.511, 157.42
160, 145.401, 159.935, 1.511, 158.42
161, 146.007, 160.936, 1.511, 159.42
162, 146.972, 161.935, 1.511, 160.419
163, 148.412, 162.935, 1.511, 161.418
164, 149.406, 163.935, 1.511, 162.419
165, 150.626, 164.936, 1.511, 163.417
166, 151.399, 165.936, 1.511, 164.42
167, 152.586, 166.935, 1.511, 165.42
168, 153.482, 167.935, 1.528, 166.402
169, 154.256, 168.935, 1.528, 167.402
170, 155.581, 169.935, 1.528, 168.402
171, 156.287, 170.935, 1.528, 169.403
172, 157.401, 171.935, 1.528, 170.4
173, 158.249, 172.936, 1.528, 171.402
174, 159.198, 173.935, 1.528, 172.402
175, 160.181, 174.935, 1.528, 173.404
176, 161.106, 175.935, 1.528, 174.405
177, 161.783, 176.935, 1.528, 175.401
178, 162.614, 177.935, 1.528, 176.4
179, 163.442, 178.936, 1.528, 177.403
180, 164.393, 179.935, 1.528, 178.402
181, 165.588, 180.935, 1.528, 179.403
182, 165.928, 181.935, 1.528, 180.404
183, 167.026, 182.936, 1.528, 181.402
184, 168.481, 183.936, 1.528, 182.402
185, 169.484, 184.935, 1.528, 183.401
186, 170.455, 185.936, 1.528, 184.402
187, 171.564, 186.935, 1.528, 185.401
188, 172.478, 187.937, 1.528, 186.403
189, 173.428, 188.935, 1.528, 187.401
190, 174.242, 189.936, 1.528, 188.401
191, 175.215, 190.935, 1.528, 189.402
192, 176.142, 191.935, 1.528, 190.402
193, 176.77, 192.935, 1.528, 191.403
194, 177.461, 193.935, 1.528, 192.403
195, 178.105, 194.935, 1.528, 193.402
196, 179.281, 195.935, 1.528, 194.4
197, 180.385, 196.935, 1.528, 195.402
198, 180.762, 197.935, 1.528, 196.402
199, 181.754, 198.936, 1.528, 197.401
200, 182.886, 199.935, 1.528, 198.403
201, 183.584, 200.935, 1.528, 199.401
202, 184.54, 201.935, 1.528, 200.402
203, 185.708, 202.935, 1.528, 201.4
204, 186.547, 203.935, 1.528, 202.403
205, 187.016, 204.935, 1.528, 203.404
206, 188.013, 205.935, 1.528, 204.403
207, 189.003, 206.935, 1.528, 205.401
208, 189.911, 207.935, 1.528, 206.4
209, 190.883, 208.935, 1.528, 207.401
210, 191.802, 209.936, 1.528, 208.403
211, 192.585, 210.935, 1.528, 209.402
212, 193.267, 211.935, 1.528, 210.401
213, 194.332, 212.935, 1.528, 211.402
214, 195.536, 213.936, 1.528, 212.404
215, 196.164, 214.936, 1.528, 213.403
216, 197.088, 215.936, 1.528, 214.404
217, 198.043, 216.935, 1.528, 215.401
218, 198.864, 217.935, 1.528, 216.401
219, 199.154, 218.935, 1.528, 217.402
220, 200.063, 219.936, 1.528, 218.402
221, 201.293, 220.935, 1.528, 219.402
222, 202.116, 221.936, 1.528, 220.402
223, 202.976, 222.935, 1.528, 221.403
224, 203.923, 223.935, 1.528, 222.401
225, 204.535, 224.935, 1.528, 223.402
226, 205.109, 225.935, 1.528, 224.402
227, 206.117, 226.935, 1.528, 225.401
228, 207.032, 227.935, 1.528, 226.4
229, 207.792, 228.935, 1.528, 227.401
230, 208.806, 229.936, 1.528, 228.402
231, 209.611, 230.935, 1.528, 229.401
232, 210.728, 231.935, 1.528, 230.403
233, 211.768, 232.935, 1.528, 231.4
234, 212.331, 233.935, 1.528, 232.4
235, 213.311, 234.936, 1.528, 233.402
236, 214.024, 235.936, 1.528, 234.4
237, 215.007, 236.936, 1.528, 235.401
238, 216.037, 237.935, 1.528, 236.402
239, 216.604, 238.936, 1.528, 237.403
240, 217.212, 239.935, 1.528, 238.401
241, 218.279, 240.936, 1.528, 239.403
242, 219.005, 241.935, 1.528, 240.402
243, 219.97, 242.935, 1.528, 241.402
244, 220.662, 243.936, 1.528, 242.401
245, 221.293, 244.935, 1.528, 243.402
246, 222.631, 245.935, 1.528, 244.401
247, 223.397, 246.936, 1.528, 245.402
248, 223.858, 247.936, 1.528, 246.4
249, 224.608, 248.935, 1.528, 247.402
