Goal x, Goal y, Goal z, Planner
-16.9288, 17.0178, 0.999979, racer
-16.5697, 17.1087, 1.00001, racer
-16.5537, 17.1855, 1, racer
-16.5274, 17.1095, 1, racer
-16.5053, 17.0492, 1.0001, racer
-15.9975, 16.8035, 1.09157, racer
-15.0983, 16.2115, 1.12855, racer
-14.5894, 16.3696, 0.989854, racer
-13.6117, 16.953, 0.79971, racer
-13.1899, 17.3671, 0.946094, racer
-13.2631, 17.5015, 1.27019, racer
-13.0245, 16.7528, 1.15391, racer
-12.6746, 16.117, 0.978272, racer
-12.3852, 15.1667, 0.994015, racer
-12.1378, 14.2554, 1.02581, racer
-11.9171, 12.9877, 1.01024, racer
-12.568, 12.5092, 1.0347, racer
-13.4159, 12.0539, 1.04173, racer
-13.6537, 11.8103, 1.0343, racer
-14.2019, 11.0268, 1.05527, racer
-14.7593, 10.3304, 0.9888, racer
-14.9228, 10.0504, 1.13003, racer
-15.2277, 10.6193, 1.22541, racer
-15.2307, 11.5204, 0.943037, racer
-14.9726, 12.1981, 1.01209, racer
-15.6835, 12.849, 1.17158, racer
-16.2148, 13.6032, 0.980645, racer
-16.2562, 14.1218, 0.789228, racer
-16.5541, 13.5164, 1.0754, racer
-16.9563, 12.8186, 0.866506, racer
-17.5357, 13.1712, 0.9608, racer
-17.9182, 13.9894, 1.08213, racer
-18.0538, 15.17, 0.996608, racer
-18.302, 15.9678, 1.1128, racer
-17.9668, 15.8084, 1.15162, racer
-17.133, 15.241, 1.22272, racer
-16.8015, 14.5992, 1.11128, racer
-15.9866, 14.0351, 1.00835, racer
-15.1778, 13.4219, 0.98837, racer
-14.6567, 12.3754, 0.958236, racer
-14.8559, 11.6806, 0.991747, racer
-15.1539, 11.7375, 1.07238, racer
-15.3785, 12.5284, 1.06661, racer
-16.1179, 12.7725, 1.10915, racer
-17.0813, 12.5096, 0.910536, racer
-17.6018, 12.2486, 1.15348, racer
-18.5051, 11.5952, 1.22794, racer
-18.81, 10.7541, 1.04622, racer
-19.0341, 10.0597, 1.1125, racer
-19.0555, 10.3713, 1.36011, racer
-18.7943, 11.363, 1.62152, racer
-18.0777, 12.0241, 1.39136, racer
-18.0647, 12.5393, 1.15204, racer
-18.9683, 13.0764, 1.14403, racer
-19.4176, 13.5499, 1.49272, racer
-19.2393, 14.3265, 1.94052, racer
-18.8459, 14.5431, 1.82561, racer
-18.0827, 14.5675, 1.12003, racer
-17.0896, 14.2652, 0.889787, racer
-16.4782, 13.8269, 1.09886, racer
-15.6094, 13.2781, 1.02258, racer
-14.9861, 13.7762, 1.01799, racer
-14.6685, 14.604, 0.980277, racer
-14.9601, 15.543, 1.14697, racer
-15.7859, 16.2901, 1.18724, racer
-15.7757, 16.2723, 1.14651, racer
-15.1524, 15.4284, 1.20898, racer
-14.8675, 14.5015, 1.53615, racer
-14.3837, 13.416, 1.59446, racer
-14.1014, 12.5376, 1.1029, racer
-13.6192, 12.0509, 0.973006, racer
-13.6553, 12.0188, 0.961098, racer
-13.3146, 11.3047, 0.880544, racer
-12.6262, 10.8843, 0.981252, racer
-11.9789, 10.9557, 1.14028, racer
-11.1723, 11.2748, 1.52871, racer
-10.5965, 11.4192, 1.57996, racer
-9.75515, 12.0029, 1.28043, racer
-9.27368, 12.4505, 1.11056, racer
-9.04253, 11.9734, 1.07165, racer
-9.18346, 11.3552, 1.5155, racer
-8.38895, 10.9861, 1.26015, racer
-7.38164, 10.742, 0.970127, racer
-6.63542, 10.8836, 1.13113, racer
-6.30723, 10.1536, 1.40891, racer
-6.02609, 9.52699, 1.18342, racer
-6.64418, 9.26222, 1.35156, racer
-7.41378, 8.54996, 1.23837, racer
-8.00648, 8.13506, 1.0805, racer
-8.65917, 7.37863, 1.0632, racer
-9.28757, 7.15672, 0.960214, racer
-9.46898, 7.12682, 1.17981, racer
-8.9442, 6.16302, 1.37307, racer
-8.57905, 5.40856, 1.02638, racer
-7.70341, 5.14523, 1.01308, racer
-6.99988, 4.74291, 0.691396, racer
-7.15619, 4.27613, 0.994001, racer
-7.74568, 3.38727, 1.12242, racer
-8.08237, 2.82802, 1.2086, racer
-8.98361, 2.63977, 1.26265, racer
-9.78257, 2.79754, 1.08032, racer
-9.69315, 2.51944, 1.06085, racer
-9.06703, 1.66826, 1.22311, racer
-9.41279, 1.34014, 1.23996, racer
-10.5451, 1.42698, 1.14133, racer
-11.1262, 1.17444, 1.09056, racer
-12.0752, 0.88715, 1.46387, racer
-12.58, 0.854295, 1.18181, racer
-13.0675, 0.969328, 0.962479, racer
-13.7589, 1.27603, 1.11096, racer
-14.8211, 1.71523, 0.880357, racer
-15.6057, 2.05453, 1.00566, racer
-16.5904, 2.37665, 1.42037, racer
-16.8224, 2.85186, 1.3754, racer
-17.3182, 3.72632, 1.1108, racer
-17.8848, 4.29704, 1.49727, racer
-18.6303, 5.12133, 1.57672, racer
-18.6675, 5.19811, 0.900233, racer
-18.0048, 4.7757, 0.981066, racer
-17.4292, 3.97943, 1.06012, racer
-17.7674, 3.01544, 1.02469, racer
-18.5068, 2.30222, 1.03665, racer
-19.0418, 1.62115, 1.51474, racer
-19.2211, 0.847748, 1.7333, racer
-18.9604, 0.338303, 1.57431, racer
-18.637, -0.538289, 1.13049, racer
-18.2649, -1.37444, 1.10961, racer
-17.368, -1.53936, 0.908035, racer
-16.5662, -1.59111, 1.23114, racer
-16.232, -1.74637, 1.27651, racer
-16.5152, -2.60811, 1.24939, racer
-16.8152, -3.57984, 1.14635, racer
-17.2654, -4.1567, 0.946612, racer
-17.9884, -4.55815, 0.8967, racer
-17.7575, -4.97851, 0.961932, racer
