Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.969, 84.6, 2.64375, 61, 23.6, 3115.4
2.969, 84.6, 2.64375, 61, 23.6, 3115.4
3.968, 84.6, 2.64375, 61, 23.6, 3115.4
3.968, 100.264, 3.13325, 71.968, 28.296, 3099.74
3.968, 100.264, 3.13325, 71.968, 28.296, 3099.74
3.968, 100.264, 3.13325, 71.968, 28.296, 3099.74
4.969, 125.704, 3.92825, 91.256, 34.448, 3074.3
4.969, 125.704, 3.92825, 91.256, 34.448, 3074.3
4.969, 125.704, 3.92825, 91.256, 34.448, 3074.3
4.969, 125.704, 3.92825, 91.256, 34.448, 3074.3
5.968, 148.272, 4.6335, 106.84, 41.432, 3051.73
5.968, 148.272, 4.6335, 106.84, 41.432, 3051.73
5.968, 148.272, 4.6335, 106.84, 41.432, 3051.73
5.968, 148.272, 4.6335, 106.84, 41.432, 3051.73
6.968, 148.272, 4.6335, 106.84, 41.432, 3051.73
6.968, 176.216, 5.50675, 127.432, 48.784, 3023.78
6.968, 176.216, 5.50675, 127.432, 48.784, 3023.78
6.968, 176.216, 5.50675, 127.432, 48.784, 3023.78
7.968, 203.008, 6.344, 148.416, 54.592, 2996.99
7.968, 203.008, 6.344, 148.416, 54.592, 2996.99
7.968, 203.008, 6.344, 148.416, 54.592, 2996.99
7.968, 203.008, 6.344, 148.416, 54.592, 2996.99
8.968, 233.672, 7.30225, 171.2, 62.472, 2966.33
8.968, 233.672, 7.30225, 171.2, 62.472, 2966.33
8.968, 233.672, 7.30225, 171.2, 62.472, 2966.33
8.968, 233.672, 7.30225, 171.2, 62.472, 2966.33
9.969, 252.112, 7.8785, 186.184, 65.928, 2947.89
9.969, 252.112, 7.8785, 186.184, 65.928, 2947.89
9.969, 252.112, 7.8785, 186.184, 65.928, 2947.89
9.969, 252.112, 7.8785, 186.184, 65.928, 2947.89
10.968, 261.008, 8.1565, 194.16, 66.848, 2938.99
10.968, 261.008, 8.1565, 194.16, 66.848, 2938.99
10.968, 261.008, 8.1565, 194.16, 66.848, 2938.99
10.968, 261.008, 8.1565, 194.16, 66.848, 2938.99
11.968, 280.488, 8.76525, 211.208, 69.28, 2919.51
11.968, 280.488, 8.76525, 211.208, 69.28, 2919.51
11.968, 280.488, 8.76525, 211.208, 69.28, 2919.51
11.968, 280.488, 8.76525, 211.208, 69.28, 2919.51
12.968, 300.768, 9.399, 227.92, 72.848, 2899.23
12.968, 300.768, 9.399, 227.92, 72.848, 2899.23
12.968, 300.768, 9.399, 227.92, 72.848, 2899.23
12.968, 300.768, 9.399, 227.92, 72.848, 2899.23
13.968, 300.768, 9.399, 227.92, 72.848, 2899.23
13.968, 325.976, 10.1868, 248.24, 77.736, 2874.02
13.968, 325.976, 10.1868, 248.24, 77.736, 2874.02
13.968, 325.976, 10.1868, 248.24, 77.736, 2874.02
14.968, 325.976, 10.1868, 248.24, 77.736, 2874.02
14.968, 349.528, 10.9228, 268.312, 81.216, 2850.47
14.968, 349.528, 10.9228, 268.312, 81.216, 2850.47
14.968, 349.528, 10.9228, 268.312, 81.216, 2850.47
15.968, 370.504, 11.5783, 284.336, 86.168, 2829.5
15.968, 370.504, 11.5783, 284.336, 86.168, 2829.5
15.968, 370.504, 11.5783, 284.336, 86.168, 2829.5
15.968, 370.504, 11.5783, 284.336, 86.168, 2829.5
16.968, 392.752, 12.2735, 301.272, 91.48, 2807.25
16.968, 392.752, 12.2735, 301.272, 91.48, 2807.25
16.968, 392.752, 12.2735, 301.272, 91.48, 2807.25
16.968, 392.752, 12.2735, 301.272, 91.48, 2807.25
17.968, 392.752, 12.2735, 301.272, 91.48, 2807.25
17.968, 406.352, 12.6985, 312.08, 94.272, 2793.65
17.968, 406.352, 12.6985, 312.08, 94.272, 2793.65
17.968, 406.352, 12.6985, 312.08, 94.272, 2793.65
18.968, 406.352, 12.6985, 312.08, 94.272, 2793.65
18.968, 416.112, 13.0035, 319.824, 96.288, 2783.89
18.968, 416.112, 13.0035, 319.824, 96.288, 2783.89
18.968, 416.112, 13.0035, 319.824, 96.288, 2783.89
19.968, 427.728, 13.3665, 328.464, 99.264, 2772.27
19.968, 427.728, 13.3665, 328.464, 99.264, 2772.27
19.968, 427.728, 13.3665, 328.464, 99.264, 2772.27
19.968, 427.728, 13.3665, 328.464, 99.264, 2772.27
20.968, 427.728, 13.3665, 328.464, 99.264, 2772.27
20.968, 438.272, 13.696, 336.584, 101.688, 2761.73
20.968, 438.272, 13.696, 336.584, 101.688, 2761.73
20.968, 438.272, 13.696, 336.584, 101.688, 2761.73
21.968, 438.272, 13.696, 336.584, 101.688, 2761.73
21.968, 448.416, 14.013, 344.616, 103.8, 2751.58
21.968, 448.416, 14.013, 344.616, 103.8, 2751.58
21.968, 448.416, 14.013, 344.616, 103.8, 2751.58
22.969, 460.776, 14.3992, 354.368, 106.408, 2739.22
22.969, 460.776, 14.3992, 354.368, 106.408, 2739.22
22.969, 460.776, 14.3992, 354.368, 106.408, 2739.22
22.969, 460.776, 14.3992, 354.368, 106.408, 2739.22
23.968, 474.312, 14.8222, 364.6, 109.712, 2725.69
23.968, 474.312, 14.8222, 364.6, 109.712, 2725.69
23.968, 474.312, 14.8222, 364.6, 109.712, 2725.69
23.968, 474.312, 14.8222, 364.6, 109.712, 2725.69
24.968, 485.048, 15.1577, 374.048, 111, 2714.95
24.968, 485.048, 15.1577, 374.048, 111, 2714.95
24.968, 485.048, 15.1577, 374.048, 111, 2714.95
24.968, 485.048, 15.1577, 374.048, 111, 2714.95
25.968, 485.048, 15.1577, 374.048, 111, 2714.95
25.968, 500.28, 15.6337, 384.936, 115.344, 2699.72
25.968, 500.28, 15.6337, 384.936, 115.344, 2699.72
25.968, 500.28, 15.6337, 384.936, 115.344, 2699.72
26.968, 500.28, 15.6337, 384.936, 115.344, 2699.72
26.968, 512.688, 16.0215, 394.552, 118.136, 2687.31
26.968, 512.688, 16.0215, 394.552, 118.136, 2687.31
26.968, 512.688, 16.0215, 394.552, 118.136, 2687.31
27.968, 522.368, 16.324, 401.552, 120.816, 2677.63
27.968, 522.368, 16.324, 401.552, 120.816, 2677.63
27.968, 522.368, 16.324, 401.552, 120.816, 2677.63
