Goal x, Goal y, Goal z, Planner
17.2348, -16.6907, 1.11218, racer
17.7186, -16.1857, 1.17757, racer
18.0568, -16.0284, 1.15172, racer
17.8742, -16.5043, 1.13331, racer
17.2388, -16.4731, 1.13006, racer
16.8183, -15.7726, 1.378, racer
17.1318, -15.278, 1.74894, racer
17.108, -15.4999, 1.71194, racer
15.9961, -16.7247, 1.40551, racer
14.4658, -18.0564, 1.1139, racer
12.9197, -18.479, 1.08023, racer
11.5136, -18.0353, 1.23263, racer
10.7112, -16.8416, 1.24877, racer
9.48931, -16.2261, 1.08709, racer
8.10291, -16.3995, 1.04396, racer
7.21628, -16.2273, 1.05775, racer
6.67895, -14.9825, 1.03854, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
6.58472, -14.517, 1.03737, racer
