Iteration, Path length, Time, Planning, Flying
1, 0.210929, 0.962, 0.333, 0.622
2, 0.975944, 1.963, 0.333, 1.62
3, 1.54619, 2.963, 0.333, 2.621
4, 2.31358, 3.963, 0.333, 3.621
5, 2.71687, 4.962, 0.333, 4.621
6, 3.0708, 5.963, 0.333, 5.62
7, 3.83842, 6.962, 0.333, 6.62
8, 4.37921, 7.962, 0.333, 7.62
9, 4.56246, 8.963, 0.733, 8.22
10, 5.65559, 9.962, 0.733, 9.22
11, 6.3848, 10.963, 0.733, 10.22
12, 7.14519, 11.962, 0.733, 11.22
13, 9.02011, 12.962, 0.733, 12.221
14, 11.1493, 13.963, 0.733, 13.22
15, 13.0438, 14.963, 0.733, 14.221
16, 14.4203, 15.962, 0.733, 15.221
17, 15.8176, 16.962, 0.733, 16.22
18, 17.5551, 17.962, 0.733, 17.221
19, 19.2828, 18.962, 0.733, 18.22
20, 20.9005, 19.963, 0.733, 19.221
21, 22.2538, 20.963, 0.733, 20.221
22, 23.2687, 21.962, 0.733, 21.221
23, 24.4155, 22.962, 0.733, 22.22
24, 25.9506, 23.962, 0.733, 23.22
25, 27.718, 24.962, 0.733, 24.22
26, 29.3196, 25.963, 0.733, 25.22
27, 30.9806, 26.962, 0.733, 26.22
28, 32.6147, 27.963, 0.733, 27.221
29, 34.176, 28.962, 0.733, 28.221
30, 35.6295, 29.963, 0.752, 29.201
31, 36.9635, 30.962, 0.752, 30.201
32, 38.4038, 31.962, 0.752, 31.201
33, 39.6154, 32.962, 0.772, 32.181
34, 40.0643, 33.962, 0.992, 32.961
35, 41.4413, 34.962, 0.992, 33.961
36, 43.0403, 35.962, 0.992, 34.962
37, 44.8426, 36.963, 0.992, 35.962
38, 46.348, 37.963, 0.992, 36.961
39, 47.6383, 38.963, 0.992, 37.962
40, 49.1429, 39.962, 0.992, 38.961
41, 50.5838, 40.963, 0.992, 39.961
42, 52.2061, 41.962, 0.992, 40.962
43, 53.5636, 42.963, 0.992, 41.963
44, 55.1731, 43.963, 0.992, 42.961
45, 56.6276, 44.963, 0.992, 43.961
46, 57.6259, 45.963, 0.992, 44.962
47, 58.8375, 46.962, 0.992, 45.961
48, 60.5346, 47.963, 0.992, 46.962
49, 61.1031, 48.962, 1.651, 47.302
50, 61.1031, 49.962, 2.651, 47.302
51, 61.1031, 50.962, 3.652, 47.302
52, 61.1031, 51.962, 4.651, 47.302
53, 61.1031, 52.963, 5.651, 47.302
54, 61.1031, 53.963, 6.651, 47.302
55, 61.1031, 54.962, 7.651, 47.302
56, 61.1031, 55.962, 8.652, 47.302
57, 61.1031, 56.962, 9.651, 47.302
58, 61.1031, 57.962, 10.652, 47.302
59, 61.1031, 58.962, 11.651, 47.302
60, 61.1031, 59.963, 12.651, 47.302
61, 61.1031, 60.962, 13.652, 47.302
62, 61.1031, 61.962, 14.651, 47.302
63, 61.1031, 62.962, 15.651, 47.302
64, 61.1031, 63.963, 16.651, 47.302
65, 61.1031, 64.962, 17.651, 47.302
66, 61.1031, 65.962, 18.651, 47.302
67, 61.1031, 66.962, 19.651, 47.302
68, 61.1031, 67.963, 20.651, 47.302
69, 61.1031, 68.962, 21.652, 47.302
70, 61.1031, 69.962, 22.651, 47.302
71, 61.1031, 70.962, 23.651, 47.302
72, 61.1031, 71.962, 24.651, 47.302
73, 61.1031, 72.963, 25.651, 47.302
74, 61.1031, 73.963, 26.651, 47.302
75, 61.1031, 74.962, 27.651, 47.302
76, 61.1031, 75.963, 28.651, 47.302
77, 61.1031, 76.963, 29.652, 47.302
78, 61.1031, 77.962, 30.651, 47.302
79, 61.1031, 78.963, 31.651, 47.302
80, 61.1031, 79.962, 32.651, 47.302
81, 61.1031, 80.962, 33.651, 47.302
82, 61.1031, 81.963, 34.651, 47.302
83, 61.1031, 82.962, 35.651, 47.302
84, 61.1031, 83.962, 36.651, 47.302
85, 61.1031, 84.962, 37.652, 47.302
86, 61.1031, 85.962, 38.652, 47.302
87, 61.1031, 86.962, 39.651, 47.302
88, 61.1031, 87.963, 40.652, 47.302
89, 61.1031, 88.962, 41.652, 47.302
90, 61.1031, 89.962, 42.651, 47.302
91, 61.1031, 90.963, 43.652, 47.302
92, 61.1031, 91.962, 44.651, 47.302
93, 61.1031, 92.963, 45.651, 47.302
94, 61.1031, 93.963, 46.651, 47.302
95, 61.1031, 94.962, 47.651, 47.302
96, 61.1031, 95.962, 48.651, 47.302
97, 61.1031, 96.963, 49.651, 47.302
98, 61.1031, 97.963, 50.652, 47.302
99, 61.1031, 98.963, 51.652, 47.302
100, 61.1031, 99.962, 52.651, 47.302
101, 61.1031, 100.962, 53.651, 47.302
102, 61.1031, 101.962, 54.651, 47.302
103, 61.1031, 102.962, 55.652, 47.302
104, 61.1031, 103.962, 56.652, 47.302
105, 61.1031, 104.962, 57.651, 47.302
106, 61.1031, 105.962, 58.652, 47.302
107, 61.1031, 106.962, 59.651, 47.302
108, 61.1031, 107.963, 60.652, 47.302
109, 61.1031, 108.962, 61.652, 47.302
110, 61.1031, 109.963, 62.651, 47.302
111, 61.1031, 110.963, 63.652, 47.302
112, 61.1031, 111.963, 64.652, 47.302
113, 61.1031, 112.962, 65.651, 47.302
114, 61.1031, 113.963, 66.651, 47.302
115, 61.1031, 114.962, 67.651, 47.302
116, 61.1031, 115.963, 68.652, 47.302
117, 61.1031, 116.962, 69.651, 47.302
118, 61.1031, 117.963, 70.651, 47.302
119, 61.1031, 118.962, 71.651, 47.302
120, 61.1031, 119.963, 72.651, 47.302
121, 61.1031, 120.962, 73.651, 47.302
122, 61.1031, 121.962, 74.651, 47.302
123, 61.1031, 122.963, 75.651, 47.302
124, 61.1031, 123.962, 76.651, 47.302
125, 61.1031, 124.963, 77.651, 47.302
126, 61.1031, 125.962, 78.652, 47.302
127, 61.1031, 126.962, 79.652, 47.302
128, 61.1031, 127.963, 80.651, 47.302
129, 61.1031, 128.962, 81.651, 47.302
130, 61.1031, 129.962, 82.651, 47.302
131, 61.1031, 130.963, 83.651, 47.302
132, 61.1031, 131.962, 84.652, 47.302
133, 61.1031, 132.962, 85.652, 47.302
134, 61.1031, 133.963, 86.653, 47.302
135, 61.1031, 134.963, 87.651, 47.302
136, 61.1031, 135.962, 88.652, 47.302
137, 61.1031, 136.962, 89.651, 47.302
138, 61.1031, 137.962, 90.651, 47.302
139, 61.1031, 138.962, 91.651, 47.302
140, 61.1031, 139.962, 92.651, 47.302
141, 61.1031, 140.962, 93.651, 47.302
142, 61.1031, 141.962, 94.651, 47.302
143, 61.1031, 142.963, 95.651, 47.302
144, 61.1031, 143.962, 96.651, 47.302
145, 61.1031, 144.962, 97.652, 47.302
146, 61.1031, 145.963, 98.652, 47.302
147, 61.1031, 146.962, 99.652, 47.302
