Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.48, 308.024, 16.063, 245.616, 62.408, 1609.58
4.98, 473.728, 24.7042, 396.408, 77.32, 1443.87
19.93, 582.2, 30.3609, 492.12, 90.08, 1335.4
26.93, 612.656, 31.9491, 518.192, 94.464, 1304.94
31.92, 634.248, 33.0751, 537.8, 96.448, 1283.35
33.98, 639.256, 33.3363, 542.304, 96.952, 1278.34
40.98, 650.744, 33.9353, 553.232, 97.512, 1266.86
50.48, 674.68, 35.1836, 574.024, 100.656, 1242.92
62.93, 699.904, 36.499, 592.352, 107.552, 1217.7
62.98, 714.56, 37.2632, 606.248, 108.312, 1203.04
72.48, 732.92, 38.2207, 618.752, 114.168, 1184.68
77.98, 738.224, 38.4973, 625.296, 112.928, 1179.38
92.93, 743.96, 38.7964, 629.336, 114.624, 1173.64
92.98, 760.384, 39.6529, 647.4, 112.984, 1157.22
107.93, 863.464, 45.0284, 737.448, 126.016, 1054.14
115.93, 976.88, 50.9428, 835.472, 141.408, 940.72
123.93, 1020.91, 53.239, 873.784, 147.128, 896.688
124.98, 1082.09, 56.4293, 924.184, 157.904, 835.512
132.98, 1107.8, 57.7701, 946.264, 161.536, 809.8
140.98, 1113.33, 58.0584, 953.328, 160, 804.272
156.93, 1122.66, 58.5448, 962.84, 159.816, 794.944
165.93, 1143.5, 59.632, 983.168, 160.336, 774.096
173.93, 1186.98, 61.8995, 1023.46, 163.52, 730.616
179.92, 1233.91, 64.3467, 1065.41, 168.504, 683.688
182.98, 1284.07, 66.9625, 1110.03, 174.04, 633.528
198.93, 1300.17, 67.8018, 1125.6, 174.568, 617.432
204.92, 1322.05, 68.9428, 1151.16, 170.888, 595.552
207.98, 1354.59, 70.64, 1181.06, 173.528, 563.008
216.98, 1385.34, 72.2436, 1207.58, 177.768, 532.256
232.93, 1425.06, 74.3146, 1243.47, 181.584, 492.544
238.92, 1430.82, 74.6154, 1245.67, 185.152, 486.776
241.98, 1433.2, 74.7393, 1248.02, 185.176, 484.4
257.93, 1435.96, 74.8832, 1251.09, 184.872, 481.64
258.98, 1437.73, 74.9754, 1250.29, 187.44, 479.872
274.93, 1457.61, 76.0121, 1264.94, 192.672, 459.992
