Iteration, Path length, Time, Planning, Flying
1, 0.0205149, 0.905, 0.74, 0.16
2, 0.196987, 1.905, 0.74, 1.16
3, 0.544473, 2.905, 0.74, 2.16
4, 1.06, 3.905, 0.74, 3.16
5, 1.68736, 4.905, 0.76, 4.14
6, 2.74636, 5.905, 0.76, 5.14
7, 3.17759, 6.905, 0.82, 6.08
8, 3.75326, 7.905, 0.82, 7.08
9, 4.72659, 8.905, 0.82, 8.08
10, 5.31932, 9.905, 0.82, 9.08
11, 5.94926, 10.905, 0.82, 10.08
12, 7.0481, 11.905, 0.82, 11.08
13, 7.77645, 12.905, 0.82, 12.08
14, 8.79574, 13.905, 0.845, 13.055
15, 9.27442, 14.905, 0.845, 14.055
16, 10.343, 15.905, 0.845, 15.055
17, 10.7783, 16.905, 0.845, 16.055
18, 11.467, 17.905, 0.845, 17.055
19, 12.0806, 18.905, 0.845, 18.055
20, 13.3775, 19.905, 0.845, 19.055
21, 14.0825, 20.905, 0.865, 20.035
22, 15.5249, 21.905, 0.88, 21.02
23, 16.184, 22.905, 0.88, 22.02
24, 16.943, 23.905, 0.88, 23.02
25, 17.3074, 24.905, 0.9, 24
26, 18.416, 25.905, 0.9, 25
27, 19.354, 26.905, 0.92, 25.98
28, 20.0105, 27.905, 0.92, 26.98
29, 21.1841, 28.905, 0.94, 27.96
30, 21.8916, 29.905, 0.94, 28.96
31, 22.1916, 30.905, 0.94, 29.96
32, 22.4379, 31.905, 0.96, 30.94
33, 22.6084, 32.905, 1.56, 31.34
34, 22.6263, 33.905, 2.56, 31.34
35, 22.703, 34.905, 2.93, 31.97
36, 22.7405, 35.905, 3.59, 32.31
37, 22.7679, 36.905, 4.43, 32.47
38, 23.5973, 37.905, 4.43, 33.47
39, 25.0607, 38.905, 4.43, 34.47
40, 26.3315, 39.905, 4.465, 35.435
41, 26.832, 40.905, 4.465, 36.435
42, 28.0651, 41.905, 4.465, 37.435
43, 28.5143, 42.905, 4.55, 38.355
44, 29.2633, 43.905, 4.59, 39.31
45, 29.8024, 44.905, 4.61, 40.29
46, 30.0309, 45.905, 4.655, 41.245
47, 30.7908, 46.905, 4.655, 42.245
48, 32.0541, 47.905, 4.67, 43.23
49, 32.8305, 48.905, 4.67, 44.23
50, 33.6492, 49.905, 4.67, 45.23
51, 34.4369, 50.905, 4.69, 46.21
52, 34.4408, 51.905, 5.69, 46.21
53, 34.5666, 52.905, 6.31, 46.59
54, 35.6569, 53.905, 6.33, 47.57
55, 36.636, 54.905, 6.345, 48.555
56, 37.3132, 55.905, 6.345, 49.555
57, 38.2678, 56.905, 6.365, 50.535
58, 39.1787, 57.905, 6.365, 51.535
59, 39.9143, 58.905, 6.39, 52.51
60, 40.4303, 59.905, 6.41, 53.49
61, 40.6365, 60.905, 6.585, 54.315
62, 41.3406, 61.905, 6.615, 55.285
63, 41.8786, 62.905, 6.675, 56.225
64, 42.4886, 63.905, 6.695, 57.205
65, 43.0193, 64.905, 6.695, 58.205
66, 44.2043, 65.905, 6.695, 59.205
67, 45.4028, 66.905, 6.695, 60.205
68, 46.3071, 67.905, 6.715, 61.185
69, 46.8774, 68.905, 6.715, 62.185
70, 47.3943, 69.905, 6.715, 63.185
71, 48.2593, 70.905, 6.735, 64.145
72, 49.3908, 71.905, 6.735, 65.165
73, 50.3453, 72.905, 6.735, 66.165
74, 50.8774, 73.905, 6.76, 67.14
75, 51.6769, 74.905, 6.76, 68.14
76, 52.4768, 75.905, 6.76, 69.14
77, 53.4782, 76.905, 6.78, 70.12
78, 54.1643, 77.905, 6.78, 71.12
79, 55.1434, 78.905, 6.795, 72.105
80, 56.0726, 79.905, 6.795, 73.105
81, 57.2635, 80.905, 6.795, 74.105
82, 58.5849, 81.905, 6.815, 75.085
83, 59.4093, 82.905, 6.84, 76.06
84, 60.0089, 83.905, 6.84, 77.06
85, 60.888, 84.905, 6.86, 78.04
86, 61.4361, 85.905, 6.86, 79.04
87, 62.6353, 86.905, 6.86, 80.04
88, 63.4755, 87.905, 6.88, 81.02
89, 64.7382, 88.905, 6.9, 82
90, 65.5921, 89.905, 6.9, 83
91, 66.8229, 90.905, 6.9, 84
92, 67.3263, 91.905, 6.9, 85
93, 68.4063, 92.905, 6.92, 85.98
94, 68.8521, 93.905, 6.92, 86.98
95, 69.4899, 94.905, 6.94, 87.96
96, 70.2673, 95.905, 6.955, 88.945
97, 70.8426, 96.905, 7.04, 89.86
98, 71.2489, 97.905, 7.06, 90.84
99, 71.8251, 98.905, 7.06, 91.84
100, 72.1553, 99.905, 7.06, 92.84
101, 72.5369, 100.905, 7.06, 93.84
102, 72.9126, 101.905, 7.075, 94.825
103, 74.0378, 102.905, 7.09, 95.81
104, 74.8863, 103.905, 7.09, 96.81
105, 75.6978, 104.905, 7.09, 97.81
106, 76.5838, 105.905, 7.155, 98.745
107, 77.4147, 106.905, 7.155, 99.745
108, 78.3819, 107.905, 7.155, 100.745
109, 78.8261, 108.905, 7.69, 101.21
110, 78.828, 109.905, 8.69, 101.21
111, 79.1931, 110.905, 8.975, 101.925
112, 80.7017, 111.905, 8.995, 102.905
113, 81.3469, 112.905, 8.995, 103.905
114, 81.9325, 113.905, 8.995, 104.905
115, 82.7798, 114.905, 8.995, 105.905
116, 83.2245, 115.905, 8.995, 106.905
117, 84.083, 116.905, 8.995, 107.905
118, 84.9724, 117.905, 9.02, 108.88
119, 85.8259, 118.905, 9.04, 109.86
120, 86.1801, 119.905, 9.04, 110.86
121, 86.8838, 120.905, 9.055, 111.845
122, 87.001, 121.905, 9.805, 112.095
123, 87.3788, 122.905, 9.905, 112.995
124, 88.655, 123.905, 9.905, 113.995
125, 89.9549, 124.905, 9.96, 114.94
126, 90.5212, 125.905, 9.98, 115.925
127, 91.378, 126.905, 9.98, 116.92
128, 91.5713, 127.905, 10.1, 117.805
129, 92.1616, 128.905, 10.14, 118.765
130, 93.0304, 129.905, 10.17, 119.73
131, 93.614, 130.905, 10.19, 120.71
132, 94.3723, 131.905, 10.19, 121.71
133, 95.4883, 132.905, 10.19, 122.71
134, 96.1364, 133.905, 10.19, 123.71
135, 97.1119, 134.905, 10.215, 124.685
136, 97.1597, 135.905, 11.175, 124.725
137, 97.1881, 136.905, 12.035, 124.865
138, 97.85, 137.905, 12.06, 125.84
139, 99.0574, 138.905, 12.08, 126.82
140, 99.8467, 139.905, 12.08, 127.825
141, 100.872, 140.905, 12.08, 128.82
142, 102.298, 141.905, 12.08, 129.82
143, 103.948, 142.905, 12.1, 130.8
144, 104.491, 143.905, 12.12, 131.78
145, 105.218, 144.905, 12.12, 132.78
146, 106.132, 145.905, 12.145, 133.755
147, 107.014, 146.905, 12.145, 134.735
148, 107.343, 147.905, 12.145, 135.755
149, 108.422, 148.905, 12.165, 136.735
150, 109.042, 149.905, 12.165, 137.735
151, 110.157, 150.905, 12.185, 138.715
152, 110.888, 151.905, 12.21, 139.695
153, 111.298, 152.905, 12.21, 140.69
154, 112.395, 153.905, 12.21, 141.69
155, 112.841, 154.905, 12.27, 142.63
156, 113.901, 155.905, 12.295, 143.605
157, 114.192, 156.905, 12.315, 144.57
158, 115.006, 157.905, 12.315, 145.585
159, 115.23, 158.905, 12.78, 146.12
160, 115.311, 159.905, 13.13, 146.77
161, 115.529, 160.905, 13.405, 147.495
162, 116.641, 161.905, 13.425, 148.475
163, 117.488, 162.905, 13.425, 149.475
164, 118.563, 163.905, 13.425, 150.475
165, 119.35, 164.905, 13.425, 151.475
166, 120.247, 165.905, 13.465, 152.44
167, 120.758, 166.905, 13.5, 153.4
168, 121.653, 167.905, 13.56, 154.34
169, 122.613, 168.905, 13.56, 155.34
170, 123.794, 169.905, 13.585, 156.32
171, 124.184, 170.905, 13.605, 157.295
172, 125.271, 171.905, 13.625, 158.28
173, 125.946, 172.905, 13.66, 159.24
174, 127.029, 173.905, 13.685, 160.195
175, 127.56, 174.905, 13.76, 161.14
176, 128.241, 175.905, 13.785, 162.115
177, 128.989, 176.905, 13.795, 163.11
178, 129.896, 177.905, 13.815, 164.085
179, 130.32, 178.905, 13.83, 165.07
180, 131.115, 179.905, 13.845, 166.055
181, 132.115, 180.905, 13.89, 167.01
182, 132.873, 181.905, 13.94, 167.96
183, 133.544, 182.905, 13.965, 168.935
184, 134.675, 183.905, 13.965, 169.915
185, 135.31, 184.905, 13.965, 170.935
186, 135.916, 185.905, 13.985, 171.915
187, 136.264, 186.905, 14, 172.905
188, 137.378, 187.905, 14.055, 173.85
189, 138, 188.905, 14.055, 174.845
190, 138.699, 189.905, 14.055, 175.845
191, 140.206, 190.905, 14.055, 176.845
192, 140.862, 191.905, 14.075, 177.825
193, 141.411, 192.905, 14.075, 178.805
194, 141.981, 193.905, 14.075, 179.825
195, 143.016, 194.905, 14.115, 180.785
196, 143.607, 195.905, 14.115, 181.79
