Goal x, Goal y, Goal z, Planner
0.230496, 9.34304, 0.898496, racer
0.493345, 9.05977, 0.906565, racer
0.46884, 9.00269, 0.899973, racer
0.503772, 9.02283, 0.899181, racer
0.623957, 9.18927, 0.900508, racer
0.623527, 9.18915, 0.900426, racer
0.647351, 9.19515, 0.916015, racer
1.1969, 8.73869, 1.35957, racer
1.50016, 8.67685, 0.914925, racer
1.72803, 8.1374, 0.785434, racer
1.79351, 6.99176, 1.19295, racer
1.78061, 6.48602, 1.00118, racer
1.68273, 5.98077, 1.74507, racer
1.85256, 6.13583, 2.47474, racer
2.0411, 6.98838, 2.07143, racer
1.57724, 7.57243, 1.94476, racer
0.543284, 7.3213, 2.41021, racer
0.29447, 7.06958, 1.92023, racer
-0.296159, 7.43192, 1.82446, racer
-1.33034, 7.96166, 2.42439, racer
-1.56502, 7.64388, 2.0255, racer
-1.5798, 7.15274, 1.42704, racer
-2.6374, 7.75489, 1.95157, racer
-2.86572, 8.11712, 2.35459, racer
-1.787, 7.85754, 2.2381, racer
-1.468, 7.78392, 2.07856, racer
-1.91693, 8.5697, 1.84552, racer
-1.99421, 8.82822, 1.83795, racer
-1.99444, 8.83122, 1.83834, racer
-2.41737, 8.53683, 1.79052, racer
-3.00957, 8.66539, 1.82309, racer
-3.27973, 9.48084, 2.29402, racer
-3.18739, 9.39036, 2.32599, racer
-3.13943, 8.96719, 1.90239, racer
-3.16943, 9.21825, 2.16023, racer
-3.16824, 9.29721, 2.23735, racer
-3.16889, 9.2927, 2.23305, racer
-3.16768, 9.27818, 2.21862, racer
-3.3786, 9.16222, 2.23738, racer
-4.08495, 8.95149, 2.46462, racer
-4.54081, 8.72086, 2.26156, racer
-5.0352, 8.7912, 1.6065, racer
-5.21312, 9.34725, 1.13389, racer
-5.72169, 10.1964, 1.44338, racer
-6.61184, 11.1573, 2.31718, racer
-6.38067, 10.894, 2.32632, racer
-5.56474, 10.0361, 1.53101, racer
-5.38406, 9.68884, 1.14941, racer
-5.68047, 10.1754, 1.67044, racer
-5.93439, 10.4768, 2.13257, racer
-6.04725, 10.5472, 2.32404, racer
-5.89405, 10.0148, 2.44216, racer
-5.21313, 8.78823, 2.43988, racer
-4.80781, 8.29633, 2.39827, racer
-5.34884, 9.11601, 2.43894, racer
-5.73983, 9.70775, 2.46524, racer
-5.93432, 9.82011, 2.45494, racer
-6.6269, 9.91849, 2.4748, racer
-6.54206, 9.89087, 2.47016, racer
-6.20125, 9.82775, 2.4585, racer
-6.38494, 9.85938, 2.4648, racer
-6.27812, 9.57972, 2.38647, racer
-5.54498, 8.37966, 1.82858, racer
-4.73889, 7.33445, 1.15523, racer
-5.12914, 7.57332, 1.62241, racer
-5.82018, 8.48325, 2.20144, racer
-5.92566, 8.94456, 2.08395, racer
-5.84016, 8.48968, 1.75072, racer
-5.74967, 7.9982, 1.36042, racer
-5.78887, 7.51539, 1.46988, racer
-6.09232, 7.0212, 1.68565, racer
-6.1286, 7.0798, 1.77991, racer
-5.11894, 7.91344, 1.41717, racer
-4.55451, 8.35213, 1.04827, racer
-5.22458, 7.76251, 1.48152, racer
-5.78913, 7.36234, 1.70373, racer
-5.79629, 7.42468, 1.68881, racer
-5.45028, 8.34362, 1.32742, racer
-5.31021, 8.73336, 1.20223, racer
-5.45211, 8.33784, 1.32905, racer
-5.8259, 8.44291, 1.59717, racer
-6.24222, 8.4058, 1.94756, racer
-6.2349, 8.40273, 1.93707, racer
-6.26002, 8.31855, 1.86362, racer
-6.44459, 7.80756, 1.44445, racer
-6.64261, 7.53417, 1.11553, racer
-6.57849, 8.51623, 1.52714, racer
-6.60622, 9.38585, 1.83494, racer
-5.94916, 9.61991, 1.88615, racer
-4.61405, 9.75808, 1.52618, racer
-4.02571, 10.5162, 1.03268, racer
-4.41838, 10.6654, 0.982732, racer
-4.65191, 10.3345, 1.07818, racer
-4.10298, 10.349, 1.09611, racer
-4.0712, 10.3519, 1.09771, racer
-3.70014, 10.6106, 1.74067, racer
-3.02969, 10.9376, 2.31939, racer
-2.84044, 10.6609, 2.08794, racer
-3.22291, 11.0638, 2.46778, racer
-2.42449, 10.5682, 2.38187, racer
-2.01979, 10.6696, 2.37482, racer
-1.14517, 11.0069, 2.4732, racer
-0.578564, 10.8173, 2.47912, racer
-1.35122, 10.9757, 2.23328, racer
-2.02817, 11.6847, 1.74926, racer
-1.87498, 12.0294, 1.70205, racer
-1.70593, 11.2074, 2.12698, racer
-1.79096, 10.6921, 2.46618, racer
-1.96093, 11.1376, 2.49498, racer
-2.01389, 11.2691, 2.48351, racer
-2.00275, 11.2236, 2.4952, racer
-1.59514, 11.0524, 2.26179, racer
-0.947332, 10.8029, 1.88145, racer
-0.485507, 10.61, 1.82427, racer
0.651821, 10.2281, 2.00567, racer
0.589008, 10.3145, 1.99983, racer
-0.416398, 10.5871, 1.83643, racer
-1.02101, 10.9759, 2.13147, racer
-1.7672, 11.3251, 2.38452, racer
-1.75989, 11.5483, 1.71175, racer
-1.83391, 11.4398, 2.02386, racer
-1.73188, 11.2618, 2.4246, racer
-1.74664, 11.3049, 2.41548, racer
-1.99328, 11.2121, 2.39494, racer
-2.35838, 11.5364, 2.36403, racer
-2.06297, 12.1197, 1.93288, racer
-2.23428, 11.7772, 2.08562, racer
-2.36106, 10.9538, 2.31085, racer
-2.04776, 11.3035, 1.93826, racer
-1.8744, 11.6474, 1.27882, racer
-1.83079, 11.0419, 0.959503, racer
-0.850817, 10.8392, 1.04895, racer
-0.429857, 11.1262, 1.15097, racer
-1.35643, 11.269, 1.05334, racer
-1.45688, 11.0326, 0.972457, racer
-0.322219, 10.7529, 1.06078, racer
1.1328, 10.6508, 1.15811, racer
1.84338, 10.6293, 1.20833, racer
1.52043, 10.6745, 1.18061, racer
0.233702, 10.8535, 1.23495, racer
