Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
7.97, 674.088, 35.1527, 562.48, 111.608, 1243.51
17.985, 910.048, 47.4577, 767.256, 142.792, 1007.55
31.985, 1035.8, 54.0154, 878.152, 157.648, 881.8
46.985, 1123.15, 58.5707, 950.144, 173.008, 794.448
60.985, 1216.17, 63.4214, 1038.68, 177.488, 701.432
81.895, 1262.25, 65.8244, 1077.15, 185.096, 655.352
87.95, 1298.55, 67.7176, 1115.77, 182.784, 619.048
109.985, 1337.11, 69.7284, 1141.08, 196.032, 580.488
129.97, 1432.98, 74.728, 1229.54, 203.44, 484.616
144.985, 1532.18, 79.9011, 1322.98, 209.208, 385.416
159.955, 1617.84, 84.368, 1402.15, 215.688, 299.76
177.955, 1669.84, 87.0797, 1437.62, 232.224, 247.76
193.95, 1682.9, 87.7605, 1447.98, 234.92, 234.704
222.895, 1708.09, 89.0743, 1478.86, 229.224, 209.512
233.955, 1719.38, 89.6633, 1481.45, 237.936, 198.216
252.955, 1725.7, 89.9929, 1483.54, 242.168, 191.896
275.985, 1730.22, 90.2286, 1493.85, 236.376, 187.376
294.985, 1733.98, 90.4243, 1493.54, 240.432, 183.624
311.955, 1736.86, 90.5749, 1490.87, 245.992, 180.736
331.955, 1739.84, 90.7301, 1500.35, 239.488, 177.76
350.955, 1740.33, 90.7555, 1494.66, 245.664, 177.272
377.895, 1740.52, 90.7655, 1495.1, 245.416, 177.08
393.97, 1740.52, 90.7655, 1496.98, 243.536, 177.08
411.97, 1740.52, 90.7655, 1496.9, 243.624, 177.08
430.97, 1740.52, 90.7655, 1496.93, 243.592, 177.08
448.97, 1740.52, 90.7655, 1496.95, 243.568, 177.08
466.97, 1740.52, 90.7655, 1496.94, 243.584, 177.08
485.97, 1740.52, 90.7655, 1496.94, 243.584, 177.08
503.97, 1740.52, 90.7655, 1496.93, 243.592, 177.08
522.97, 1740.52, 90.7655, 1496.91, 243.608, 177.08
540.97, 1740.52, 90.7655, 1496.96, 243.56, 177.08
559.97, 1740.52, 90.7655, 1496.89, 243.632, 177.08
577.97, 1740.52, 90.7655, 1496.89, 243.632, 177.08
596.97, 1740.52, 90.7655, 1496.9, 243.624, 177.08
614.97, 1740.52, 90.7655, 1496.85, 243.672, 177.08
632.97, 1740.52, 90.7655, 1496.9, 243.624, 177.08
651.97, 1740.52, 90.7655, 1496.9, 243.624, 177.08
669.97, 1740.52, 90.7655, 1496.9, 243.624, 177.08
688.97, 1740.52, 90.7655, 1496.91, 243.608, 177.08
