Iteration, Path length, Time, Planning, Flying
1, 0.0943897, 0.985, 0.47, 0.5
2, 0.453273, 1.985, 0.47, 1.5
3, 0.527011, 2.985, 0.73, 2.24
4, 0.644907, 3.985, 1.19, 2.78
5, 1.07013, 4.985, 1.19, 3.78
6, 1.42016, 5.985, 1.29, 4.68
7, 2.54623, 6.985, 1.29, 5.68
8, 3.57173, 7.985, 1.29, 6.68
9, 4.30014, 8.985, 1.29, 7.68
10, 5.25502, 9.985, 1.29, 8.68
11, 5.78117, 10.985, 1.29, 9.68
12, 6.77119, 11.985, 1.29, 10.68
13, 7.79858, 12.985, 1.29, 11.68
14, 9.06777, 13.985, 1.29, 12.68
15, 9.74543, 14.985, 1.29, 13.68
16, 11.0204, 15.985, 1.29, 14.68
17, 11.7249, 16.985, 1.29, 15.68
18, 12.5589, 17.985, 1.29, 16.68
19, 13.7334, 18.985, 1.29, 17.68
20, 14.6695, 19.985, 1.29, 18.68
21, 16.0479, 20.985, 1.37, 19.6
22, 16.3353, 21.985, 2.17, 19.8
23, 16.3355, 22.985, 3.17, 19.8
24, 16.3355, 23.985, 4.17, 19.8
25, 16.3355, 24.985, 5.17, 19.8
26, 16.3355, 25.985, 6.17, 19.8
27, 16.3355, 26.985, 7.17, 19.8
28, 16.3355, 27.985, 8.17, 19.8
29, 16.3355, 28.985, 9.17, 19.8
30, 16.3355, 29.985, 10.17, 19.8
31, 16.3355, 30.985, 11.17, 19.8
32, 16.3355, 31.985, 12.17, 19.8
33, 16.3355, 32.985, 13.17, 19.8
34, 16.3355, 33.985, 14.17, 19.8
35, 16.3355, 34.985, 15.17, 19.8
36, 16.3355, 35.985, 16.17, 19.8
37, 16.3355, 36.985, 17.17, 19.8
38, 16.3355, 37.985, 18.17, 19.8
39, 16.3355, 38.985, 19.17, 19.8
40, 16.3355, 39.985, 20.17, 19.8
41, 16.3355, 40.985, 21.17, 19.8
42, 16.3355, 41.985, 22.17, 19.8
43, 16.3355, 42.985, 23.17, 19.8
44, 16.3355, 43.985, 24.17, 19.8
45, 16.3355, 44.985, 25.17, 19.8
46, 16.3355, 45.985, 26.17, 19.8
47, 16.3355, 46.985, 27.17, 19.8
48, 16.3355, 47.985, 28.17, 19.8
49, 16.3355, 48.985, 29.17, 19.8
50, 16.3355, 49.985, 30.17, 19.8
51, 16.3355, 50.985, 31.17, 19.8
52, 16.3355, 51.985, 32.17, 19.8
53, 16.3355, 52.985, 33.17, 19.8
54, 16.3355, 53.985, 34.17, 19.8
55, 16.3355, 54.985, 35.17, 19.8
56, 16.3355, 55.985, 36.17, 19.8
57, 16.3355, 56.985, 37.17, 19.8
58, 16.3355, 57.985, 38.17, 19.8
59, 16.3355, 58.985, 39.17, 19.8
60, 16.3355, 59.985, 40.17, 19.8
61, 16.3355, 60.985, 41.17, 19.8
62, 16.3355, 61.985, 42.17, 19.8
63, 16.3355, 62.985, 43.17, 19.8
64, 16.3355, 63.985, 44.17, 19.8
65, 16.3355, 64.985, 45.17, 19.8
66, 16.3355, 65.985, 46.17, 19.8
67, 16.3355, 66.985, 47.17, 19.8
68, 16.3355, 67.985, 48.17, 19.8
69, 16.3355, 68.985, 49.17, 19.8
70, 16.3355, 69.985, 50.17, 19.8
71, 16.3355, 70.985, 51.17, 19.8
72, 16.3355, 71.985, 52.17, 19.8
73, 16.3355, 72.985, 53.17, 19.8
74, 16.3355, 73.985, 54.17, 19.8
75, 16.3355, 74.985, 55.17, 19.8
76, 16.3355, 75.985, 56.17, 19.8
77, 16.3355, 76.985, 57.17, 19.8
78, 16.3355, 77.985, 58.17, 19.8
79, 16.3355, 78.985, 59.17, 19.8
80, 16.3355, 79.985, 60.17, 19.8
81, 16.3355, 80.985, 61.17, 19.8
82, 16.3355, 81.985, 62.17, 19.8
83, 16.3355, 82.985, 63.17, 19.8
84, 16.3355, 83.985, 64.17, 19.8
85, 16.3355, 84.985, 65.17, 19.8
86, 16.3355, 85.985, 66.17, 19.8
87, 16.3355, 86.985, 67.17, 19.8
88, 16.3355, 87.985, 68.17, 19.8
89, 16.3355, 88.985, 69.17, 19.8
90, 16.3355, 89.985, 70.17, 19.8
91, 16.3355, 90.985, 71.17, 19.8
92, 16.3355, 91.985, 72.17, 19.8
