Goal x, Goal y, Goal z, Planner
7.49496, 8.05854, 0.899259, racer
7.8166, 7.92936, 0.900239, racer
7.92212, 7.95957, 0.950154, racer
7.80005, 8.22227, 0.916161, racer
7.75808, 7.91629, 0.90841, racer
7.8656, 7.80211, 0.97569, racer
8.78866, 8.18804, 1.46368, racer
9.48794, 7.97795, 1.61828, racer
10.0411, 7.88582, 1.29109, racer
10.6652, 7.62577, 0.808247, racer
11.1282, 7.06908, 0.85862, racer
11.6512, 6.56545, 0.916729, racer
12.3531, 6.827, 1.00374, racer
12.9795, 6.57747, 1.18246, racer
13.3611, 6.13712, 1.60459, racer
13.396, 5.56332, 1.37674, racer
13.5834, 4.79652, 0.775982, racer
13.4643, 4.65078, 0.724239, racer
13.487, 4.64558, 0.766696, racer
13.4262, 4.39625, 1.0543, racer
13.4274, 4.57905, 0.986648, racer
13.0897, 5.30047, 1.06016, racer
12.2176, 5.85612, 1.08035, racer
11.563, 5.92013, 0.952341, racer
11.0018, 5.4682, 0.947487, racer
10.9464, 5.42919, 0.946746, racer
11.4294, 5.66027, 1.00448, racer
12.5168, 5.75984, 1.06531, racer
13.175, 5.86056, 1.02507, racer
13.6753, 6.30836, 0.780669, racer
13.98, 7.22732, 1.30274, racer
14.0088, 8.06081, 1.7704, racer
13.4971, 8.78059, 1.95318, racer
12.8324, 8.97213, 1.77403, racer
12.7045, 9.56249, 1.12084, racer
12.6522, 10.1331, 0.819768, racer
12.6095, 10.1081, 0.955802, racer
13.0321, 10.1331, 1.7422, racer
13.7707, 10.4139, 1.81689, racer
13.7123, 11.3696, 1.95516, racer
13.6244, 12.3249, 1.68339, racer
13.7687, 13.2738, 1.46889, racer
14.1168, 14.0158, 1.62872, racer
13.8548, 14.0304, 1.35586, racer
12.8435, 14.0429, 0.946401, racer
12.6106, 14.4811, 0.954585, racer
12.8173, 15.0584, 1.30492, racer
12.6344, 15.292, 1.79247, racer
11.864, 15.5623, 2.19785, racer
10.9311, 15.5239, 2.18145, racer
10.0254, 15.2795, 1.85218, racer
9.78563, 15.2996, 1.46493, racer
9.75178, 15.291, 1.39368, racer
10.1775, 14.6216, 1.46033, racer
11.3793, 13.2334, 1.61529, racer
12.3836, 11.9094, 1.62409, racer
12.6004, 10.7143, 1.47439, racer
12.7391, 9.17777, 1.34789, racer
