Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0.915, 33.28, 1.7355, 25.416, 7.864, 1884.32
1.915, 38.48, 2.00668, 29.008, 9.472, 1879.12
1.915, 68.28, 3.5607, 49.896, 18.384, 1849.32
3.915, 95.664, 4.98874, 72.304, 23.36, 1821.94
5.915, 151.112, 7.88027, 119.048, 32.064, 1766.49
8.915, 227.76, 11.8773, 188.472, 39.288, 1689.84
9.915, 289.128, 15.0776, 240.888, 48.24, 1628.47
12.915, 328.456, 17.1285, 279.552, 48.904, 1589.14
15.915, 400, 20.8594, 338.64, 61.36, 1517.6
18.915, 466.424, 24.3233, 391.608, 74.816, 1451.18
21.915, 506.976, 26.438, 427.016, 79.96, 1410.62
24.915, 510.552, 26.6245, 427.856, 82.696, 1407.05
29.915, 512.904, 26.7472, 430.664, 82.24, 1404.7
31.915, 515.072, 26.8602, 436.68, 78.392, 1402.53
34.915, 540.896, 28.2069, 461.184, 79.712, 1376.7
37.915, 589.672, 30.7505, 504.552, 85.12, 1327.93
40.915, 610.04, 31.8127, 519.752, 90.288, 1307.56
45.915, 622.368, 32.4556, 529.304, 93.064, 1295.23
48.915, 631.024, 32.907, 535.352, 95.672, 1286.58
50.915, 633.368, 33.0292, 538.728, 94.64, 1284.23
53.915, 637.24, 33.2311, 539.696, 97.544, 1280.36
58.915, 643.64, 33.5649, 546.264, 97.376, 1273.96
61.915, 653.384, 34.073, 554.736, 98.648, 1264.22
63.915, 656.376, 34.229, 555.8, 100.576, 1261.22
66.915, 656.856, 34.2541, 553.552, 103.304, 1260.74
71.915, 691.248, 36.0476, 586.736, 104.512, 1226.35
74.915, 758.552, 39.5574, 646.656, 111.896, 1159.05
76.915, 831.608, 43.3671, 713.08, 118.528, 1085.99
81.915, 857.192, 44.7013, 736.632, 120.56, 1060.41
84.915, 864.032, 45.058, 743.464, 120.568, 1053.57
86.915, 873.184, 45.5353, 752.064, 121.12, 1044.42
91.915, 887.368, 46.2749, 764.344, 123.024, 1030.23
93.915, 921.784, 48.0697, 792.976, 128.808, 995.816
96.915, 938.624, 48.9479, 809.896, 128.728, 978.976
101.915, 961.928, 50.1631, 830.72, 131.208, 955.672
103.915, 987.392, 51.491, 855.696, 131.696, 930.208
108.915, 996.752, 51.9791, 864.776, 131.976, 920.848
110.915, 998.92, 52.0922, 866.704, 132.216, 918.68
115.915, 999.312, 52.1126, 867.184, 132.128, 918.288
117.915, 1021.38, 53.2637, 884.368, 137.016, 896.216
120.915, 1031.5, 53.791, 889.352, 142.144, 886.104
124.915, 1031.5, 53.791, 889.216, 142.28, 886.104
127.915, 1031.5, 53.791, 889.216, 142.28, 886.104
131.915, 1031.5, 53.791, 889.216, 142.28, 886.104
134.915, 1031.5, 53.791, 889.216, 142.28, 886.104
138.915, 1031.5, 53.791, 889.216, 142.28, 886.104
141.915, 1031.5, 53.791, 889.216, 142.28, 886.104
145.915, 1031.5, 53.791, 889.216, 142.28, 886.104
148.915, 1031.5, 53.791, 889.216, 142.28, 886.104
152.915, 1031.5, 53.791, 889.216, 142.28, 886.104
155.915, 1031.5, 53.791, 889.216, 142.28, 886.104
159.915, 1031.5, 53.791, 889.208, 142.288, 886.104
162.915, 1031.53, 53.7927, 889.24, 142.288, 886.072
165.915, 1032.42, 53.839, 889.848, 142.568, 885.184
169.915, 1032.87, 53.8627, 890.184, 142.688, 884.728
172.915, 1032.87, 53.8627, 890.176, 142.696, 884.728
176.915, 1032.87, 53.8627, 890.136, 142.736, 884.728
180.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
183.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
187.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
190.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
194.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
197.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
201.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
204.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
208.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
211.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
215.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
219.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
222.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
226.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
229.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
232.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
236.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
240.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
243.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
247.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
250.915, 1032.87, 53.8627, 890.112, 142.76, 884.728
254.915, 1032.87, 53.8627, 890.104, 142.768, 884.728
257.915, 1032.87, 53.8627, 890.12, 142.752, 884.728
261.915, 1032.87, 53.8627, 890.064, 142.808, 884.728
264.915, 1032.87, 53.8627, 890.096, 142.776, 884.728
268.915, 1032.87, 53.8627, 890.088, 142.784, 884.728
271.915, 1032.87, 53.8627, 890.056, 142.816, 884.728
275.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
278.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
282.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
285.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
289.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
292.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
296.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
299.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
303.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
306.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
310.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
313.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
317.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
320.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
324.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
327.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
330.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
334.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
337.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
340.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
344.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
347.915, 1032.87, 53.8627, 890.048, 142.824, 884.728
351.915, 1032.87, 53.8627, 890.016, 142.856, 884.728
354.915, 1032.87, 53.8627, 889.976, 142.896, 884.728
358.915, 1032.87, 53.8627, 890, 142.872, 884.728
361.915, 1032.88, 53.8632, 890.008, 142.872, 884.72
364.915, 1032.88, 53.8632, 890.016, 142.864, 884.72
368.915, 1032.88, 53.8632, 890, 142.88, 884.72
371.915, 1032.88, 53.8632, 890, 142.88, 884.72
375.915, 1032.88, 53.8632, 890, 142.88, 884.72
378.915, 1032.88, 53.8632, 890, 142.88, 884.72
381.915, 1032.88, 53.8632, 890, 142.88, 884.72
385.915, 1032.88, 53.8632, 890, 142.88, 884.72
389.915, 1032.88, 53.8632, 890, 142.88, 884.72
392.915, 1032.88, 53.8632, 890, 142.88, 884.72
396.915, 1032.88, 53.8632, 890, 142.88, 884.72
399.915, 1032.88, 53.8632, 890, 142.88, 884.72
403.915, 1032.88, 53.8632, 890, 142.88, 884.72
406.915, 1032.88, 53.8632, 890, 142.88, 884.72
410.915, 1032.88, 53.8632, 890, 142.88, 884.72
413.915, 1032.88, 53.8632, 890, 142.88, 884.72
417.915, 1032.88, 53.8632, 890, 142.88, 884.72
