Iteration, Path length, Time, Planning, Flying
0, 2.05482, 2.93, 0.41, 0
1, 11.1098, 12.985, 0.755, 0.12
2, 25.8073, 23.985, 0.775, 23.22
3, 40.2393, 36.935, 9.62, 38.58
4, 40.2393, 48.935, 9.62, 38.58
5, 43.6046, 59.985, 43.56, 38.6
6, 43.7162, 66.04, 62.815, 39
7, 71.0917, 82.93, 62.815, 66.04
8, 73.1288, 91.04, 131.535, 66.08
9, 113.812, 108.985, 137.275, 107.3
10, 113.812, 122.935, 137.275, 107.3
11, 127.698, 128.04, 137.275, 120.28
12, 243.183, 143.945, 153.77, 219.04
13, 243.183, 153.04, 153.77, 219.04
14, 243.183, 172.935, 153.77, 219.04
15, 243.183, 178.04, 153.77, 219.04
16, 243.183, 195.93, 153.77, 219.04
17, 243.183, 206.945, 153.77, 219.04
18, 243.183, 223.935, 153.77, 219.04
19, 243.183, 236.935, 153.77, 219.04
20, 243.183, 242.04, 153.77, 219.04
21, 243.183, 255.04, 153.77, 219.04
22, 243.183, 274.935, 153.77, 219.04
23, 243.183, 287.935, 153.77, 219.04
24, 243.183, 295.945, 153.77, 219.04
25, 243.183, 312.935, 153.77, 219.04
26, 243.183, 325.935, 153.77, 219.04
27, 243.183, 332.04, 153.77, 219.04
28, 243.183, 351.935, 153.77, 219.04
29, 366.778, 358.925, 217.875, 313.68
30, 366.778, 370.04, 217.875, 313.68
31, 366.778, 385.945, 217.875, 313.68
32, 366.778, 398.945, 217.875, 313.68
33, 366.778, 415.935, 217.875, 313.68
34, 366.778, 421.04, 217.875, 313.68
35, 366.778, 440.935, 217.875, 313.68
36, 366.778, 446.04, 217.875, 313.68
37, 366.778, 465.935, 217.875, 313.68
