start-time,duration,end-time,type-of-collision
58.135,1.1200000000000001,59.255,Agent-Human
75.775,1.1200000000000001,76.895,Agent-Human
98.385,1.1200000000000001,99.505,Agent-Human
115.955,1.1899999999999999,117.145,Agent-Human
138.635,1.1200000000000001,139.755,Agent-Human
156.205,1.1899999999999999,157.395,Agent-Human
178.885,1.1200000000000001,180.005,Agent-Human
196.455,1.1200000000000001,197.575,Agent-Human
219.065,1.1899999999999999,220.255,Agent-Human
236.705,1.1200000000000001,237.825,Agent-Human
259.315,1.1899999999999999,260.505,Agent-Human
276.955,1.1200000000000001,278.075,Agent-Human
299.565,1.1200000000000001,300.685,Agent-Human
317.205,1.1200000000000001,318.325,Agent-Human
339.815,1.1200000000000001,340.935,Agent-Human
