Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
6.895, 644.8, 33.6254, 541.208, 103.592, 1272.8
16.895, 885.68, 46.1869, 764.904, 120.776, 1031.92
25.92, 1069.84, 55.7906, 937.432, 132.408, 847.76
44.965, 1210.2, 63.1101, 1059.66, 150.536, 707.4
54.93, 1260.34, 65.7251, 1108.93, 151.416, 657.256
60.91, 1345.27, 70.1539, 1177.02, 168.248, 572.328
78.895, 1409.84, 73.5211, 1234.36, 175.48, 507.76
94.93, 1437.14, 74.9445, 1251.07, 186.064, 480.464
108.93, 1478.9, 77.1222, 1288.22, 190.68, 438.704
119.895, 1529.98, 79.786, 1329.81, 200.168, 387.624
138.965, 1585.9, 82.7025, 1371.96, 213.944, 331.696
150.93, 1635.53, 85.2904, 1418.89, 216.64, 282.072
162.895, 1663.54, 86.7514, 1440.95, 222.592, 254.056
179.93, 1690.04, 88.1331, 1473.93, 216.112, 227.56
194.93, 1702.58, 88.7872, 1477.67, 224.912, 215.016
211.965, 1707.26, 89.0313, 1481.72, 225.544, 210.336
226.965, 1710.98, 89.2253, 1483.24, 227.744, 206.616
236.895, 1714.08, 89.3867, 1485.71, 228.368, 203.52
246.91, 1714.2, 89.393, 1485.96, 228.24, 203.4
268.93, 1715.12, 89.441, 1483.83, 231.288, 202.48
281.895, 1715.98, 89.4856, 1482.3, 233.672, 201.624
301.965, 1717.1, 89.544, 1483.24, 233.856, 200.504
314.93, 1717.54, 89.567, 1482.8, 234.736, 200.064
329.93, 1720.19, 89.7055, 1483.37, 236.824, 197.408
342.895, 1720.54, 89.7238, 1483.83, 236.712, 197.056
362.965, 1720.66, 89.7301, 1482.84, 237.824, 196.936
375.93, 1720.72, 89.733, 1480.94, 239.776, 196.88
388.895, 1720.76, 89.7351, 1480.18, 240.584, 196.84
396.96, 1720.76, 89.7351, 1481.55, 239.208, 196.84
419.895, 1720.96, 89.7455, 1481.18, 239.776, 196.64
434.895, 1721.1, 89.753, 1486.75, 234.352, 196.496
447.92, 1723.92, 89.8999, 1494.14, 229.776, 193.68
467.93, 1727.06, 90.0634, 1489.19, 237.864, 190.544
485.965, 1729.07, 90.1685, 1490.69, 238.384, 188.528
496.895, 1729.4, 90.1856, 1487.31, 242.088, 188.2
507.96, 1730.12, 90.2232, 1485.34, 244.776, 187.48
536.965, 1731.31, 90.2854, 1485.69, 245.624, 186.288
547.895, 1734.55, 90.4543, 1488.78, 245.768, 183.048
565.93, 1737.17, 90.5907, 1492.14, 245.032, 180.432
576.92, 1737.71, 90.6191, 1492.9, 244.816, 179.888
594.895, 1737.71, 90.6191, 1493.31, 244.4, 179.888
605.91, 1737.74, 90.6208, 1494.23, 243.512, 179.856
628.93, 1738.15, 90.6421, 1494.99, 243.16, 179.448
644.93, 1738.18, 90.6433, 1496.18, 241.992, 179.424
660.93, 1738.86, 90.6788, 1494.96, 243.896, 178.744
676.93, 1739.55, 90.7151, 1496.46, 243.096, 178.048
692.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
706.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
722.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
738.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
759.965, 1739.55, 90.7151, 1496.43, 243.12, 178.048
773.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
789.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
805.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
821.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
835.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
851.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
865.92, 1739.55, 90.7151, 1496.43, 243.12, 178.048
886.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
902.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
918.93, 1739.55, 90.7151, 1496.43, 243.12, 178.048
932.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
948.895, 1739.55, 90.7151, 1496.43, 243.12, 178.048
969.965, 1739.55, 90.7151, 1496.43, 243.12, 178.048
