Goal x, Goal y, Goal z, Planner
-8.91765, 6.00703, 0.901123, racer
-8.50197, 6.04008, 0.918493, racer
-8.50213, 6.04307, 0.905588, racer
-8.52905, 5.97719, 0.888606, racer
-8.739, 5.49566, 0.909532, racer
-8.83136, 5.44029, 0.937505, racer
-8.65586, 6.3124, 0.901609, racer
-8.64447, 6.37065, 0.925806, racer
-8.92059, 5.8212, 1.13441, racer
-9.62291, 4.52146, 1.26808, racer
-10.4416, 3.91149, 1.6043, racer
-10.7867, 4.2985, 1.86278, racer
-10.4457, 5.53818, 1.37335, racer
-10.621, 6.26972, 1.50029, racer
-10.5893, 6.95688, 1.83031, racer
-11.0233, 7.18298, 1.76872, racer
-11.5873, 7.37015, 1.04944, racer
-11.2328, 7.27199, 0.938823, racer
-10.5367, 6.90595, 1.57015, racer
-10.9636, 7.31637, 2.07022, racer
-11.7854, 7.25432, 1.70039, racer
-12.0127, 7.64489, 1.33321, racer
-11.8094, 8.83375, 1.51799, racer
-12.3898, 9.02317, 1.25948, racer
-13.1009, 8.87664, 0.746936, racer
-12.5086, 9.91691, 0.959241, racer
-11.6379, 10.6796, 1.56009, racer
-11.5432, 10.1646, 2.20546, racer
-11.5236, 9.05951, 2.28409, racer
-11.3186, 8.72232, 2.23253, racer
-11.447, 8.834, 2.25682, racer
-11.3691, 8.77675, 2.1742, racer
-10.7411, 8.36436, 1.65662, racer
-10.1966, 8.04723, 1.24982, racer
-9.65738, 8.14566, 1.06604, racer
-9.21781, 7.94084, 1.10835, racer
-8.74829, 7.20866, 1.86742, racer
-9.08142, 7.3648, 2.35893, racer
-8.95543, 6.91949, 2.45656, racer
-9.0452, 6.59726, 1.62879, racer
-9.01107, 6.58559, 1.03435, racer
-9.05039, 6.52626, 1.00935, racer
-9.47697, 5.70069, 1.00055, racer
-10.0125, 4.98218, 1.05739, racer
-10.4886, 5.40453, 1.16808, racer
-10.6817, 5.21436, 1.45765, racer
-10.5638, 3.96934, 1.92349, racer
-10.8877, 2.78595, 2.19621, racer
-10.812, 2.28665, 1.80978, racer
-9.76285, 2.07788, 1.56631, racer
-9.50467, 2.19702, 1.86035, racer
-9.83089, 1.67027, 1.80774, racer
-9.67444, 0.667851, 1.94156, racer
-10.0849, 0.299798, 2.17587, racer
-11.2287, 0.837844, 2.2596, racer
-11.3772, 1.69166, 2.22747, racer
-10.5933, 2.07647, 2.19876, racer
-9.9719, 2.22584, 2.17035, racer
-10.1009, 1.9313, 1.52413, racer
-10.8194, 1.3127, 0.802208, racer
-11.17, 1.743, 1.41303, racer
-11.0479, 2.17338, 2.19475, racer
-10.6269, 1.44895, 1.93877, racer
-10.3924, 0.288267, 1.25235, racer
