Iteration, Path length, Time, Planning, Flying
1, 0.00280681, 0.34, 0.305, 0.02
2, 0.281032, 1.34, 0.465, 0.86
3, 0.527501, 2.34, 1.145, 1.18
4, 0.560377, 3.34, 2.04, 1.285
5, 0.69132, 4.34, 2.12, 2.205
6, 0.747749, 5.34, 2.54, 2.785
7, 0.869975, 6.34, 2.88, 3.445
8, 0.915899, 7.34, 3.32, 4.005
9, 0.941538, 8.34, 4.24, 4.085
10, 1.1731, 9.34, 4.38, 4.945
11, 2.01276, 10.34, 4.62, 5.705
12, 2.01413, 11.34, 5.62, 5.705
13, 2.02722, 12.34, 6.54, 5.785
14, 2.05614, 13.34, 7.46, 5.865
15, 2.55622, 14.34, 7.62, 6.705
16, 3.92679, 15.34, 7.62, 7.705
17, 4.52935, 16.34, 7.64, 8.685
18, 5.18131, 17.34, 7.66, 9.665
19, 6.48653, 18.34, 7.66, 10.665
20, 7.24116, 19.34, 7.66, 11.665
21, 7.70776, 20.34, 7.66, 12.665
22, 8.91505, 21.34, 7.66, 13.665
23, 9.53351, 22.34, 7.66, 14.665
24, 10.4198, 23.34, 7.68, 15.645
25, 11.8801, 24.34, 7.68, 16.645
26, 13.3066, 25.34, 7.72, 17.605
27, 13.8795, 26.34, 7.74, 18.585
28, 15.3501, 27.34, 7.76, 19.565
29, 16.1743, 28.34, 7.78, 20.545
30, 17.0459, 29.34, 7.78, 21.545
31, 18.2146, 30.34, 7.8, 22.525
32, 18.6919, 31.34, 7.82, 23.505
33, 19.9285, 32.34, 7.84, 24.485
34, 20.6005, 33.34, 7.86, 25.465
35, 21.371, 34.34, 7.86, 26.465
36, 21.9869, 35.34, 7.86, 27.465
37, 23.0225, 36.34, 7.9, 28.425
38, 23.918, 37.34, 7.96, 29.365
39, 24.6969, 38.34, 7.96, 30.365
40, 25.5776, 39.34, 7.96, 31.365
41, 27.0427, 40.34, 7.98, 32.345
42, 28.3518, 41.34, 8.005, 33.32
43, 28.9735, 42.34, 8.005, 34.32
44, 30.1416, 43.34, 8.005, 35.32
45, 31.1139, 44.34, 8.085, 36.24
46, 31.142, 45.34, 8.97, 36.355
47, 31.1683, 46.34, 9.91, 36.415
48, 31.7166, 47.34, 9.95, 37.375
49, 33.404, 48.34, 10.01, 38.315
50, 34.1503, 49.34, 10.03, 39.295
51, 34.9799, 50.34, 10.07, 40.255
52, 35.9209, 51.34, 10.09, 41.235
53, 36.9294, 52.34, 10.09, 42.235
54, 38.4631, 53.34, 10.11, 43.215
55, 39.0106, 54.34, 10.135, 44.19
56, 39.5973, 55.34, 10.155, 45.17
57, 39.7681, 56.34, 10.315, 46.01
58, 40.1944, 57.34, 10.355, 46.97
59, 41.4642, 58.34, 10.4, 47.925
60, 42.1784, 59.34, 10.4, 48.925
61, 42.99, 60.34, 10.42, 49.905
62, 44.0305, 61.34, 10.44, 50.885
63, 44.7423, 62.34, 10.44, 51.885
64, 45.7191, 63.34, 10.44, 52.885
65, 46.5395, 64.34, 10.44, 53.885
66, 47.4604, 65.34, 10.44, 54.885
67, 47.9193, 66.34, 10.48, 55.845
68, 48.6891, 67.34, 10.48, 56.845
69, 49.3554, 68.34, 10.48, 57.845
70, 50.6017, 69.34, 10.48, 58.845
71, 51.3045, 70.34, 10.48, 59.845
72, 52.0113, 71.34, 10.52, 60.805
73, 52.5448, 72.34, 10.52, 61.805
74, 53.3578, 73.34, 10.52, 62.805
75, 53.9169, 74.34, 10.56, 63.765
76, 55.019, 75.34, 10.58, 64.745
77, 55.7842, 76.34, 10.58, 65.745
78, 56.2412, 77.34, 10.6, 66.725
79, 56.9414, 78.34, 10.62, 67.705
80, 57.3101, 79.34, 10.685, 68.64
81, 57.6367, 80.34, 10.725, 69.6
82, 58.1639, 81.34, 10.725, 70.6
83, 58.8216, 82.34, 10.745, 71.58
84, 60.0575, 83.34, 10.785, 72.54
85, 61.0283, 84.34, 10.825, 73.5
86, 61.4888, 85.34, 10.825, 74.5
87, 62.4961, 86.34, 10.825, 75.5
88, 63.4059, 87.34, 10.87, 76.455
89, 64.4083, 88.34, 10.89, 77.435
90, 65.1232, 89.34, 10.91, 78.415
91, 65.9627, 90.34, 10.955, 79.37
92, 66.0889, 91.34, 11.595, 79.73
93, 66.8643, 92.34, 11.615, 80.71
94, 67.6816, 93.34, 11.615, 81.71
95, 68.5137, 94.34, 11.615, 82.71
96, 69.3184, 95.34, 11.635, 83.69
97, 70.4006, 96.34, 11.675, 84.65
98, 71.1067, 97.34, 11.715, 85.61
99, 72.5107, 98.34, 11.735, 86.59
100, 73.3536, 99.34, 11.735, 87.59
101, 74.3664, 100.34, 11.755, 88.57
102, 75.902, 101.34, 11.755, 89.57
103, 76.7117, 102.34, 11.815, 90.51
104, 77.9265, 103.34, 11.815, 91.51
105, 78.6526, 104.34, 11.815, 92.51
106, 79.4415, 105.34, 11.815, 93.51
107, 80.8645, 106.34, 11.815, 94.51
108, 81.4108, 107.34, 11.855, 95.47
109, 82.1966, 108.34, 11.855, 96.47
110, 82.5734, 109.34, 11.935, 97.39
111, 82.6648, 110.34, 12.115, 98.21
112, 82.9773, 111.34, 12.135, 99.19
113, 83.9521, 112.34, 12.135, 100.19
114, 85.2719, 113.34, 12.135, 101.19
115, 85.9453, 114.34, 12.135, 102.19
116, 86.876, 115.34, 12.155, 103.17
117, 87.9219, 116.34, 12.215, 104.11
118, 88.775, 117.34, 12.215, 105.11
119, 89.788, 118.34, 12.215, 106.11
120, 90.4813, 119.34, 12.235, 107.09
121, 91.7615, 120.34, 12.255, 108.07
122, 92.4249, 121.34, 12.275, 109.05
123, 93.1602, 122.34, 12.295, 110.03
124, 93.8126, 123.34, 12.295, 111.03
125, 94.5354, 124.34, 12.335, 111.99
126, 95.7848, 125.34, 12.335, 112.99
127, 96.8417, 126.34, 12.355, 113.97
128, 97.5191, 127.34, 12.355, 114.97
129, 98.4683, 128.34, 12.375, 115.95
130, 99.1567, 129.34, 12.415, 116.91
131, 99.5924, 130.34, 12.415, 117.91
132, 100.18, 131.34, 12.435, 118.89
133, 100.55, 132.34, 12.455, 119.87
134, 100.774, 133.34, 12.555, 120.77
135, 101.72, 134.34, 12.555, 121.77
136, 103.23, 135.34, 12.615, 122.71
137, 104.057, 136.34, 12.635, 123.69
138, 104.641, 137.34, 12.675, 124.65
139, 105.52, 138.34, 12.695, 125.63
140, 106.042, 139.34, 12.715, 126.61
141, 106.795, 140.34, 12.735, 127.59
142, 107.446, 141.34, 12.735, 128.59
143, 108.016, 142.34, 12.755, 129.57
144, 108.758, 143.34, 12.775, 130.55
145, 109.099, 144.34, 12.795, 131.53
146, 110.215, 145.34, 12.795, 132.53
147, 111.056, 146.34, 12.795, 133.53
148, 112.153, 147.34, 12.795, 134.53
149, 113.047, 148.34, 12.815, 135.51
150, 113.467, 149.34, 12.835, 136.49
151, 114.6, 150.34, 12.915, 137.41
152, 115.365, 151.34, 12.915, 138.41
153, 116.491, 152.34, 12.935, 139.39
154, 117.026, 153.34, 12.955, 140.37
155, 118.341, 154.34, 12.955, 141.37
156, 119.057, 155.34, 12.975, 142.35
157, 119.604, 156.34, 13.04, 143.285
158, 119.901, 157.34, 13.48, 143.845
159, 119.972, 158.34, 14.04, 144.285
160, 120.862, 159.34, 14.1, 145.225
161, 121.985, 160.34, 14.125, 146.2
162, 122.694, 161.34, 14.185, 147.14
163, 123.111, 162.34, 14.245, 148.08
164, 124.095, 163.34, 14.265, 149.06
165, 125.072, 164.34, 14.285, 150.04
166, 126.249, 165.34, 14.305, 151.02
167, 126.828, 166.34, 14.325, 152
168, 127.771, 167.34, 14.325, 153
169, 128.901, 168.34, 14.345, 153.98
170, 129.455, 169.34, 14.385, 154.94
171, 130.122, 170.34, 14.385, 155.94
172, 130.507, 171.34, 14.445, 156.88
173, 131.756, 172.34, 14.445, 157.885
174, 132.631, 173.34, 14.445, 158.88
175, 133.19, 174.34, 14.465, 159.86
176, 134.036, 175.34, 14.465, 160.86
177, 134.341, 176.34, 14.545, 161.78
178, 135.424, 177.34, 14.545, 162.78
179, 136.597, 178.34, 14.585, 163.74
180, 137.343, 179.34, 14.585, 164.74
181, 137.851, 180.34, 14.625, 165.7
182, 138.745, 181.34, 14.665, 166.66
183, 140.039, 182.34, 14.665, 167.66
184, 140.805, 183.34, 14.665, 168.66
185, 142.205, 184.34, 14.685, 169.64
186, 142.835, 185.34, 14.685, 170.64
187, 143.666, 186.34, 14.705, 171.62
188, 144.793, 187.34, 14.705, 172.62
189, 146.058, 188.34, 14.705, 173.62
190, 146.564, 189.34, 14.705, 174.62
191, 147.768, 190.34, 14.75, 175.575
192, 148.556, 191.34, 14.75, 176.575
193, 149.25, 192.34, 14.75, 177.575
194, 150.071, 193.34, 14.79, 178.535
195, 151.137, 194.34, 14.83, 179.495
196, 151.713, 195.34, 14.83, 180.495
197, 152.505, 196.34, 14.85, 181.475
198, 153.463, 197.34, 14.85, 182.475
199, 154.476, 198.34, 14.87, 183.455
200, 155.516, 199.34, 14.87, 184.455
201, 156.077, 200.34, 14.89, 185.435
202, 157.452, 201.34, 14.905, 186.42
203, 158.025, 202.34, 14.925, 187.4
204, 158.675, 203.34, 14.925, 188.4
205, 160.046, 204.34, 14.925, 189.4
206, 160.876, 205.34, 14.945, 190.38
207, 162.054, 206.34, 14.965, 191.36
208, 163.455, 207.34, 15.01, 192.315
209, 164.334, 208.34, 15.05, 193.275
210, 164.879, 209.34, 15.09, 194.235
211, 165.83, 210.34, 15.15, 195.175
212, 166.607, 211.34, 15.235, 196.09
213, 167.235, 212.34, 15.255, 197.07
214, 167.733, 213.34, 15.255, 198.07
215, 168.727, 214.34, 15.255, 199.07
216, 169.209, 215.34, 15.295, 200.03
217, 170.344, 216.34, 15.355, 200.97
218, 170.846, 217.34, 15.375, 201.95
219, 171.647, 218.34, 15.435, 202.89
220, 172.658, 219.34, 15.455, 203.87
221, 173.436, 220.34, 15.475, 204.85
222, 174.421, 221.34, 15.495, 205.83
223, 175.578, 222.34, 15.495, 206.83
