Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.93, 42.744, 2.22904, 30.272, 12.472, 1874.86
2.93, 48.968, 2.55361, 34.16, 14.808, 1868.63
2.93, 59.688, 3.11264, 41.072, 18.616, 1857.91
2.95, 87.712, 4.57405, 61.232, 26.48, 1829.89
4.95, 136.392, 7.11264, 103.104, 33.288, 1781.21
7.95, 170.768, 8.9053, 136.336, 34.432, 1746.83
10.95, 183.288, 9.5582, 147.68, 35.608, 1734.31
15.93, 198.32, 10.3421, 160.8, 37.52, 1719.28
18.93, 211.632, 11.0363, 173.144, 38.488, 1705.97
21.93, 226.04, 11.7877, 184.144, 41.896, 1691.56
24.93, 230.296, 12.0096, 189.304, 40.992, 1687.3
27.93, 253.288, 13.2086, 208.472, 44.816, 1664.31
27.95, 264.944, 13.8164, 219.888, 45.056, 1652.66
30.95, 294.608, 15.3634, 244.224, 50.384, 1622.99
33.95, 301.648, 15.7305, 250.44, 51.208, 1615.95
36.95, 305.96, 15.9554, 252.136, 53.824, 1611.64
39.95, 312.44, 16.2933, 258.184, 54.256, 1605.16
42.95, 313.896, 16.3692, 260.704, 53.192, 1603.7
45.95, 325.728, 16.9862, 272.552, 53.176, 1591.87
48.95, 347.008, 18.096, 291.024, 55.984, 1570.59
51.95, 368.736, 19.229, 308.568, 60.168, 1548.86
54.95, 405.032, 21.1218, 340.76, 64.272, 1512.57
57.95, 435.728, 22.7226, 371.464, 64.264, 1481.87
60.95, 465.704, 24.2858, 397.336, 68.368, 1451.9
66.93, 489.984, 25.5519, 419.12, 70.864, 1427.62
69.93, 512.664, 26.7347, 441.56, 71.104, 1404.94
72.93, 539.912, 28.1556, 465.696, 74.216, 1377.69
75.93, 575.656, 30.0196, 496.384, 79.272, 1341.94
76.95, 596.272, 31.0947, 515.184, 81.088, 1321.33
79.95, 628.296, 32.7647, 542.232, 86.064, 1289.3
85.93, 637.544, 33.247, 551.416, 86.128, 1280.06
88.93, 656.896, 34.2562, 566.088, 90.808, 1260.7
89.95, 665.728, 34.7167, 573.32, 92.408, 1251.87
92.95, 674.96, 35.1982, 581.128, 93.832, 1242.64
95.95, 694.04, 36.1932, 598.112, 95.928, 1223.56
98.95, 704.144, 36.7201, 603.728, 100.416, 1213.46
104.93, 727.824, 37.9549, 624.432, 103.392, 1189.78
105.95, 746.992, 38.9545, 641.104, 105.888, 1170.61
108.95, 757.744, 39.5152, 650.808, 106.936, 1159.86
114.93, 768.944, 40.0993, 662.168, 106.776, 1148.66
115.95, 780.272, 40.69, 671.856, 108.416, 1137.33
118.95, 796.176, 41.5194, 681.84, 114.336, 1121.42
124.93, 808.672, 42.171, 691.224, 117.448, 1108.93
