Iteration, Path length, Time, Planning, Flying
1, 0.0861655, 0.94, 0.435, 0.5
2, 0.466429, 1.94, 0.435, 1.5
3, 0.621528, 2.94, 0.455, 2.48
4, 0.766645, 3.94, 0.535, 3.4
5, 1.08799, 4.94, 0.535, 4.4
6, 1.45718, 5.94, 0.535, 5.4
7, 1.87951, 6.94, 0.535, 6.4
8, 2.89525, 7.94, 0.535, 7.4
9, 3.93983, 8.94, 0.535, 8.4
10, 4.64698, 9.94, 0.535, 9.4
11, 5.29986, 10.94, 0.535, 10.4
12, 5.84343, 11.94, 0.535, 11.4
13, 6.38258, 12.94, 0.535, 12.4
14, 7.5447, 13.94, 0.535, 13.4
15, 8.07091, 14.94, 0.535, 14.4
16, 8.92325, 15.94, 0.535, 15.4
17, 9.531, 16.94, 0.535, 16.4
18, 10.3736, 17.94, 0.535, 17.4
19, 11.3241, 18.94, 0.535, 18.4
20, 12.411, 19.94, 0.535, 19.4
21, 13.6515, 20.94, 0.535, 20.4
22, 14.6555, 21.94, 0.535, 21.4
23, 15.6864, 22.94, 0.535, 22.4
24, 16.4928, 23.94, 0.535, 23.4
25, 17.1782, 24.94, 0.535, 24.4
26, 17.6934, 25.94, 0.535, 25.4
27, 18.6748, 26.94, 0.535, 26.4
28, 19.3943, 27.94, 0.535, 27.4
29, 20.2974, 28.94, 0.535, 28.4
30, 21.379, 29.94, 0.535, 29.4
31, 22.3789, 30.94, 0.535, 30.4
32, 23.5978, 31.94, 0.535, 31.4
33, 24.5742, 32.94, 0.535, 32.4
34, 25.1731, 33.94, 0.535, 33.4
35, 26.5113, 34.94, 0.535, 34.4
36, 27.5853, 35.94, 0.535, 35.4
37, 28.5145, 36.94, 0.535, 36.4
38, 29.5224, 37.94, 0.535, 37.4
39, 30.3652, 38.94, 0.535, 38.4
40, 31.0779, 39.94, 0.555, 39.38
41, 31.9596, 40.94, 0.555, 40.38
42, 33.0182, 41.94, 0.555, 41.38
43, 34.2117, 42.94, 0.555, 42.38
44, 35.3127, 43.94, 0.555, 43.38
45, 35.8653, 44.94, 0.555, 44.38
46, 36.034, 45.94, 0.655, 45.28
47, 36.991, 46.94, 0.655, 46.28
48, 37.7419, 47.94, 0.655, 47.28
49, 38.6927, 48.94, 0.655, 48.28
50, 39.5764, 49.94, 0.655, 49.28
51, 39.8941, 50.94, 0.675, 50.26
52, 40.7257, 51.94, 0.675, 51.26
53, 41.7924, 52.94, 0.675, 52.26
54, 42.0563, 53.94, 1.215, 52.72
55, 42.5944, 54.94, 1.215, 53.72
56, 43.6984, 55.94, 1.215, 54.72
57, 44.7994, 56.94, 1.215, 55.72
58, 45.7805, 57.94, 1.215, 56.72
59, 46.5856, 58.94, 1.215, 57.72
60, 47.7818, 59.94, 1.215, 58.72
61, 48.8208, 60.94, 1.215, 59.72
62, 49.6666, 61.94, 1.215, 60.72
63, 50.1416, 62.94, 1.295, 61.64
64, 51.2218, 63.94, 1.295, 62.64
65, 52.1705, 64.94, 1.295, 63.64
66, 53.4053, 65.94, 1.295, 64.64
67, 53.9983, 66.94, 1.295, 65.64
68, 54.5323, 67.94, 1.295, 66.64
69, 55.7038, 68.94, 1.295, 67.64
70, 56.6408, 69.94, 1.295, 68.64
71, 57.8966, 70.94, 1.295, 69.64
72, 59.3817, 71.94, 1.315, 70.62
73, 60.3667, 72.94, 1.315, 71.62
74, 60.9613, 73.94, 1.315, 72.62
