Goal x, Goal y, Goal z, Planner
7.45222, 8.04613, 0.900199, racer
7.6796, 7.76418, 0.9002, racer
7.79833, 7.83175, 0.90027, racer
7.8659, 7.97056, 0.900258, racer
7.91074, 7.9907, 0.928163, racer
8.58334, 8.04387, 1.1298, racer
9.60437, 7.81977, 1.42165, racer
10.4328, 8.00649, 1.67389, racer
10.479, 8.0826, 1.36876, racer
10.0634, 8.00924, 1.14658, racer
9.817, 8.02408, 1.37925, racer
10.1405, 8.14458, 1.40328, racer
10.7984, 7.49881, 1.27996, racer
11.5189, 6.98875, 1.06819, racer
12.4169, 7.16527, 1.04231, racer
12.317, 7.0889, 1.08854, racer
11.452, 7.05613, 0.989623, racer
11.0129, 7.2369, 0.985877, racer
11.1138, 7.16051, 1.0287, racer
11.2179, 6.32832, 1.51673, racer
10.5254, 5.57837, 1.78053, racer
10.3966, 5.04297, 1.64222, racer
10.742, 4.72807, 1.21523, racer
10.6408, 4.75325, 1.20442, racer
10.7059, 4.81573, 1.22948, racer
10.9314, 5.69386, 1.24787, racer
10.8526, 6.5626, 1.00221, racer
11.4845, 6.79871, 1.01426, racer
12.0268, 6.22056, 1.15949, racer
12.6166, 5.95492, 1.01441, racer
12.6874, 6.05776, 1.15213, racer
11.755, 5.812, 1.18306, racer
10.776, 5.48384, 1.07138, racer
10.0137, 5.12943, 1.07279, racer
10.1465, 5.14224, 1.07378, racer
10.7722, 4.74091, 1.07786, racer
11.0818, 4.29379, 1.08022, racer
11.1314, 4.14863, 1.10499, racer
11.1139, 4.15566, 1.13604, racer
11.1139, 4.15566, 1.13604, racer
11.1139, 4.15566, 1.13604, racer
10.9657, 4.44187, 1.15968, racer
10.7275, 5.56629, 1.5759, racer
11.2973, 6.79073, 2.11649, racer
11.129, 7.1865, 2.43449, racer
10.3791, 7.61547, 2.25296, racer
9.54771, 8.04395, 2.14534, racer
8.68544, 7.99803, 2.02075, racer
7.92854, 7.95764, 1.45267, racer
8.40674, 7.97775, 1.17312, racer
9.5857, 8.15025, 1.55867, racer
10.0734, 7.82831, 1.85623, racer
9.98993, 7.90835, 1.67582, racer
10.2027, 8.07101, 1.10453, racer
10.2982, 7.9686, 0.945056, racer
10.415, 7.66812, 1.14982, racer
11.0726, 7.04449, 1.40531, racer
10.9314, 6.24177, 1.59691, racer
10.2032, 5.29007, 1.86864, racer
10.1049, 4.8823, 2.0009, racer
10.3993, 4.70966, 1.66738, racer
10.7437, 4.90887, 0.943104, racer
10.9031, 4.71719, 0.895249, racer
10.6737, 4.84364, 1.22759, racer
10.2141, 5.29555, 1.98952, racer
10.3674, 6.04269, 2.11242, racer
11.2915, 6.63476, 2.29815, racer
11.6557, 7.11187, 2.05599, racer
12.0887, 6.95402, 1.31962, racer
12.5213, 7.10964, 1.01413, racer
12.6995, 7.39428, 1.55785, racer
13.0322, 8.18741, 1.85609, racer
12.9494, 9.14962, 1.56524, racer
12.8222, 9.71064, 1.47533, racer
12.6186, 10.396, 1.80717, racer
12.3531, 10.7291, 2.40396, racer
12.4177, 11.4234, 2.05193, racer
11.6844, 12.1459, 1.27749, racer
11.4728, 12.7735, 1.17344, racer
11.3263, 13.6633, 1.71823, racer
11.5462, 13.6655, 1.9935, racer
12.5349, 13.4454, 2.15032, racer
13.3324, 13.3829, 2.49033, racer
13.6737, 12.7382, 2.31585, racer
13.7087, 11.7765, 2.10409, racer
13.6087, 10.9971, 1.57127, racer
13.4937, 10.7627, 1.87223, racer
13.3832, 10.762, 2.38409, racer
13.154, 10.6475, 2.0935, racer
13.1725, 10.6681, 2.22515, racer
13.1217, 10.4501, 2.39224, racer
13.1136, 10.3083, 2.39793, racer
12.8527, 10.262, 2.21164, racer
12.5559, 10.0913, 1.9823, racer
12.5006, 9.20772, 1.90141, racer
12.8714, 8.26386, 1.9131, racer
13.1277, 7.38969, 1.3478, racer
13.0351, 6.80816, 0.941933, racer
12.2356, 6.59555, 1.0702, racer
11.7289, 6.3646, 1.02466, racer
11.1503, 5.43444, 1.19861, racer
10.8886, 4.8151, 1.47794, racer
10.8509, 4.99984, 1.35841, racer
11.1665, 5.72748, 0.990015, racer
12.0569, 5.84916, 1.06848, racer
13.2271, 5.61698, 1.08677, racer
13.4081, 5.54647, 1.00803, racer
12.4477, 5.49128, 1.04425, racer
11.1204, 5.31773, 1.04005, racer
10.6689, 4.99684, 1.00477, racer
10.4821, 4.8983, 1.29024, racer
10.3499, 4.80718, 1.62459, racer
10.7636, 4.81125, 1.30713, racer
10.8455, 4.86113, 1.17149, racer
10.4455, 4.81816, 1.7704, racer
10.5681, 4.81083, 1.73987, racer
10.9415, 4.47634, 1.9074, racer
11.0467, 4.28703, 1.90476, racer
10.92, 4.55645, 1.80267, racer
10.646, 4.91809, 1.19667, racer
10.772, 4.8262, 1.11901, racer
10.8063, 4.83601, 1.0307, racer
10.752, 4.81858, 1.09619, racer
10.7444, 4.66892, 1.4752, racer
10.7494, 4.76376, 1.51895, racer
10.7631, 4.97259, 1.6634, racer
10.6572, 4.91971, 1.57656, racer
10.7601, 5.23812, 1.79762, racer
11.3961, 6.16068, 2.21529, racer
11.8042, 6.9259, 1.99963, racer
12.6906, 7.39435, 1.8636, racer
13.083, 7.41331, 1.29791, racer
12.3931, 7.11139, 1.06639, racer
11.5034, 7.04438, 1.10996, racer
10.7909, 6.69768, 1.24787, racer
10.0166, 6.16685, 1.8587, racer
9.63063, 6.09949, 1.88211, racer
10.2205, 5.9034, 1.89147, racer
11.3769, 5.91427, 2.05282, racer
12.2512, 5.94707, 1.5955, racer
12.6815, 5.23034, 1.2552, racer
13.1359, 4.48564, 1.0185, racer
13.0347, 4.51305, 1.05545, racer
13.0266, 4.59212, 1.04896, racer
12.5344, 5.27958, 1.07185, racer
12.7613, 6.23454, 0.964788, racer
13.1512, 7.20349, 0.954884, racer
13.2899, 8.15582, 1.25603, racer
13.63, 8.58515, 1.79775, racer
13.6321, 8.60597, 1.83839, racer
13.2524, 8.61734, 1.50385, racer
12.526, 9.08715, 1.45294, racer
12.5324, 9.85136, 1.24538, racer
12.5427, 10.8231, 1.06807, racer
11.7695, 11.3927, 1.05707, racer
10.947, 11.0823, 1.55679, racer
10.1706, 10.8208, 1.29117, racer
10.2336, 11.2029, 1.34225, racer
10.7149, 11.9049, 2.04185, racer
10.3798, 12.1691, 2.25791, racer
9.35318, 12.1931, 2.29858, racer
8.98497, 12.7572, 2.34299, racer
9.41916, 13.7475, 1.91764, racer
9.54148, 14.0918, 1.41442, racer
9.0972, 14.5917, 1.02433, racer
8.58092, 15.1895, 1.09424, racer
8.11909, 14.7805, 1.00138, racer
7.83176, 13.4474, 0.98885, racer
7.70326, 12.5694, 0.983276, racer
8.1415, 12.8864, 1.19669, racer
9.28517, 13.0377, 1.52268, racer
9.79533, 12.3582, 1.32094, racer
9.5404, 11.3873, 0.918933, racer
9.66425, 10.8341, 1.01614, racer
10.4838, 10.8319, 1.33934, racer
11.6318, 10.8058, 1.21642, racer
12.7071, 10.7782, 1.26982, racer
13.5543, 10.9305, 1.50542, racer
13.3962, 10.7166, 2.20115, racer
12.9772, 10.6957, 2.18768, racer
12.7, 10.2088, 1.87336, racer
12.7059, 9.3006, 1.76552, racer
12.8842, 8.59605, 1.56756, racer
12.6415, 7.65522, 1.81548, racer
12.3681, 7.21381, 1.49204, racer
12.0172, 7.00702, 0.95306, racer
11.2744, 6.64892, 1.11943, racer
10.5494, 6.14426, 1.0565, racer
10.3165, 5.61343, 0.883972, racer
11.0852, 5.69386, 1.02312, racer
11.999, 5.74743, 0.992634, racer
12.7552, 5.67028, 0.88177, racer
12.6653, 5.31824, 1.17723, racer
12.2458, 4.83122, 1.39627, racer
12.3938, 4.72776, 1.57042, racer
12.8933, 4.86379, 1.49332, racer
13.0945, 4.69267, 2.07426, racer
12.8217, 4.65948, 2.34178, racer
12.8048, 4.66811, 2.32711, racer
12.311, 5.11073, 2.14854, racer
12.2411, 5.98308, 1.62562, racer
11.9074, 6.62493, 1.11273, racer
12.0858, 7.15061, 1.00691, racer
12.5287, 7.52706, 1.04557, racer
12.8056, 8.61086, 1.13916, racer
12.908, 8.87226, 1.23552, racer
12.946, 8.11007, 1.59197, racer
13.3267, 7.11358, 1.99814, racer
13.6076, 6.29407, 2.1276, racer
13.0641, 5.41734, 2.00173, racer
12.8091, 4.89955, 1.41582, racer
12.6484, 4.85767, 1.09675, racer
12.436, 4.93305, 1.01135, racer
12.7165, 4.97615, 1.1673, racer
13.106, 5.69235, 1.82249, racer
12.968, 6.80679, 1.93074, racer
13.1126, 7.87708, 1.89946, racer
13.5536, 8.27882, 1.39911, racer
12.9815, 7.87307, 1.24175, racer
11.9666, 7.51646, 1.77443, racer
11.6427, 7.09265, 2.09858, racer
10.9857, 6.20263, 2.04961, racer
10.4138, 5.4925, 2.23806, racer
10.6017, 4.643, 2.22126, racer
10.8977, 4.92744, 2.15477, racer
11.4344, 5.79007, 2.12705, racer
12.3422, 5.77964, 2.2205, racer
13.1085, 5.81459, 2.18008, racer
13.4537, 6.596, 1.60185, racer
13.5742, 6.90482, 1.02884, racer
13.4687, 7.6555, 1.00661, racer
13.6569, 8.07065, 1.07216, racer
13.4214, 8.42623, 1.04682, racer
13.5409, 8.3979, 1.03817, racer
13.6528, 8.60882, 0.968011, racer
13.6255, 8.55926, 0.977533, racer
13.2583, 7.76421, 1.15391, racer
13.2004, 6.60204, 1.26652, racer
12.7155, 5.65449, 1.54283, racer
12.2518, 5.34284, 1.85546, racer
12.1635, 5.58446, 1.9591, racer
12.7254, 5.59654, 1.37574, racer
12.8434, 5.45641, 1.17073, racer
12.9081, 5.6202, 1.76643, racer
13.5823, 6.429, 2.10335, racer
13.6113, 7.35138, 1.6678, racer
13.4752, 8.21836, 1.75923, racer
13.356, 8.22107, 1.8551, racer
13.5614, 7.27827, 1.50583, racer
13.4389, 6.63004, 1.07896, racer
12.9812, 6.04016, 1.00096, racer
12.8317, 4.99661, 1.06137, racer
12.76, 4.74363, 0.951784, racer
12.7896, 4.82498, 0.969398, racer
12.9382, 5.00979, 1.00964, racer
12.984, 5.0059, 1.04514, racer
12.6643, 4.85203, 1.25263, racer
12.5253, 4.64221, 1.38273, racer
12.8546, 4.88808, 1.47184, racer
12.611, 5.7397, 1.33986, racer
11.5416, 6.01889, 1.23563, racer
10.4851, 5.8591, 1.04215, racer
10.377, 5.49643, 1.01423, racer
10.6808, 4.80907, 1.58833, racer
10.2211, 4.53679, 1.84169, racer
10.3743, 4.70054, 1.79596, racer
10.9665, 5.42918, 1.46824, racer
11.7202, 5.72977, 1.65016, racer
12.6648, 6.11048, 2.15891, racer
13.3806, 5.98829, 2.26454, racer
13.4966, 6.12271, 1.6672, racer
13.1602, 5.75888, 1.03263, racer
12.7598, 4.79426, 1.12947, racer
12.5771, 4.4824, 1.33595, racer
12.7669, 4.79557, 1.22187, racer
12.3688, 5.37824, 1.05122, racer
11.1887, 5.51719, 1.1514, racer
10.6096, 4.8553, 1.01242, racer
10.738, 4.63088, 0.948392, racer
10.722, 5.02628, 1.25943, racer
10.8787, 5.90729, 1.73038, racer
10.5439, 5.94317, 1.71323, racer
10.4871, 6.15699, 1.47729, racer
10.6319, 6.06744, 1.45683, racer
11.2357, 5.87239, 1.13601, racer
11.3108, 5.35879, 0.878012, racer
11.7319, 5.42407, 1.04944, racer
12.7858, 5.3849, 1.14144, racer
13.5102, 4.68569, 1.10482, racer
13.6547, 4.62757, 1.02955, racer
13.6509, 4.62754, 1.04161, racer
13.621, 4.67804, 1.06437, racer
13.4138, 4.77815, 1.02671, racer
12.6183, 5.02157, 1.08356, racer
12.2723, 4.88887, 1.52922, racer
12.13, 5.20115, 1.3152, racer
11.3382, 5.43298, 0.976929, racer
10.3826, 5.05255, 1.07537, racer
9.82715, 4.32255, 1.30811, racer
9.0903, 4.42864, 1.66475, racer
8.69065, 4.74592, 1.99062, racer
8.82532, 4.8377, 1.99404, racer
8.90057, 4.94652, 1.92614, racer
8.95905, 5.56381, 1.80043, racer
9.70776, 5.8737, 1.7968, racer
10.6553, 5.68656, 1.75303, racer
10.8366, 4.84343, 1.40446, racer
10.8756, 4.44662, 1.7068, racer
10.9107, 4.53194, 2.08583, racer
10.6377, 4.74082, 2.0616, racer
10.4327, 4.14161, 1.44232, racer
10.3587, 3.92181, 1.47031, racer
9.97274, 4.33698, 1.62543, racer
10.3363, 3.97943, 1.50381, racer
10.4296, 3.77777, 1.98666, racer
10.381, 4.21888, 2.03036, racer
10.163, 4.7865, 1.68107, racer
10.5821, 4.64251, 1.82334, racer
10.8602, 4.71059, 2.04264, racer
10.1898, 4.64687, 1.73557, racer
9.69754, 4.1927, 1.62755, racer
9.90209, 4.16065, 1.47898, racer
10.6073, 4.93392, 1.08874, racer
10.9058, 5.5166, 1.03859, racer
11.807, 5.72458, 0.874906, racer
12.4871, 6.14051, 0.872288, racer
13.1551, 6.94278, 1.06984, racer
13.4186, 7.87275, 1.14344, racer
13.322, 7.77761, 1.10411, racer
13.3271, 8.42737, 1.15693, racer
