Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.92, 664.952, 34.6763, 576.368, 88.584, 1252.65
18.905, 736.608, 38.413, 633.28, 103.328, 1180.99
34.9, 736.608, 38.413, 632.872, 103.736, 1180.99
42.93, 736.608, 38.413, 632.872, 103.736, 1180.99
58.95, 736.608, 38.413, 632.872, 103.736, 1180.99
69.92, 736.608, 38.413, 632.872, 103.736, 1180.99
85.93, 736.608, 38.413, 632.872, 103.736, 1180.99
98.92, 736.608, 38.413, 632.872, 103.736, 1180.99
119.905, 736.608, 38.413, 632.872, 103.736, 1180.99
135.9, 736.608, 38.413, 632.872, 103.736, 1180.99
151.925, 736.608, 38.413, 632.872, 103.736, 1180.99
164.9, 736.608, 38.413, 632.872, 103.736, 1180.99
180.925, 736.608, 38.413, 632.872, 103.736, 1180.99
193.9, 736.608, 38.413, 632.872, 103.736, 1180.99
208.9, 736.608, 38.413, 632.872, 103.736, 1180.99
222.9, 736.608, 38.413, 632.872, 103.736, 1180.99
238.925, 736.608, 38.413, 632.872, 103.736, 1180.99
251.9, 736.608, 38.413, 632.872, 103.736, 1180.99
267.925, 736.608, 38.413, 632.872, 103.736, 1180.99
282.925, 736.608, 38.413, 632.872, 103.736, 1180.99
296.925, 736.608, 38.413, 632.872, 103.736, 1180.99
309.9, 736.608, 38.413, 632.872, 103.736, 1180.99
