Iteration, Path length, Time, Planning, Flying
1, 0.0884939, 0.895, 0.445, 0.44
2, 0.812915, 1.895, 0.445, 1.44
3, 1.50769, 2.895, 0.445, 2.44
4, 1.85472, 3.895, 0.445, 3.44
5, 2.86154, 4.895, 0.445, 4.44
6, 4.47757, 5.895, 0.53, 5.355
7, 6.06873, 6.895, 0.53, 6.355
8, 6.96801, 7.895, 0.53, 7.355
9, 7.34778, 8.895, 0.97, 7.915
10, 7.34778, 9.895, 1.97, 7.915
11, 7.71492, 10.895, 2.21, 8.675
12, 9.00141, 11.895, 2.21, 9.675
13, 10.6571, 12.895, 2.21, 10.675
14, 12.4258, 13.895, 2.21, 11.675
15, 14.2031, 14.895, 2.21, 12.675
16, 15.5441, 15.895, 2.21, 13.675
17, 16.8621, 16.895, 2.21, 14.675
18, 18.2134, 17.895, 2.21, 15.675
19, 18.769, 18.895, 2.21, 16.675
20, 19.9944, 19.895, 2.21, 17.675
21, 21.6238, 20.895, 2.21, 18.675
22, 22.8601, 21.895, 2.21, 19.675
23, 23.8027, 22.895, 2.21, 20.675
24, 25.2524, 23.895, 2.21, 21.675
25, 26.735, 24.895, 2.21, 22.675
26, 27.5434, 25.895, 2.21, 23.675
27, 28.1114, 26.895, 2.21, 24.675
28, 29.0039, 27.895, 2.21, 25.675
29, 30.4877, 28.895, 2.21, 26.675
30, 31.8254, 29.895, 2.21, 27.675
31, 33.0716, 30.895, 2.21, 28.675
32, 34.1454, 31.895, 2.21, 29.675
33, 35.7602, 32.895, 2.21, 30.675
34, 37.2742, 33.895, 2.21, 31.675
35, 38.7237, 34.895, 2.21, 32.675
36, 40.1929, 35.895, 2.21, 33.675
37, 41.2521, 36.895, 2.21, 34.675
38, 42.8433, 37.895, 2.21, 35.675
39, 44.1878, 38.895, 2.21, 36.675
40, 44.5349, 39.895, 2.21, 37.675
41, 45.3122, 40.895, 2.21, 38.675
42, 46.7085, 41.895, 2.21, 39.675
43, 47.6213, 42.895, 2.59, 40.295
44, 48.151, 43.895, 3.11, 40.775
45, 48.6713, 44.895, 3.53, 41.355
46, 49.0105, 45.895, 3.55, 42.335
47, 49.9296, 46.895, 3.55, 43.335
48, 51.2011, 47.895, 3.55, 44.335
49, 52.7311, 48.895, 3.55, 45.335
50, 54.6432, 49.895, 3.55, 46.335
51, 56.7349, 50.895, 3.55, 47.335
52, 58.4137, 51.895, 3.55, 48.335
53, 59.1803, 52.895, 3.55, 49.335
54, 59.8091, 53.895, 3.55, 50.335
55, 61.2114, 54.895, 3.55, 51.335
56, 63.1092, 55.895, 3.55, 52.335
57, 64.3843, 56.895, 3.55, 53.335
58, 65.6841, 57.895, 3.55, 54.335
59, 67.6167, 58.895, 3.55, 55.335
60, 69.4926, 59.895, 3.55, 56.335
61, 71.0614, 60.895, 3.55, 57.335
62, 72.4559, 61.895, 3.55, 58.335
63, 73.9453, 62.895, 3.55, 59.335
64, 75.6954, 63.895, 3.55, 60.335
65, 77.3633, 64.895, 3.55, 61.335
66, 79.0225, 65.895, 3.55, 62.335
67, 81.0607, 66.895, 3.55, 63.335
68, 82.728, 67.895, 3.55, 64.335
69, 83.5267, 68.895, 3.55, 65.335
70, 84.0145, 69.895, 3.55, 66.335
71, 84.8515, 70.895, 3.55, 67.335
72, 86.201, 71.895, 3.55, 68.335
73, 87.8095, 72.895, 3.55, 69.335
74, 88.8969, 73.895, 3.55, 70.335
75, 90.4215, 74.895, 3.55, 71.335
76, 92.1746, 75.895, 3.55, 72.335
77, 93.8171, 76.895, 3.55, 73.335
78, 95.5282, 77.895, 3.55, 74.335
79, 97.2075, 78.895, 3.55, 75.335
80, 98.9757, 79.895, 3.55, 76.335
81, 100.751, 80.895, 3.55, 77.335
82, 102.399, 81.895, 3.55, 78.335
83, 104.03, 82.895, 3.55, 79.335
84, 105.278, 83.895, 3.55, 80.335
85, 106.817, 84.895, 3.55, 81.335
86, 108.468, 85.895, 3.55, 82.335
87, 109.734, 86.895, 3.55, 83.335
88, 110.907, 87.895, 3.55, 84.335
89, 112.458, 88.895, 3.55, 85.335
90, 114.018, 89.895, 3.55, 86.335
91, 115.462, 90.895, 3.55, 87.335
92, 116.855, 91.895, 3.55, 88.335
93, 117.991, 92.895, 3.55, 89.335
94, 119.578, 93.895, 3.55, 90.335
