Goal x, Goal y, Goal z, Planner
0.230402, 9.38737, 0.917005, racer
0.70676, 9.28424, 1.06408, racer
0.963128, 9.02641, 1.0243, racer
0.302691, 8.59096, 1.18875, racer
-0.38055, 8.31717, 1.77184, racer
-1.29756, 8.1042, 1.65729, racer
-2.51245, 7.58441, 1.32301, racer
-2.71765, 6.43567, 1.14545, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
-2.49742, 6.02701, 1.09347, racer
