Iteration, Path length, Time, Planning, Flying
0, 0.205849, 1.905, 0.745, 0.9
1, 1.72716, 5.905, 0.765, 3.04
2, 5.98413, 11.905, 0.805, 8.42
3, 11.2856, 17.905, 0.825, 13.1
4, 13.2341, 21.945, 2.78, 19.56
5, 13.2341, 27.945, 2.78, 19.56
6, 13.2341, 33.945, 2.78, 19.56
7, 37.2497, 42.905, 2.84, 47.5
8, 37.2497, 48.905, 2.84, 47.5
9, 37.2497, 52.945, 2.84, 47.5
10, 37.2497, 58.945, 2.84, 47.5
11, 37.2497, 64.945, 2.84, 47.5
12, 37.2497, 70.945, 2.84, 47.5
13, 37.2497, 79.905, 2.84, 47.5
14, 37.2497, 85.905, 2.84, 47.5
15, 37.2497, 89.945, 2.84, 47.5
16, 37.2497, 95.945, 2.84, 47.5
17, 37.2497, 101.945, 2.84, 47.5
18, 37.2497, 107.945, 2.84, 47.5
19, 37.2497, 113.945, 2.84, 47.5
20, 37.2497, 122.905, 2.84, 47.5
21, 37.2497, 128.905, 2.84, 47.5
22, 37.2497, 134.905, 2.84, 47.5
23, 37.2497, 140.905, 2.84, 47.5
24, 37.2497, 146.905, 2.84, 47.5
25, 37.2497, 150.945, 2.84, 47.5
26, 37.2497, 156.945, 2.84, 47.5
27, 37.2497, 162.945, 2.84, 47.5
28, 37.2497, 168.945, 2.84, 47.5
29, 37.2497, 174.945, 2.84, 47.5
30, 37.2497, 183.905, 2.84, 47.5
31, 37.2497, 189.905, 2.84, 47.5
32, 37.2497, 195.905, 2.84, 47.5
33, 37.2497, 201.905, 2.84, 47.5
34, 37.2497, 207.905, 2.84, 47.5
35, 37.2497, 211.945, 2.84, 47.5
36, 37.2497, 217.945, 2.84, 47.5
37, 37.2497, 226.905, 2.84, 47.5
38, 37.2497, 232.905, 2.84, 47.5
39, 37.2497, 238.905, 2.84, 47.5
40, 37.2497, 242.945, 2.84, 47.5
41, 37.2497, 248.945, 2.84, 47.5
42, 37.2497, 254.945, 2.84, 47.5
43, 37.2497, 260.945, 2.84, 47.5
44, 37.2497, 269.905, 2.84, 47.5
45, 37.2497, 275.905, 2.84, 47.5
46, 37.2497, 279.945, 2.84, 47.5
47, 37.2497, 285.945, 2.84, 47.5
48, 37.2497, 291.945, 2.84, 47.5
49, 37.2497, 300.905, 2.84, 47.5
50, 37.2497, 306.905, 2.84, 47.5
51, 37.2497, 310.945, 2.84, 47.5
52, 37.2497, 316.945, 2.84, 47.5
53, 37.2497, 322.945, 2.84, 47.5
54, 37.2497, 331.905, 2.84, 47.5
55, 37.2497, 337.905, 2.84, 47.5
56, 37.2497, 343.905, 2.84, 47.5
