Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
9.91, 724.904, 18.9013, 605.344, 119.56, 3110.3
20.42, 933.16, 24.3315, 791.528, 141.632, 2902.04
49.905, 1236.94, 32.2524, 1060.66, 176.28, 2598.26
78.925, 1414.26, 36.8757, 1211.91, 202.344, 2420.94
110.91, 1490.5, 38.8636, 1277.16, 213.336, 2344.7
129.905, 1553.16, 40.4975, 1327.42, 225.744, 2282.04
156.905, 1619.38, 42.2242, 1384.75, 234.632, 2215.82
186.925, 1689.02, 44.0401, 1437.54, 251.48, 2146.18
208.42, 1745.23, 45.5056, 1485.86, 259.368, 2089.97
243.925, 1831.16, 47.7461, 1558.5, 272.664, 2004.04
269.905, 1836.06, 47.874, 1557.87, 278.192, 1999.14
293.42, 1843.1, 48.0574, 1562.76, 280.336, 1992.1
321.42, 1844.18, 48.0857, 1565.04, 279.144, 1991.02
353.905, 1847.86, 48.1815, 1563.54, 284.312, 1987.34
381.905, 1877.42, 48.9522, 1592.54, 284.88, 1957.78
409.905, 1893.22, 49.3644, 1602.14, 291.088, 1941.98
439.925, 1893.22, 49.3644, 1602.18, 291.048, 1941.98
464.905, 1893.22, 49.3644, 1602.14, 291.08, 1941.98
494.925, 1893.22, 49.3644, 1602.1, 291.128, 1941.98
521.925, 1893.22, 49.3644, 1602.11, 291.112, 1941.98
542.42, 1893.22, 49.3644, 1602.11, 291.112, 1941.98
576.925, 1893.22, 49.3644, 1602.06, 291.16, 1941.98
597.42, 1893.23, 49.3646, 1602.06, 291.176, 1941.97
631.925, 1893.23, 49.3646, 1602.06, 291.176, 1941.97
652.42, 1893.23, 49.3646, 1602.04, 291.192, 1941.97
683.905, 1893.25, 49.365, 1602.08, 291.168, 1941.95
710.905, 1893.25, 49.365, 1602.02, 291.224, 1941.95
742.925, 1893.25, 49.365, 1602.07, 291.176, 1941.95
