Goal x, Goal y, Goal z, Planner
12.6015, 10.999, 3.90202, racer
12.7718, 11.1011, 3.92349, racer
13.0595, 11.2009, 3.90012, racer
13.0858, 10.963, 3.90451, racer
13.0618, 11.1416, 3.90133, racer
13.0493, 11.1945, 3.90057, racer
13.0676, 11.4523, 4.00681, racer
13.093, 12.1472, 4.22652, racer
13.0925, 12.1406, 4.22399, racer
13.0917, 12.1279, 4.21923, racer
13.0883, 12.1083, 4.21033, racer
12.5426, 12.5803, 4.04208, racer
11.4286, 13.6237, 3.94194, racer
11.7262, 13.5313, 3.8751, racer
11.6927, 13.4609, 3.92557, racer
11.6246, 13.3942, 3.96725, racer
10.8198, 13.546, 4.06361, racer
9.36114, 13.603, 4.04227, racer
8.32947, 14.1418, 4.39315, racer
7.98657, 14.7667, 4.88882, racer
8.02583, 14.2021, 4.49394, racer
8.07568, 12.9604, 4.04081, racer
8.05693, 12.4356, 4.09416, racer
7.37958, 12.5279, 4.08582, racer
6.48578, 12.3386, 4.07222, racer
6.20506, 11.4762, 4.52966, racer
6.72608, 11.1322, 3.98842, racer
6.8004, 11.5627, 3.74587, racer
6.24664, 12.0067, 4.32655, racer
5.73065, 12.6405, 4.79622, racer
5.68837, 12.6907, 4.83461, racer
5.69599, 12.6742, 4.83205, racer
5.70363, 12.66, 4.82808, racer
5.69957, 12.6676, 4.83016, racer
5.69538, 12.5384, 4.81022, racer
5.33656, 11.541, 4.71446, racer
5.10351, 10.3033, 4.65833, racer
4.95518, 9.52382, 4.64049, racer
5.06663, 8.76017, 4.49454, racer
4.92806, 8.30391, 4.01123, racer
4.90238, 7.41768, 3.85446, racer
5.08321, 6.92897, 3.74287, racer
5.10276, 6.5077, 3.85516, racer
4.37259, 5.76053, 4.55187, racer
3.75872, 5.96946, 4.64373, racer
3.18555, 6.15891, 4.13489, racer
3, 6.52899, 4.09804, racer
2.41697, 7.71585, 4.99368, racer
1.69835, 8.85968, 5.89179, racer
1.79786, 8.90874, 5.68054, racer
1.42805, 8.29161, 4.69104, racer
1.24914, 8.34119, 4.29727, racer
1.21791, 9.44162, 4.90761, racer
1.03848, 10.6339, 5.59158, racer
0.144326, 10.8394, 5.23254, racer
-0.0482453, 10.7347, 4.28663, racer
0.572522, 10.7657, 3.96345, racer
0.43007, 10.7879, 4.42751, racer
-2.79389e-05, 10.7911, 4.89159, racer
-0.246957, 10.7949, 5.02074, racer
-0.321043, 10.8446, 4.51051, racer
-0.789079, 10.9647, 3.87993, racer
-1.74278, 11.0003, 4.06021, racer
-1.30179, 10.8972, 4.35071, racer
-0.408408, 10.8554, 4.42771, racer
-0.224017, 10.6869, 4.37735, racer
-1.02177, 9.85898, 4.87859, racer
-1.62202, 9.5414, 5.15374, racer
-1.58023, 10.2136, 4.44789, racer
-2.41619, 10.0874, 4.29442, racer
-3.29111, 9.91261, 4.26004, racer
-3.03755, 10.8964, 3.93075, racer
-3.21331, 11.3265, 3.34602, racer
-3.89576, 10.9062, 3.04205, racer
-3.50448, 10.773, 3.61905, racer
-3.01133, 10.7803, 4.08701, racer
-3.55346, 10.4988, 4.28713, racer
-4.73764, 9.90439, 4.24627, racer
-4.6704, 9.54748, 4.36905, racer
-4.48669, 9.0639, 4.64448, racer
-4.7269, 8.64383, 4.83532, racer
-4.45007, 8.09322, 4.35231, racer
-4.63789, 7.84747, 3.95507, racer
-4.78315, 8.52099, 4.60621, racer
-4.74819, 8.67633, 4.83617, racer
-5.09382, 8.57191, 4.95482, racer
-6.33602, 7.68465, 4.81046, racer
-7.3557, 7.27429, 4.72408, racer
-7.01598, 7.14481, 4.16197, racer
-6.45668, 7.13474, 4.03279, racer
-6.60043, 7.64998, 4.96219, racer
