Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
12.045, 1692.82, 44.1389, 1455.21, 237.608, 2142.38
56.96, 2584.09, 67.3782, 2225.75, 358.336, 1251.11
103.96, 2982.7, 77.7718, 2575.79, 406.912, 852.496
143.945, 3298.28, 86.0002, 2860.93, 437.352, 536.92
194.045, 3331.67, 86.8709, 2877.93, 453.744, 503.528
249.92, 3350.93, 87.373, 2905.24, 445.688, 484.272
292.96, 3423.78, 89.2724, 2966.04, 457.736, 411.424
344.96, 3448.1, 89.9065, 2988.56, 459.536, 387.104
391.95, 3462.28, 90.2764, 2997.19, 465.088, 372.92
439.945, 3475.5, 90.6212, 3012.02, 463.488, 359.696
487.945, 3484.9, 90.8663, 3026.01, 458.896, 350.296
529.945, 3486.5, 90.908, 3038.98, 447.52, 348.696
572.945, 3583.78, 93.4445, 3113.26, 470.52, 251.416
612.945, 3653.53, 95.263, 3183.96, 469.568, 181.672
660.045, 3671.61, 95.7345, 3196.44, 475.168, 163.592
711.92, 3696.1, 96.3732, 3217.08, 479.024, 139.096
