Iteration, Path length, Time, Planning, Flying
1, 0.0285451, 0.98, 0.765, 0.2
2, 0.434823, 1.98, 0.765, 1.2
3, 0.670972, 2.98, 0.765, 2.2
4, 0.820382, 3.98, 0.965, 3
5, 1.00897, 4.98, 1.485, 3.48
6, 1.5455, 5.98, 1.485, 4.48
7, 2.28033, 6.98, 1.485, 5.48
8, 3.33293, 7.98, 1.485, 6.48
9, 4.16662, 8.98, 1.485, 7.48
10, 5.19445, 9.98, 1.485, 8.48
11, 5.95912, 10.98, 1.505, 9.46
12, 6.88689, 11.98, 1.53, 10.435
13, 7.60072, 12.98, 1.53, 11.435
14, 8.32157, 13.98, 1.55, 12.415
15, 8.70595, 14.98, 1.55, 13.415
16, 9.2324, 15.98, 1.55, 14.415
17, 10.1484, 16.98, 1.55, 15.415
18, 10.9317, 17.98, 1.55, 16.415
19, 12.0598, 18.98, 1.55, 17.415
20, 13.0445, 19.98, 1.55, 18.415
21, 13.5061, 20.98, 1.55, 19.415
22, 14.3302, 21.98, 1.55, 20.415
23, 15.2513, 22.98, 1.55, 21.415
24, 16.1363, 23.98, 1.55, 22.415
25, 16.8284, 24.98, 1.55, 23.415
26, 17.492, 25.98, 1.575, 24.39
27, 18.146, 26.98, 1.575, 25.39
28, 18.1869, 27.98, 2.335, 25.63
29, 18.2952, 28.98, 2.795, 26.17
30, 19.2971, 29.98, 2.795, 27.17
31, 20.4416, 30.98, 2.795, 28.17
32, 21.3513, 31.98, 2.795, 29.17
33, 22.552, 32.98, 2.82, 30.145
34, 23.3813, 33.98, 2.82, 31.145
35, 24.5125, 34.98, 2.88, 32.085
36, 25.405, 35.98, 2.925, 33.04
37, 26.1909, 36.98, 2.985, 33.98
38, 26.2198, 37.98, 3.755, 34.21
39, 26.5218, 38.98, 3.995, 34.97
40, 27.5197, 39.98, 3.995, 35.97
41, 28.3053, 40.98, 3.995, 36.97
42, 29.1187, 41.98, 4.01, 37.955
43, 29.6689, 42.98, 4.05, 38.915
44, 30.5158, 43.98, 4.05, 39.915
45, 31.4325, 44.98, 4.19, 40.775
46, 32.4022, 45.98, 4.19, 41.775
47, 33.4634, 46.98, 4.19, 42.775
48, 34.4629, 47.98, 4.19, 43.775
49, 35.3072, 48.98, 4.19, 44.775
50, 36.096, 49.98, 4.28, 45.685
51, 36.5935, 50.98, 4.28, 46.685
52, 37.4503, 51.98, 4.32, 47.645
53, 38.1417, 52.98, 4.345, 48.625
54, 39.112, 53.98, 4.365, 49.6
55, 40.1039, 54.98, 4.385, 50.58
56, 40.7094, 55.98, 4.615, 51.35
