Goal x, Goal y, Goal z, Planner
12.6624, 10.9252, 0.89997, racer
12.8902, 10.6546, 0.900129, racer
12.9875, 10.7607, 0.902628, racer
13.0314, 11.2264, 0.903101, racer
12.9941, 11.3338, 0.924073, racer
12.67, 11.3947, 1.02744, racer
11.9567, 10.8539, 1.15008, racer
10.9711, 10.3657, 1.40434, racer
10.6652, 10.6908, 2.1125, racer
10.3037, 11.0702, 2.254, racer
10.9687, 11.3165, 2.21189, racer
11.7151, 11.9325, 2.16253, racer
12.0184, 12.6193, 2.04491, racer
12.8136, 12.5779, 1.76385, racer
13.3705, 12.4899, 1.02686, racer
13.5317, 12.1284, 0.974476, racer
13.1723, 12.7382, 1.09766, racer
12.5484, 13.624, 1.47525, racer
12.0471, 13.8222, 2.08228, racer
11.4764, 13.9442, 2.16474, racer
10.9051, 14.8491, 2.19398, racer
10.3361, 15.3955, 2.22532, racer
9.98485, 15.2435, 1.89616, racer
9.46954, 14.7851, 1.01629, racer
8.94588, 14.0515, 0.965603, racer
8.66593, 13.6461, 1.24267, racer
8.6444, 14.3594, 1.55814, racer
8.7859, 15.1594, 1.62006, racer
8.41451, 15.3688, 2.10912, racer
7.63526, 14.7605, 2.18379, racer
7.14898, 13.3899, 2.21981, racer
7.33739, 12.5561, 2.03506, racer
7.40256, 13.0046, 1.50691, racer
7.01099, 14.1472, 1.28956, racer
6.41199, 14.5018, 1.36478, racer
5.57365, 13.8461, 0.986286, racer
5.18558, 13.1351, 1.04451, racer
5.43457, 12.286, 1.1089, racer
5.86179, 11.5643, 1.16558, racer
6.04783, 10.9358, 1.4912, racer
6.49675, 10.7763, 1.47004, racer
7.29714, 10.5653, 1.43671, racer
7.98957, 10.4014, 1.74692, racer
8.15206, 10.636, 1.90832, racer
7.26911, 11.0561, 1.76753, racer
6.30375, 10.9332, 1.75725, racer
5.63399, 10.6589, 2.0949, racer
5.205, 10.4826, 2.11983, racer
5.05501, 10.0279, 2.17877, racer
4.90968, 9.08154, 2.44888, racer
5.03092, 8.66034, 2.21964, racer
4.91398, 8.82483, 2.25734, racer
4.90002, 8.97913, 2.28516, racer
4.90235, 9.37667, 2.27518, racer
5.09759, 10.4689, 2.2509, racer
5.69662, 11.3792, 2.27782, racer
6.45126, 12.1291, 2.05333, racer
6.63579, 12.7205, 2.42038, racer
6.73065, 13.6331, 2.42706, racer
7.19688, 14.0216, 2.07275, racer
8.22189, 13.7927, 2.1335, racer
8.83185, 14.0534, 2.13108, racer
8.95354, 13.6101, 2.07903, racer
9.35457, 12.6308, 2.40728, racer
9.77528, 12.343, 2.26184, racer
10.6186, 11.8804, 1.99711, racer
11.724, 11.4053, 2.13248, racer
11.9795, 11.3418, 2.28397, racer
12.1835, 11.2068, 1.93052, racer
12.8062, 10.847, 1.18697, racer
12.8099, 10.6009, 0.861272, racer
12.7116, 9.55123, 0.766948, racer
12.837, 8.42952, 1.18621, racer
13.4868, 8.2931, 1.43692, racer
13.8211, 8.51405, 1.18165, racer
13.7568, 8.14862, 0.954782, racer
13.8562, 7.13076, 1.44486, racer
13.4017, 6.66665, 1.55952, racer
12.2598, 6.39807, 1.57701, racer
11.5063, 6.29434, 1.35196, racer
11.469, 6.75836, 1.4196, racer
11.1077, 7.74024, 1.85238, racer
10.3472, 7.9605, 1.94932, racer
10.3147, 8.32292, 1.44458, racer
10.0209, 8.42896, 0.657202, racer
9.28449, 8.5286, 0.802154, racer
8.17253, 8.45418, 1.02863, racer
7.45037, 8.85388, 1.22798, racer
7.01677, 8.90757, 1.28156, racer
7.22078, 8.07418, 1.32544, racer
7.15885, 6.97771, 1.37522, racer
6.87544, 6.17195, 1.12438, racer
6.78979, 5.60964, 1.02116, racer
6.79036, 5.61936, 1.02179, racer
6.82052, 5.73243, 1.12853, racer
6.84321, 5.75791, 1.20003, racer
6.85405, 5.76864, 1.24257, racer
6.85826, 5.81515, 1.24946, racer
6.91343, 6.34336, 1.39825, racer
7.00262, 7.23269, 1.79801, racer
7.34116, 7.97287, 1.98258, racer
8.28945, 8.63189, 2.10177, racer
9.15206, 8.39251, 2.13452, racer
10.0207, 7.89389, 2.09375, racer
10.822, 7.35895, 2.41, racer
11.3515, 6.81879, 2.43067, racer
11.6315, 6.52339, 2.13639, racer
11.2031, 6.38002, 2.03657, racer
10.7719, 6.20218, 2.29455, racer
10.4448, 6.07245, 2.05141, racer
9.52724, 6.0979, 1.90014, racer
9.07, 5.78818, 2.19951, racer
9.11785, 5.52201, 2.43331, racer
9.04224, 5.92794, 2.05762, racer
9.10297, 6.30393, 1.97508, racer
9.12258, 6.60128, 2.17631, racer
9.10779, 6.40446, 2.12762, racer
9.12541, 6.0947, 1.24974, racer
9.82334, 6.07667, 0.739247, racer
10.9396, 6.01246, 1.09124, racer
11.6871, 6.66641, 1.54061, racer
12.6573, 7.20425, 1.90127, racer
13.1809, 7.26863, 2.11046, racer
13.5635, 7.55525, 2.20024, racer
13.7725, 8.12195, 1.63623, racer
13.5712, 8.35964, 1.22639, racer
13.4706, 8.13982, 1.21205, racer
12.7704, 7.33874, 1.09789, racer
12.1132, 6.79939, 1.32344, racer
11.4827, 7.16831, 1.66675, racer
10.6338, 7.75149, 2.10824, racer
10.0152, 7.92462, 2.19346, racer
9.55026, 8.53267, 2.19126, racer
9.84644, 8.41086, 2.16665, racer
10.4106, 8.16186, 1.9182, racer
10.6892, 7.7139, 2.16092, racer
11.2643, 6.96842, 2.29533, racer
12.0459, 6.92493, 2.12278, racer
12.6161, 7.50721, 2.15714, racer
12.8106, 7.9717, 2.21017, racer
12.751, 7.61857, 1.84851, racer
12.3509, 6.79701, 1.50221, racer
11.8504, 6.48805, 1.66392, racer
11.3326, 7.00505, 2.04488, racer
10.5748, 7.7399, 1.9428, racer
9.88834, 7.80547, 1.14657, racer
9.37671, 7.77477, 0.881871, racer
9.03221, 8.03299, 1.60216, racer
8.9503, 7.97365, 2.39427, racer
8.40325, 8.33499, 2.37996, racer
7.54685, 8.32574, 1.86806, racer
7.18314, 8.11495, 0.976988, racer
7.16732, 7.41236, 1.05654, racer
7.09117, 6.70199, 1.04137, racer
7.01262, 5.84852, 0.977909, racer
7.07473, 5.67078, 0.912977, racer
7.09106, 5.71096, 1.26831, racer
6.92684, 5.72102, 2.36351, racer
6.70323, 5.69993, 2.50447, racer
6.95817, 6.26372, 2.00962, racer
6.9521, 7.24791, 2.14216, racer
7.07819, 7.89822, 2.21707, racer
8.12309, 8.06722, 2.2349, racer
9.17016, 8.27031, 2.16949, racer
10.0958, 8.30051, 1.69729, racer
10.313, 8.31058, 1.09854, racer
10.4518, 7.77813, 0.90662, racer
11.1701, 6.98289, 1.00612, racer
11.5823, 6.36547, 1.14063, racer
11.9246, 5.98102, 1.26631, racer
11.8592, 6.61507, 1.25835, racer
11.2938, 7.61005, 1.17241, racer
11.1208, 7.72656, 1.14994, racer
11.3625, 7.14656, 1.15466, racer
11.6776, 6.20688, 1.09773, racer
11.4171, 5.45394, 1.03959, racer
10.8582, 5.09577, 1.38699, racer
10.7086, 4.84391, 1.7432, racer
10.8364, 5.09108, 1.78317, racer
11.399, 5.9521, 2.07548, racer
11.8406, 6.38719, 2.13581, racer
12.4026, 7.14301, 2.08284, racer
12.7897, 7.51955, 1.44356, racer
12.7266, 8.23467, 1.05619, racer
12.6146, 8.4171, 1.06372, racer
12.6714, 8.70341, 1.05954, racer
12.7338, 9.72385, 1.0666, racer
12.5548, 10.5987, 1.2448, racer
11.7177, 11.1173, 1.20631, racer
11.5063, 11.6659, 1.07892, racer
11.5204, 11.6362, 1.30806, racer
10.9076, 11.9485, 2.02974, racer
10.9527, 12.7982, 2.04211, racer
11.3594, 13.3351, 1.88721, racer
11.5969, 13.879, 1.66942, racer
11.6725, 14.6524, 1.28627, racer
12.0184, 15.4137, 1.12643, racer
12.7341, 15.1846, 1.17578, racer
12.9837, 15.0832, 1.76805, racer
12.2243, 15.1343, 1.98368, racer
11.3314, 15.1434, 1.91088, racer
10.8691, 15.2552, 1.69953, racer
10.3539, 15.2253, 1.81106, racer
9.87636, 15.1559, 2.08997, racer
9.11631, 15.2727, 2.20535, racer
8.19256, 15.4135, 2.03424, racer
7.47697, 15.2896, 1.75707, racer
7.49158, 14.8293, 1.38932, racer
7.08584, 14.2803, 1.50765, racer
5.93804, 14.6125, 1.71951, racer
5.11234, 15.4245, 1.57037, racer
5.19238, 15.1932, 1.18099, racer
5.94454, 14.1744, 1.02111, racer
6.54998, 13.6692, 1.1027, racer
7.34849, 13.506, 1.78858, racer
7.3859, 13.6548, 2.17599, racer
7.38518, 13.6579, 2.17935, racer
7.83437, 13.2832, 2.09911, racer
8.87977, 13.1027, 2.20227, racer
9.54248, 13.7969, 2.15205, racer
9.8049, 15.0274, 1.92793, racer
10.0249, 15.3093, 2.07616, racer
10.5661, 15.1199, 2.19791, racer
11.2732, 14.5614, 1.94099, racer
12.2631, 14.2497, 2.02887, racer
12.8124, 14.6989, 1.8343, racer
13.345, 14.8437, 1.60576, racer
13.4341, 13.8901, 1.73362, racer
13.3805, 13.1201, 1.77143, racer
13.0865, 13.2769, 1.99423, racer
12.8544, 13.6893, 2.33282, racer
12.3851, 13.0855, 2.06262, racer
12.0394, 12.1976, 1.8415, racer
11.8596, 11.7388, 1.88421, racer
11.388, 11.6012, 1.69412, racer
10.6351, 11.5792, 1.74133, racer
9.62461, 11.204, 2.12512, racer
8.30262, 10.4483, 2.01461, racer
7.72731, 10.4234, 1.31001, racer
8.08906, 10.8238, 1.01174, racer
8.07296, 11.0703, 1.18271, racer
7.24691, 11.3569, 1.34646, racer
6.21048, 11.1084, 1.80886, racer
5.81104, 11.2988, 2.14656, racer
5.73716, 11.395, 2.20317, racer
5.73322, 11.4006, 2.20642, racer
5.69245, 11.4076, 2.19939, racer
5.6536, 11.3947, 2.19051, racer
5.07901, 10.79, 2.17804, racer
4.50118, 9.86882, 2.19667, racer
4.75468, 9.54176, 2.16126, racer
4.99115, 10.0935, 2.06234, racer
5.28901, 10.9617, 1.3291, racer
5.22248, 11.1708, 1.4262, racer
4.8332, 11.607, 1.37758, racer
4.76614, 11.6151, 1.30909, racer
4.92043, 11.583, 1.34444, racer
5.22048, 11.6973, 1.88456, racer
4.74607, 12.5388, 2.31299, racer
4.80941, 12.8998, 2.39238, racer
5.51171, 12.4651, 2.12486, racer
5.67415, 11.5279, 2.11713, racer
5.53915, 10.7823, 2.06752, racer
4.94768, 10.587, 2.10299, racer
4.86518, 10.7214, 1.98836, racer
5.12236, 11.0369, 2.03995, racer
5.11935, 11.5321, 2.2581, racer
5.30664, 11.7009, 2.88652, racer
5.30629, 11.6989, 3.14093, racer
5.30627, 11.6989, 3.13327, racer
5.30627, 11.6989, 3.1317, racer
5.30627, 11.6989, 3.13041, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
5.30627, 11.6989, 3.13132, racer
