Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0.025, 793.6, 20.6925, 681.096, 112.504, 3041.6
24.975, 1123.78, 29.3016, 959.024, 164.752, 2711.42
43.02, 1290.47, 33.6481, 1113.31, 177.16, 2544.73
66.02, 1290.59, 33.6512, 1109.52, 181.072, 2544.61
89.02, 1290.59, 33.6512, 1109.57, 181.024, 2544.61
112.02, 1290.59, 33.6512, 1109.51, 181.08, 2544.61
135.02, 1290.59, 33.6512, 1109.51, 181.08, 2544.61
157.025, 1290.59, 33.6512, 1109.54, 181.048, 2544.61
182.02, 1290.59, 33.6512, 1109.51, 181.08, 2544.61
206.02, 1290.62, 33.6521, 1109.58, 181.048, 2544.58
226.045, 1290.62, 33.6521, 1109.54, 181.088, 2544.58
252.02, 1290.62, 33.6521, 1109.58, 181.04, 2544.58
272.045, 1290.62, 33.6521, 1109.58, 181.04, 2544.58
297.025, 1290.62, 33.6521, 1109.54, 181.088, 2544.58
324.915, 1290.63, 33.6523, 1109.58, 181.056, 2544.57
