Iteration, Path length, Time, Planning, Flying
1, 0, 0.94, 0.935, 0
2, 0, 1.94, 1.935, 0
3, 0, 2.94, 2.935, 0
4, 0, 3.94, 3.935, 0
5, 0, 4.94, 4.935, 0
6, 0, 5.94, 5.935, 0
7, 0, 6.94, 6.935, 0
8, 0, 7.94, 7.935, 0
9, 0, 8.94, 8.935, 0
10, 0, 9.94, 9.935, 0
11, 0, 10.94, 10.935, 0
12, 0, 11.94, 11.935, 0
13, 0, 12.94, 12.935, 0
14, 0, 13.94, 13.935, 0
15, 0, 14.94, 14.935, 0
16, 0, 15.94, 15.935, 0
17, 0, 16.94, 16.935, 0
18, 0, 17.94, 17.935, 0
19, 0, 18.94, 18.935, 0
20, 0, 19.94, 19.935, 0
21, 0, 20.94, 20.935, 0
22, 0, 21.94, 21.935, 0
23, 0, 22.94, 22.935, 0
24, 0, 23.94, 23.935, 0
25, 0, 24.94, 24.935, 0
26, 0, 25.94, 25.935, 0
27, 0, 26.94, 26.935, 0
28, 0, 27.94, 27.935, 0
29, 0, 28.94, 28.935, 0
30, 0, 29.94, 29.935, 0
31, 0, 30.94, 30.935, 0
32, 0, 31.94, 31.935, 0
33, 0, 32.94, 32.935, 0
34, 0, 33.94, 33.935, 0
35, 0, 34.94, 34.935, 0
36, 0, 35.94, 35.935, 0
37, 0, 36.94, 36.935, 0
38, 0, 37.94, 37.935, 0
39, 0, 38.94, 38.935, 0
40, 0, 39.94, 39.935, 0
41, 0, 40.94, 40.935, 0
42, 0, 41.94, 41.935, 0
43, 0, 42.94, 42.935, 0
44, 0, 43.94, 43.935, 0
45, 0, 44.94, 44.935, 0
46, 0, 45.94, 45.935, 0
47, 0, 46.94, 46.935, 0
48, 0, 47.94, 47.935, 0
49, 0, 48.94, 48.935, 0
50, 0, 49.94, 49.935, 0
51, 0, 50.94, 50.935, 0
52, 0, 51.94, 51.935, 0
53, 0, 52.94, 52.935, 0
54, 0, 53.94, 53.935, 0
55, 0, 54.94, 54.935, 0
56, 0, 55.94, 55.935, 0
57, 0, 56.94, 56.935, 0
58, 0, 57.94, 57.935, 0
59, 0, 58.94, 58.935, 0
60, 0, 59.94, 59.935, 0
61, 0, 60.94, 60.935, 0
62, 0, 61.94, 61.935, 0
63, 0, 62.94, 62.935, 0
64, 0, 63.94, 63.935, 0
65, 0, 64.94, 64.935, 0
66, 0, 65.94, 65.935, 0
67, 0, 66.94, 66.935, 0
68, 0, 67.94, 67.935, 0
69, 0, 68.94, 68.935, 0
70, 0, 69.94, 69.935, 0
71, 0, 70.94, 70.935, 0
72, 0, 71.94, 71.935, 0
73, 0, 72.94, 72.935, 0
74, 0, 73.94, 73.935, 0
75, 0, 74.94, 74.935, 0
76, 0, 75.94, 75.935, 0
77, 0, 76.94, 76.935, 0
78, 0, 77.94, 77.935, 0
79, 0, 78.94, 78.935, 0
80, 0, 79.94, 79.935, 0
81, 0, 80.94, 80.935, 0
82, 0, 81.94, 81.935, 0
83, 0, 82.94, 82.935, 0
84, 0, 83.94, 83.935, 0
85, 0, 84.94, 84.935, 0
86, 0, 85.94, 85.935, 0
87, 0, 86.94, 86.935, 0
88, 0, 87.94, 87.935, 0
89, 0, 88.94, 88.935, 0
90, 0, 89.94, 89.935, 0
91, 0, 90.94, 90.935, 0
92, 0, 91.94, 91.935, 0
93, 0, 92.94, 92.935, 0
94, 0, 93.94, 93.935, 0
95, 0, 94.94, 94.935, 0
96, 0, 95.94, 95.935, 0
97, 0, 96.94, 96.935, 0
98, 0, 97.94, 97.935, 0
99, 0, 98.94, 98.935, 0
100, 0, 99.94, 99.935, 0
101, 0, 100.94, 100.935, 0
102, 0, 101.94, 101.935, 0
103, 0, 102.94, 102.935, 0
104, 0, 103.94, 103.935, 0
105, 0, 104.94, 104.935, 0
106, 0, 105.94, 105.935, 0
107, 0, 106.94, 106.935, 0
108, 0, 107.94, 107.935, 0
109, 0, 108.94, 108.935, 0
110, 0, 109.94, 109.935, 0
111, 0, 110.94, 110.935, 0
112, 0, 111.94, 111.935, 0
113, 0, 112.94, 112.935, 0
114, 0, 113.94, 113.935, 0
115, 0, 114.94, 114.935, 0
116, 0, 115.94, 115.935, 0
117, 0, 116.94, 116.935, 0
118, 0, 117.94, 117.935, 0
119, 0, 118.94, 118.935, 0
120, 0, 119.94, 119.935, 0
121, 0, 120.94, 120.935, 0
122, 0, 121.94, 121.935, 0
123, 0, 122.94, 122.935, 0
124, 0, 123.94, 123.935, 0
125, 0, 124.94, 124.935, 0
126, 0, 125.94, 125.935, 0
127, 0, 126.94, 126.935, 0
128, 0, 127.94, 127.935, 0
129, 0, 128.94, 128.935, 0
130, 0, 129.94, 129.935, 0
131, 0, 130.94, 130.935, 0
132, 0, 131.94, 131.935, 0
133, 0, 132.94, 132.935, 0
134, 0, 133.94, 133.935, 0
135, 0, 134.94, 134.935, 0
136, 0, 135.94, 135.935, 0
137, 0, 136.94, 136.935, 0
138, 0, 137.94, 137.935, 0
139, 0, 138.94, 138.935, 0
140, 0, 139.94, 139.935, 0
141, 0, 140.94, 140.935, 0
142, 0, 141.94, 141.935, 0
143, 0, 142.94, 142.935, 0
144, 0, 143.94, 143.935, 0
145, 0, 144.94, 144.935, 0
146, 0, 145.94, 145.935, 0
147, 0, 146.94, 146.935, 0
148, 0, 147.94, 147.935, 0
149, 0, 148.94, 148.935, 0
150, 0, 149.94, 149.935, 0
151, 0, 150.94, 150.935, 0
152, 0, 151.94, 151.935, 0
153, 0, 152.94, 152.935, 0
154, 0, 153.94, 153.935, 0
155, 0, 154.94, 154.935, 0
156, 0, 155.94, 155.935, 0
157, 0, 156.94, 156.935, 0
158, 0, 157.94, 157.935, 0
159, 0, 158.94, 158.935, 0
160, 0, 159.94, 159.935, 0
161, 0, 160.94, 160.935, 0
162, 0, 161.94, 161.935, 0
163, 0, 162.94, 162.935, 0
164, 0, 163.94, 163.935, 0
165, 0, 164.94, 164.935, 0
166, 0, 165.94, 165.935, 0
167, 0, 166.94, 166.935, 0
168, 0, 167.94, 167.935, 0
169, 0, 168.94, 168.935, 0
170, 0, 169.94, 169.935, 0
171, 0, 170.94, 170.935, 0
172, 0, 171.94, 171.935, 0
173, 0, 172.94, 172.935, 0
174, 0, 173.94, 173.935, 0
175, 0, 174.94, 174.935, 0
176, 0, 175.94, 175.935, 0
177, 0, 176.94, 176.935, 0
178, 0, 177.94, 177.935, 0
179, 0, 178.94, 178.935, 0
180, 0, 179.94, 179.935, 0
181, 0, 180.94, 180.935, 0
182, 0, 181.94, 181.935, 0
183, 0, 182.94, 182.935, 0
184, 0, 183.94, 183.935, 0
185, 0, 184.94, 184.935, 0
186, 0, 185.94, 185.935, 0
187, 0, 186.94, 186.935, 0
188, 0, 187.94, 187.935, 0
189, 0, 188.94, 188.935, 0
190, 0, 189.94, 189.935, 0
191, 0, 190.94, 190.935, 0
192, 0, 191.94, 191.935, 0
193, 0, 192.94, 192.935, 0
194, 0, 193.94, 193.935, 0
195, 0, 194.94, 194.935, 0
196, 0, 195.94, 195.935, 0
197, 0, 196.94, 196.935, 0
198, 0, 197.94, 197.935, 0
199, 0, 198.94, 198.935, 0
200, 0, 199.94, 199.935, 0
201, 0, 200.94, 200.935, 0
202, 0, 201.94, 201.935, 0
203, 0, 202.94, 202.935, 0
204, 0, 203.94, 203.935, 0
205, 0, 204.94, 204.935, 0
206, 0, 205.94, 205.935, 0
207, 0, 206.94, 206.935, 0
208, 0, 207.94, 207.935, 0
209, 0, 208.94, 208.935, 0
210, 0, 209.94, 209.935, 0
211, 0, 210.94, 210.935, 0
212, 0, 211.94, 211.935, 0
213, 0, 212.94, 212.935, 0
214, 0, 213.94, 213.935, 0
215, 0, 214.94, 214.935, 0
216, 0, 215.94, 215.935, 0
217, 0, 216.94, 216.935, 0
218, 0, 217.94, 217.935, 0
219, 0, 218.94, 218.935, 0
220, 0, 219.94, 219.935, 0
221, 0, 220.94, 220.935, 0
222, 0, 221.94, 221.935, 0
223, 0, 222.94, 222.935, 0
224, 0, 223.94, 223.935, 0
225, 0, 224.94, 224.935, 0
226, 0, 225.94, 225.935, 0
227, 0, 226.94, 226.935, 0
228, 0, 227.94, 227.935, 0
229, 0, 228.94, 228.935, 0
230, 0, 229.94, 229.935, 0
231, 0, 230.94, 230.935, 0
232, 0, 231.94, 231.935, 0
233, 0, 232.94, 232.935, 0
234, 0, 233.94, 233.935, 0
235, 0, 234.94, 234.935, 0
236, 0, 235.94, 235.935, 0
237, 0, 236.94, 236.935, 0
238, 0, 237.94, 237.935, 0
239, 0, 238.94, 238.935, 0
240, 0, 239.94, 239.935, 0
241, 0, 240.94, 240.935, 0
242, 0, 241.94, 241.935, 0
243, 0, 242.94, 242.935, 0
244, 0, 243.94, 243.935, 0
245, 0, 244.94, 244.935, 0
246, 0, 245.94, 245.935, 0
247, 0, 246.94, 246.935, 0
248, 0, 247.94, 247.935, 0
249, 0, 248.94, 248.935, 0
250, 0, 249.94, 249.935, 0
251, 0, 250.94, 250.935, 0
252, 0, 251.94, 251.935, 0
253, 0, 252.94, 252.935, 0
254, 0, 253.94, 253.935, 0
255, 0, 254.94, 254.935, 0
256, 0, 255.94, 255.935, 0
257, 0, 256.94, 256.935, 0
258, 0, 257.94, 257.935, 0
259, 0, 258.94, 258.935, 0
260, 0, 259.94, 259.935, 0
261, 0, 260.94, 260.935, 0
262, 0, 261.94, 261.935, 0
263, 0, 262.94, 262.935, 0
264, 0, 263.94, 263.935, 0
265, 0, 264.94, 264.935, 0
266, 0, 265.94, 265.935, 0
267, 0, 266.94, 266.935, 0
268, 0, 267.94, 267.935, 0
269, 0, 268.94, 268.935, 0
270, 0, 269.94, 269.935, 0
271, 0, 270.94, 270.935, 0
272, 0, 271.94, 271.935, 0
273, 0, 272.94, 272.935, 0
274, 0, 273.94, 273.935, 0
275, 0, 274.94, 274.935, 0
276, 0, 275.94, 275.935, 0
277, 0, 276.94, 276.935, 0
278, 0, 277.94, 277.935, 0
279, 0, 278.94, 278.935, 0
280, 0, 279.94, 279.935, 0
281, 0, 280.94, 280.935, 0
282, 0, 281.94, 281.935, 0
283, 0, 282.94, 282.935, 0
284, 0, 283.94, 283.935, 0
285, 0, 284.94, 284.935, 0
286, 0, 285.94, 285.935, 0
287, 0, 286.94, 286.935, 0
288, 0, 287.94, 287.935, 0
289, 0, 288.94, 288.935, 0
290, 0, 289.94, 289.935, 0
291, 0, 290.94, 290.935, 0
292, 0, 291.94, 291.935, 0
293, 0, 292.94, 292.935, 0
294, 0, 293.94, 293.935, 0
295, 0, 294.94, 294.935, 0
296, 0, 295.94, 295.935, 0
297, 0, 296.94, 296.935, 0
298, 0, 297.94, 297.935, 0
299, 0, 298.94, 298.935, 0
300, 0, 299.94, 299.935, 0
301, 0, 300.94, 300.935, 0
302, 0, 301.94, 301.935, 0
303, 0, 302.94, 302.935, 0
304, 0, 303.94, 303.935, 0
305, 0, 304.94, 304.935, 0
306, 0, 305.94, 305.935, 0
307, 0, 306.94, 306.935, 0
308, 0, 307.94, 307.935, 0
309, 0, 308.94, 308.935, 0
310, 0, 309.94, 309.935, 0
311, 0, 310.94, 310.935, 0
312, 0, 311.94, 311.935, 0
313, 0, 312.94, 312.935, 0
314, 0, 313.94, 313.935, 0
