start-time,duration,end-time,type-of-collision
282.815,1.1200000000000001,283.935,Agent-Human
299.895,1.26,301.155,Agent-Human
342.12,1.1200000000000001,343.24,Agent-Human
359.34,0.97999999999999998,360.32,Agent-Human
401.49,1.05,402.54,Agent-Human
418.64,1.1200000000000001,419.76,Agent-Human
460.78,1.1899999999999999,461.97,Agent-Human
478.07,1.05,479.12,Agent-Human
520.075,1.1200000000000001,521.195,Agent-Human
537.295,1.1899999999999999,538.485,Agent-Human
579.3,1.26,580.56,Agent-Human
596.595,1.1200000000000001,597.715,Agent-Human
