Goal x, Goal y, Goal z, Planner
2.1, 2.7, 3.9, racer
2.18169, 2.73224, 3.94718, racer
2.55878, 2.87055, 4.14097, racer
3.10812, 3.35291, 4.26292, racer
3.27691, 3.25044, 4.26741, racer
2.92648, 2.91654, 4.3032, racer
3.21485, 2.40651, 4.49181, racer
4.52759, 2.39836, 4.62517, racer
6.07765, 2.51439, 4.66206, racer
6.75797, 2.35748, 4.69321, racer
6.29073, 2.42907, 4.73441, racer
5.26938, 2.50946, 4.68976, racer
5.09195, 3.43723, 4.58173, racer
5.00356, 4.83295, 4.68495, racer
4.06603, 5.34669, 4.77321, racer
2.72848, 5.83307, 4.7535, racer
1.87272, 7.14612, 4.65078, racer
1.85571, 8.18684, 4.50265, racer
2.42714, 9.13358, 4.58215, racer
2.57101, 9.38877, 4.77798, racer
2.42926, 8.54791, 4.77697, racer
2.51296, 6.99715, 4.58861, racer
2.76072, 5.90487, 4.50835, racer
3.7444, 5.51491, 4.55864, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
4.2238, 5.52165, 4.59341, racer
