Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.925, 650.848, 16.9704, 552.352, 98.496, 3184.35
33.89, 843.896, 22.004, 717.008, 126.888, 2991.3
43.24, 915.808, 23.879, 784.592, 131.216, 2919.39
66.24, 1065.95, 27.7939, 912.248, 153.704, 2769.25
102.89, 1133.1, 29.5446, 965.408, 167.688, 2702.1
113.24, 1180.33, 30.7762, 1011.66, 168.672, 2654.87
136.24, 1240.91, 32.3559, 1068.79, 172.12, 2594.29
159.24, 1255.18, 32.728, 1084.22, 170.968, 2580.02
195.89, 1259.58, 32.8427, 1085.78, 173.8, 2575.62
218.89, 1270.98, 33.1398, 1095.35, 175.624, 2564.22
234.925, 1279.44, 33.3605, 1102.71, 176.728, 2555.76
252.24, 1290.7, 33.6539, 1114.17, 176.528, 2544.5
275.24, 1298.34, 33.8531, 1119.65, 178.688, 2536.86
298.24, 1314.37, 34.2712, 1133.03, 181.336, 2520.83
332.88, 1363.33, 35.5478, 1172.45, 190.88, 2471.87
358.89, 1377.4, 35.9147, 1186.14, 191.256, 2457.8
369.24, 1498.32, 39.0676, 1281.36, 216.96, 2336.88
392.24, 1646.63, 42.9347, 1399.62, 247.016, 2188.57
426.88, 1667.02, 43.4664, 1415.79, 251.232, 2168.18
439.24, 1778.21, 46.3655, 1504.45, 273.76, 2056.99
463.24, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
490.41, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
514.24, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
543.24, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
567.24, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
591.24, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
625.88, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
651.89, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
673.88, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
699.89, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
716.925, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
747.89, 1844.92, 48.1049, 1559.55, 285.368, 1990.28
