Goal x, Goal y, Goal z, Planner
2.122, 2.7147, 3.90001, racer
2.33442, 2.85812, 3.90316, racer
2.59904, 3.03924, 3.92619, racer
2.53032, 3.07887, 3.93347, racer
2.46482, 3.06344, 3.90751, racer
2.45325, 3.05302, 3.89972, racer
2.45863, 3.05786, 3.90334, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
2.45825, 3.05752, 3.90309, racer
