Iteration, Path length, Time, Planning, Flying
1, 0.0221868, 0.375, 0.275, 0.095
2, 0.346479, 1.375, 0.295, 1.075
3, 1.022, 2.375, 0.315, 2.055
4, 1.52141, 3.375, 0.315, 3.055
5, 2.36803, 4.375, 0.315, 4.055
6, 3.55757, 5.375, 0.315, 5.055
7, 4.55004, 6.375, 0.315, 6.055
8, 4.87759, 7.375, 0.315, 7.055
9, 5.56689, 8.375, 0.315, 8.055
10, 6.04691, 9.375, 0.315, 9.055
11, 6.86884, 10.375, 0.315, 10.055
12, 7.40591, 11.375, 0.315, 11.055
13, 8.29238, 12.375, 0.315, 12.055
14, 9.08909, 13.375, 0.315, 13.055
15, 9.63854, 14.375, 0.315, 14.055
16, 10.2362, 15.375, 0.315, 15.055
17, 10.6248, 16.375, 0.415, 15.955
18, 10.6718, 17.375, 1.015, 16.355
19, 10.7765, 18.375, 1.535, 16.835
20, 10.8848, 19.375, 1.995, 17.375
21, 10.9878, 20.375, 2.595, 17.775
22, 11.0315, 21.375, 3.195, 18.175
23, 11.1341, 22.375, 3.735, 18.635
24, 11.2378, 23.375, 4.255, 19.115
25, 11.3421, 24.375, 4.755, 19.615
26, 11.4398, 25.375, 5.415, 19.955
27, 11.4826, 26.375, 6.155, 20.215
28, 11.583, 27.375, 6.735, 20.635
29, 11.6831, 28.375, 7.235, 21.135
30, 11.7839, 29.375, 7.795, 21.575
31, 11.8257, 30.375, 8.575, 21.795
32, 11.9218, 31.375, 9.315, 22.055
33, 12.0202, 32.375, 9.975, 22.395
34, 12.1181, 33.375, 10.555, 22.815
35, 12.2128, 34.375, 11.215, 23.155
36, 12.2515, 35.375, 12.035, 23.335
37, 12.3445, 36.375, 12.715, 23.655
38, 12.4414, 37.375, 13.315, 24.055
39, 12.5369, 38.375, 13.895, 24.475
40, 12.575, 39.375, 14.635, 24.735
41, 12.6627, 40.375, 15.455, 24.915
42, 12.7555, 41.375, 16.095, 25.275
43, 12.8494, 42.375, 16.695, 25.675
44, 12.9364, 43.375, 17.415, 25.955
45, 12.9709, 44.375, 18.295, 26.075
