Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.93, 462.64, 12.063, 382.176, 80.464, 3372.56
15.88, 692.616, 18.0594, 589.472, 103.144, 3142.58
31.915, 970.944, 25.3166, 830.648, 140.296, 2864.26
45.915, 1263.98, 32.9572, 1078.47, 185.504, 2571.22
55.93, 1498.44, 39.0707, 1270.1, 228.344, 2336.76
73.88, 1695.13, 44.1992, 1437.09, 258.04, 2140.07
89.88, 1780.84, 46.4341, 1507.73, 273.112, 2054.36
105.88, 1912.32, 49.8623, 1624.88, 287.44, 1922.88
124.915, 2001.6, 52.1902, 1706.29, 295.312, 1833.6
138.88, 2022.5, 52.7351, 1722.12, 300.376, 1812.7
155.88, 2038.23, 53.1454, 1739.74, 298.488, 1796.97
172.88, 2050.62, 53.4685, 1748.06, 302.56, 1784.58
189.88, 2068.61, 53.9374, 1762.58, 306.024, 1766.59
206.88, 2106.74, 54.9316, 1791.14, 315.6, 1728.46
223.88, 2123.62, 55.3717, 1800.68, 322.936, 1711.58
243.915, 2139.45, 55.7845, 1804.68, 334.768, 1695.75
260.915, 2207.17, 57.5503, 1862.78, 344.392, 1628.03
275.88, 2253.62, 58.7616, 1901.16, 352.464, 1581.58
288.93, 2276.13, 59.3484, 1914.18, 361.944, 1559.07
313.915, 2302.06, 60.0244, 1939.69, 362.368, 1533.14
326.93, 2441.02, 63.6477, 2064.54, 376.472, 1394.18
344.93, 2470.98, 64.4289, 2100.53, 370.448, 1364.22
367.915, 2485.14, 64.7981, 2107.53, 377.608, 1350.06
385.915, 2561.28, 66.7835, 2185.66, 375.616, 1273.92
401.88, 2642.59, 68.9036, 2268.27, 374.32, 1192.61
419.88, 2706.1, 70.5594, 2331.21, 374.888, 1129.1
435.93, 2747.66, 71.6433, 2361.95, 385.712, 1087.54
456.88, 2787.94, 72.6936, 2405.48, 382.464, 1047.26
477.915, 2797.16, 72.9339, 2407.31, 389.848, 1038.04
491.93, 2838.92, 74.0227, 2446.54, 392.384, 996.28
512.88, 2851.85, 74.3598, 2451.82, 400.032, 983.352
526.93, 2876.02, 74.99, 2473.78, 402.24, 959.184
547.93, 2952.55, 76.9856, 2545.69, 406.864, 882.648
568.88, 2954.6, 77.039, 2548.89, 405.712, 880.6
587.88, 2963.86, 77.2804, 2558.74, 405.112, 871.344
606.88, 2964.28, 77.2914, 2560.37, 403.912, 870.92
625.88, 2994.38, 78.0761, 2589.62, 404.76, 840.824
644.88, 3043.76, 79.3638, 2634.15, 409.608, 791.44
663.88, 3048.82, 79.4958, 2637.39, 411.432, 786.376
685.915, 3053.57, 79.6195, 2641.2, 412.368, 781.632
704.915, 3097.4, 80.7624, 2687.26, 410.144, 737.8
723.915, 3149.01, 82.1081, 2734.74, 414.264, 686.192
740.88, 3238.91, 84.4522, 2812.45, 426.464, 596.288
759.88, 3303.09, 86.1256, 2876.75, 426.336, 532.112
779.88, 3328.47, 86.7874, 2907.75, 420.72, 506.728
796.93, 3356.13, 87.5086, 2929.77, 426.36, 479.072
818.88, 3356.54, 87.5192, 2930.98, 425.552, 478.664
840.915, 3379.99, 88.1308, 2950, 429.992, 455.208
853.93, 3381.42, 88.1679, 2949.46, 431.96, 453.784
880.915, 3421.45, 89.2117, 2985.18, 436.264, 413.752
895.93, 3438.71, 89.6619, 3004.56, 434.152, 396.488
915.93, 3441.92, 89.7455, 3006.02, 435.896, 393.28
937.88, 3442.03, 89.7484, 3004.16, 437.872, 393.168
957.88, 3445.97, 89.8511, 3009.92, 436.048, 389.232
977.88, 3446.51, 89.8652, 3007.7, 438.816, 388.688
999.915, 3452.48, 90.0209, 3014.69, 437.792, 382.72
1014.93, 3456.28, 90.1199, 3026.74, 429.536, 378.92
1036.88, 3463.54, 90.3091, 3043.9, 419.64, 371.664
1056.88, 3472.9, 90.5532, 3052.34, 420.552, 362.304
1076.88, 3476.46, 90.6462, 3053.26, 423.2, 358.736
1096.88, 3477.04, 90.6612, 3054.99, 422.048, 358.16
1118.91, 3480.18, 90.7432, 3052.94, 427.248, 355.016
1138.91, 3480.73, 90.7574, 3062.18, 418.544, 354.472
1155.88, 3483.51, 90.83, 3063.16, 420.352, 351.688
1175.88, 3485.34, 90.8778, 3066.1, 419.24, 349.856
