Goal x, Goal y, Goal z, Planner
12.68, 11.0934, 0.899796, racer
12.9085, 11.3625, 0.901871, racer
13.0059, 11.2735, 0.90404, racer
13.0799, 11.0903, 0.900946, racer
12.962, 10.9799, 0.983257, racer
11.9275, 10.7548, 1.35473, racer
11.2846, 10.7693, 1.28123, racer
11.4399, 10.9676, 1.32496, racer
12.0633, 11.4932, 1.52532, racer
12.892, 11.507, 1.9404, racer
13.6228, 11.9615, 1.90104, racer
13.5546, 12.3733, 2.08421, racer
12.8627, 13.1175, 2.0928, racer
11.8799, 13.6361, 2.07263, racer
11.3191, 13.7738, 1.9673, racer
11.5061, 14.445, 1.24258, racer
11.391, 15.0685, 1.07938, racer
11.0809, 15.1071, 1.32917, racer
10.9179, 14.4364, 1.14699, racer
10.6309, 14.1109, 0.963114, racer
9.58511, 14.1451, 1.0795, racer
8.64637, 14.2365, 1.0563, racer
7.70445, 13.6753, 1.15441, racer
7.18954, 12.9989, 1.42841, racer
7.3982, 12.2933, 1.66186, racer
7.12281, 11.4643, 2.0384, racer
7.05485, 11.1212, 2.15763, racer
6.92034, 11.3291, 2.17938, racer
6.41236, 12.1354, 1.95752, racer
5.79558, 12.6443, 1.78379, racer
5.31533, 13.0784, 2.03557, racer
5.81663, 14.109, 2.07063, racer
6.04623, 14.6487, 2.03971, racer
5.79613, 14.5395, 1.54427, racer
5.8986, 13.6808, 1.42663, racer
5.70558, 13.0888, 1.30814, racer
5.28311, 12.3116, 1.29252, racer
5.16699, 11.8323, 1.8335, racer
5.22801, 11.0833, 2.30759, racer
5.05851, 10.0209, 2.01107, racer
5.15766, 9.10974, 1.68692, racer
5.09116, 9.40614, 1.27546, racer
5.10152, 10.1622, 0.966805, racer
5.58727, 11.0219, 1.1111, racer
6.49825, 11.9819, 1.06085, racer
6.62303, 12.9099, 1.06527, racer
6.92419, 13.6806, 1.1632, racer
7.64099, 13.6097, 1.58025, racer
7.87298, 13.4068, 2.19326, racer
8.40879, 13.2771, 2.2397, racer
9.33034, 13.5196, 2.21171, racer
9.56184, 13.3759, 2.05336, racer
9.68164, 12.3957, 1.60474, racer
10.0826, 11.3816, 1.88942, racer
10.0322, 10.9715, 2.09055, racer
9.99762, 10.9864, 2.08948, racer
9.27833, 11.0258, 2.15316, racer
8.37205, 10.4174, 2.57537, racer
8.37959, 10.4243, 2.5689, racer
8.37959, 10.4243, 2.5689, racer
8.2723, 10.7155, 2.16364, racer
8.69145, 10.7832, 1.41681, racer
9.20823, 10.3373, 0.965483, racer
9.19834, 10.3044, 1.02237, racer
9.08235, 10.3609, 1.55372, racer
9.94184, 10.7115, 1.76992, racer
10.532, 10.8222, 1.91667, racer
10.51, 10.8115, 2.2819, racer
11.261, 11.3898, 2.19028, racer
12.2417, 11.412, 2.23524, racer
12.8578, 10.7926, 2.00722, racer
13.3163, 10.4867, 1.46942, racer
13.326, 10.7825, 1.00184, racer
12.7167, 10.5721, 1.39608, racer
12.7127, 9.6523, 1.77729, racer
12.8075, 8.68374, 1.89182, racer
13.1964, 8.09755, 2.13323, racer
13.0943, 7.41326, 2.27612, racer
12.8716, 7.23857, 2.24155, racer
11.8368, 7.14875, 1.94023, racer
11.7375, 7.14156, 1.91257, racer
12.0161, 7.08652, 1.75113, racer
12.6154, 6.28934, 1.16382, racer
12.7258, 5.54155, 1.12077, racer
13.2299, 5.90391, 1.11223, racer
13.5813, 6.79016, 1.0806, racer
13.1402, 7.22455, 1.37911, racer
12.5039, 7.64403, 1.7885, racer
11.5548, 7.27349, 1.94587, racer
11.119, 7.05081, 2.24215, racer
10.9098, 6.381, 1.75814, racer
10.5793, 5.95779, 1.30136, racer
9.59732, 6.08736, 1.60253, racer
8.35666, 6.3019, 1.57136, racer
8.00756, 6.49163, 1.77936, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
7.87543, 6.7633, 1.97012, racer
