Iteration, Path length, Time, Planning, Flying
1, 0.172029, 0.97, 0.245, 0.72
2, 0.45535, 1.97, 0.265, 1.7
3, 0.692116, 2.97, 0.265, 2.7
4, 0.982781, 3.97, 0.465, 3.5
5, 1.01755, 4.97, 1.225, 3.74
6, 1.48756, 5.97, 1.265, 4.7
7, 2.56034, 6.97, 1.265, 5.7
8, 3.626, 7.97, 1.32, 6.645
9, 4.44107, 8.97, 1.34, 7.625
10, 5.17715, 9.97, 1.38, 8.585
11, 6.12332, 10.97, 1.445, 9.52
12, 6.93755, 11.97, 1.53, 10.435
13, 8.01115, 12.97, 1.635, 11.33
14, 8.96718, 13.97, 1.76, 12.205
15, 9.3524, 14.97, 1.87, 13.095
16, 10.1898, 15.97, 1.925, 14.04
17, 11.0569, 16.97, 2.005, 14.96
18, 12.1213, 17.97, 2.095, 15.85
19, 12.7768, 18.97, 2.16, 16.805
20, 13.8892, 19.97, 2.225, 17.74
21, 14.9347, 20.97, 2.305, 18.66
22, 15.8242, 21.97, 2.345, 19.62
23, 16.6575, 22.97, 2.405, 20.56
24, 17.1135, 23.97, 2.465, 21.5
25, 18.1453, 24.97, 2.485, 22.48
26, 19.3143, 25.97, 2.58, 23.365
27, 20.1959, 26.97, 2.77, 24.2
28, 21.2476, 27.97, 2.795, 25.17
29, 22.168, 28.97, 2.88, 26.085
30, 22.8617, 29.97, 2.995, 26.97
31, 23.884, 30.97, 3.07, 27.9
32, 24.9659, 31.97, 3.205, 28.76
33, 25.9261, 32.97, 3.28, 29.685
34, 26.8441, 33.97, 3.37, 30.575
35, 27.7331, 34.97, 3.46, 31.51
36, 28.2882, 35.97, 3.56, 32.385
37, 29.2511, 36.97, 3.68, 33.285
38, 29.5784, 37.97, 3.895, 34.07
39, 30.4679, 38.97, 4.16, 34.805
40, 31.376, 39.97, 4.195, 35.75
41, 32.3782, 40.97, 4.33, 36.635
42, 33.4215, 41.975, 4.445, 37.52
43, 33.8959, 42.97, 4.55, 38.415
44, 34.6664, 43.97, 4.765, 39.2
45, 35.7036, 44.97, 4.86, 40.085
46, 36.2287, 45.97, 4.935, 41.03
47, 36.9653, 46.975, 5.05, 41.915
48, 38.0798, 47.97, 5.145, 42.8
49, 38.6806, 48.97, 5.26, 43.705
50, 39.5835, 49.97, 5.385, 44.58
51, 40.1583, 50.97, 5.48, 45.47
52, 41.1743, 51.97, 5.54, 46.41
53, 42.0702, 52.97, 5.735, 47.215
54, 42.677, 53.97, 5.88, 48.085
55, 43.4268, 54.97, 5.985, 48.985
56, 44.1768, 55.97, 6.04, 49.925
57, 44.9672, 56.97, 6.125, 50.84
58, 45.9967, 57.97, 6.22, 51.745
59, 46.2562, 58.97, 6.795, 52.17
60, 46.8211, 59.97, 6.945, 53.025
61, 47.958, 60.97, 7.1, 53.865
62, 48.9764, 61.97, 7.195, 54.77
63, 49.6887, 62.97, 7.29, 55.675
64, 50.0544, 63.97, 7.46, 56.505
65, 50.7558, 64.97, 7.505, 57.45
66, 51.4092, 65.97, 7.6, 58.35
67, 52.2392, 66.97, 7.715, 59.25
68, 53.2066, 67.97, 7.765, 60.2
69, 54.3005, 68.97, 7.9, 61.05
70, 55.1763, 69.97, 8.12, 61.825
71, 55.8201, 70.97, 8.225, 62.72
72, 56.4967, 71.97, 8.36, 63.605
73, 57.3494, 72.97, 8.57, 64.375
74, 58.3627, 73.97, 8.76, 65.205
75, 59.116, 74.97, 8.895, 66.055
76, 59.5165, 75.97, 9.2, 66.75
77, 59.7771, 76.97, 9.85, 67.115
78, 59.8385, 77.97, 10.41, 67.535
79, 59.8994, 78.97, 11.225, 67.74
80, 60.0289, 79.97, 11.765, 68.2
81, 60.1992, 80.97, 12.405, 68.545
82, 60.3387, 81.97, 13.04, 68.925
83, 60.4975, 82.97, 13.62, 69.33
84, 60.6199, 83.97, 14.275, 69.69
85, 60.8587, 84.97, 14.63, 70.32
86, 60.9473, 85.975, 15.235, 70.71
87, 61.0993, 86.97, 15.785, 71.16
88, 61.3585, 87.975, 16.305, 71.66
89, 61.6701, 88.97, 16.8, 72.165
90, 62.1606, 89.97, 17.31, 72.635
91, 62.1606, 90.98, 18.33, 72.635
92, 62.2774, 91.975, 18.855, 73.11
93, 62.7181, 92.97, 19.1, 73.87
94, 63.8978, 93.975, 19.24, 74.725
95, 64.4681, 94.975, 19.5, 75.45
96, 65.3303, 95.975, 19.73, 76.23
97, 66.3214, 96.97, 19.955, 77.01
98, 67.5114, 97.97, 20.135, 77.82
99, 68.0009, 98.97, 20.34, 78.625
100, 68.7277, 99.97, 20.455, 79.49
101, 69.8647, 100.97, 20.545, 80.42
102, 70.835, 101.97, 20.675, 81.275
103, 71.8792, 102.975, 20.865, 82.1
104, 72.7557, 103.97, 21.065, 82.9
105, 73.2022, 104.97, 21.24, 83.73
106, 74.4748, 105.97, 21.46, 84.505
107, 75.3736, 106.975, 21.6, 85.35
108, 76.3495, 107.97, 21.855, 86.1
109, 77.0912, 108.975, 22.005, 86.96
110, 77.7403, 109.97, 22.21, 87.74
111, 78.8217, 110.97, 22.43, 88.525
112, 79.6887, 111.97, 22.59, 89.375
113, 80.108, 112.97, 22.695, 90.27
114, 80.7393, 113.97, 22.775, 91.17
115, 81.6953, 114.97, 22.95, 92.015
116, 82.5197, 115.97, 23.04, 92.925
117, 83.5787, 116.97, 23.195, 93.77
118, 84.2751, 117.97, 23.39, 94.575
119, 85.2806, 118.97, 23.58, 95.365
120, 86.2983, 119.97, 23.725, 96.24
121, 86.8258, 120.97, 23.78, 97.165
122, 87.1015, 121.97, 24.285, 97.665
123, 87.1939, 122.975, 24.9, 98.065
124, 87.4271, 123.975, 25.24, 98.725
