Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.92, 711.616, 18.5549, 612.04, 99.576, 3123.58
22.96, 1146.95, 29.9059, 984.016, 162.936, 2688.25
43.96, 1527.66, 39.8325, 1301.84, 225.816, 2307.54
63.915, 1571, 40.9627, 1341.45, 229.552, 2264.2
86.915, 1683.75, 43.9026, 1447.36, 236.392, 2151.45
110.96, 1693.06, 44.1454, 1453.31, 239.752, 2142.14
126.005, 1839.44, 47.962, 1579.3, 260.144, 1995.76
154.915, 1873.19, 48.8421, 1610.14, 263.056, 1962.01
172.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
200.96, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
221.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
244.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
263.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
285.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
308.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
335.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
358.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
381.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
399.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
426.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
449.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
467.915, 1873.19, 48.8421, 1609.77, 263.424, 1962.01
