Iteration, Path length, Time, Planning, Flying
1, 0, 0.895, 0.88, 0
2, 0, 1.895, 1.88, 0
3, 0, 2.895, 2.88, 0
4, 0, 3.895, 3.88, 0
5, 0, 4.895, 4.88, 0
6, 0, 5.895, 5.88, 0
7, 0, 6.895, 6.88, 0
8, 0, 7.895, 7.88, 0
9, 0, 8.895, 8.88, 0
10, 0, 9.895, 9.88, 0
11, 0, 10.895, 10.88, 0
12, 0, 11.895, 11.88, 0
13, 0, 12.895, 12.88, 0
14, 0, 13.895, 13.88, 0
15, 0, 14.895, 14.88, 0
16, 0, 15.895, 15.88, 0
17, 0, 16.895, 16.88, 0
18, 0, 17.895, 17.88, 0
19, 0, 18.895, 18.88, 0
20, 0, 19.895, 19.88, 0
21, 0, 20.895, 20.88, 0
22, 0, 21.895, 21.88, 0
23, 0, 22.895, 22.88, 0
24, 0, 23.895, 23.88, 0
25, 0, 24.895, 24.88, 0
26, 0, 25.895, 25.88, 0
27, 0, 26.895, 26.88, 0
28, 0, 27.895, 27.88, 0
29, 0, 28.895, 28.88, 0
30, 0, 29.895, 29.88, 0
31, 0, 30.895, 30.88, 0
32, 0, 31.895, 31.88, 0
33, 0, 32.895, 32.88, 0
34, 0, 33.895, 33.88, 0
35, 0, 34.895, 34.88, 0
36, 0, 35.895, 35.88, 0
37, 0, 36.895, 36.88, 0
38, 0, 37.895, 37.88, 0
39, 0, 38.895, 38.88, 0
40, 0, 39.895, 39.88, 0
41, 0, 40.895, 40.88, 0
42, 0, 41.895, 41.88, 0
43, 0, 42.895, 42.88, 0
44, 0, 43.895, 43.88, 0
45, 0, 44.895, 44.88, 0
46, 0, 45.895, 45.88, 0
47, 0, 46.895, 46.88, 0
48, 0, 47.895, 47.88, 0
49, 0, 48.895, 48.88, 0
50, 0, 49.895, 49.88, 0
51, 0, 50.895, 50.88, 0
52, 0, 51.895, 51.88, 0
53, 0, 52.895, 52.88, 0
54, 0, 53.895, 53.88, 0
55, 0, 54.895, 54.88, 0
56, 0, 55.895, 55.88, 0
57, 0, 56.895, 56.88, 0
58, 0, 57.895, 57.88, 0
59, 0, 58.895, 58.88, 0
60, 0, 59.895, 59.88, 0
61, 0, 60.895, 60.88, 0
62, 0, 61.895, 61.88, 0
63, 0, 62.895, 62.88, 0
64, 0, 63.895, 63.88, 0
65, 0, 64.895, 64.88, 0
66, 0, 65.895, 65.88, 0
67, 0, 66.895, 66.88, 0
68, 0, 67.895, 67.88, 0
69, 0, 68.895, 68.88, 0
70, 0, 69.895, 69.88, 0
71, 0, 70.895, 70.88, 0
72, 0, 71.895, 71.88, 0
73, 0, 72.895, 72.88, 0
74, 0, 73.895, 73.88, 0
75, 0, 74.895, 74.88, 0
76, 0, 75.895, 75.88, 0
77, 0, 76.895, 76.88, 0
78, 0, 77.895, 77.88, 0
79, 0, 78.895, 78.88, 0
80, 0, 79.895, 79.88, 0
81, 0, 80.895, 80.88, 0
82, 0, 81.895, 81.88, 0
83, 0, 82.895, 82.88, 0
84, 0, 83.895, 83.88, 0
85, 0, 84.895, 84.88, 0
86, 0, 85.895, 85.88, 0
87, 0, 86.895, 86.88, 0
88, 0, 87.895, 87.88, 0
89, 0, 88.895, 88.88, 0
90, 0, 89.895, 89.88, 0
91, 0, 90.895, 90.88, 0
92, 0, 91.895, 91.88, 0
93, 0, 92.895, 92.88, 0
94, 0, 93.895, 93.88, 0
95, 0, 94.895, 94.88, 0
96, 0, 95.895, 95.88, 0
97, 0, 96.895, 96.88, 0
98, 0, 97.895, 97.88, 0
99, 0, 98.895, 98.88, 0
100, 0, 99.895, 99.88, 0
101, 0, 100.895, 100.88, 0
102, 0, 101.895, 101.88, 0
103, 0, 102.895, 102.88, 0
104, 0, 103.895, 103.88, 0
105, 0, 104.895, 104.88, 0
106, 0, 105.895, 105.88, 0
107, 0, 106.895, 106.88, 0
108, 0, 107.895, 107.88, 0
109, 0, 108.895, 108.88, 0
110, 0, 109.895, 109.88, 0
111, 0, 110.895, 110.88, 0
112, 0, 111.895, 111.88, 0
113, 0, 112.895, 112.88, 0
114, 0, 113.895, 113.88, 0
115, 0, 114.895, 114.88, 0
116, 0, 115.895, 115.88, 0
117, 0, 116.895, 116.88, 0
118, 0, 117.895, 117.88, 0
119, 0, 118.895, 118.88, 0
120, 0, 119.895, 119.88, 0
121, 0, 120.895, 120.88, 0
122, 0, 121.895, 121.88, 0
123, 0, 122.895, 122.88, 0
124, 0, 123.895, 123.88, 0
125, 0, 124.895, 124.88, 0
126, 0, 125.895, 125.88, 0
127, 0, 126.895, 126.88, 0
128, 0, 127.895, 127.88, 0
129, 0, 128.895, 128.88, 0
130, 0, 129.895, 129.88, 0
131, 0, 130.895, 130.88, 0
132, 0, 131.895, 131.88, 0
133, 0, 132.895, 132.88, 0
134, 0, 133.895, 133.88, 0
135, 0, 134.895, 134.88, 0
136, 0, 135.895, 135.88, 0
137, 0, 136.895, 136.88, 0
138, 0, 137.895, 137.88, 0
139, 0, 138.895, 138.88, 0
140, 0, 139.895, 139.88, 0
141, 0, 140.895, 140.88, 0
142, 0, 141.895, 141.88, 0
143, 0, 142.895, 142.88, 0
144, 0, 143.895, 143.88, 0
145, 0, 144.895, 144.88, 0
146, 0, 145.895, 145.88, 0
147, 0, 146.895, 146.88, 0
148, 0, 147.895, 147.88, 0
149, 0, 148.895, 148.88, 0
150, 0, 149.895, 149.88, 0
151, 0, 150.895, 150.88, 0
