Goal x, Goal y, Goal z, Planner
-8.88803, 5.97637, 0.97236, racer
-8.49439, 6.15764, 1.1083, racer
-8.41087, 6.25722, 1.00068, racer
-8.91494, 5.63021, 1.03337, racer
-9.62539, 5.46039, 1.20263, racer
-10.5977, 5.75972, 1.80481, racer
-11.5591, 6.39044, 2.2405, racer
-12.1306, 7.1853, 1.9753, racer
-12.4553, 7.90612, 1.6434, racer
-11.8821, 8.81288, 1.60238, racer
-10.7461, 10.3161, 1.74203, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
-9.5201, 11.0983, 1.79692, racer
