Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.94, 48.936, 9.45623, 37.952, 10.984, 468.564
2.94, 54.536, 10.5384, 41.544, 12.992, 462.964
2.94, 56.384, 10.8955, 42.792, 13.592, 461.116
3.94, 75.472, 14.584, 55.552, 19.92, 442.028
3.94, 80.128, 15.4837, 58.376, 21.752, 437.372
4.94, 84.792, 16.3849, 61.744, 23.048, 432.708
4.94, 90.824, 17.5505, 65.656, 25.168, 426.676
5.941, 103.288, 19.959, 74.688, 28.6, 414.212
5.941, 105.088, 20.3069, 74.872, 30.216, 412.412
6.94, 107.368, 20.7474, 75.984, 31.384, 410.132
6.94, 107.616, 20.7954, 76, 31.616, 409.884
7.941, 108.128, 20.8943, 76.408, 31.72, 409.372
7.941, 108.24, 20.9159, 77.032, 31.208, 409.26
8.94, 108.296, 20.9268, 76.136, 32.16, 409.204
8.94, 108.312, 20.9299, 76.216, 32.096, 409.188
9.94, 109.328, 21.1262, 77.392, 31.936, 408.172
9.94, 109.448, 21.1494, 77.72, 31.728, 408.052
10.94, 109.992, 21.2545, 78.096, 31.896, 407.508
10.94, 110.16, 21.287, 77.88, 32.28, 407.34
11.94, 110.296, 21.3132, 77.904, 32.392, 407.204
11.94, 110.688, 21.389, 78.096, 32.592, 406.812
12.94, 114.464, 22.1186, 81.04, 33.424, 403.036
12.94, 122.424, 23.6568, 87.744, 34.68, 395.076
13.94, 152.8, 29.5266, 114.496, 38.304, 364.7
13.94, 174.8, 33.7778, 134.032, 40.768, 342.7
14.94, 183.144, 35.3901, 141.896, 41.248, 334.356
14.94, 187.52, 36.2357, 145.76, 41.76, 329.98
15.94, 193.136, 37.321, 150.776, 42.36, 324.364
15.94, 195.184, 37.7167, 153.024, 42.16, 322.316
16.94, 203.512, 39.326, 160.832, 42.68, 313.988
16.94, 213.728, 41.3001, 169.248, 44.48, 303.772
17.94, 220, 42.5121, 175.952, 44.048, 297.5
17.94, 226.104, 43.6916, 181.512, 44.592, 291.396
18.94, 234.68, 45.3488, 188.848, 45.832, 282.82
18.94, 239.296, 46.2408, 191.984, 47.312, 278.204
19.94, 251.512, 48.6014, 202.552, 48.96, 265.988
19.94, 259.776, 50.1983, 211.288, 48.488, 257.724
20.94, 270.464, 52.2636, 222.2, 48.264, 247.036
20.94, 277.52, 53.6271, 228.272, 49.248, 239.98
21.94, 286.304, 55.3244, 235.936, 50.368, 231.196
21.94, 288.824, 55.8114, 238.392, 50.432, 228.676
22.94, 293.12, 56.6415, 241.856, 51.264, 224.38
22.94, 297.08, 57.4068, 245.96, 51.12, 220.42
23.94, 302.944, 58.5399, 250.6, 52.344, 214.556
23.94, 316.12, 61.086, 260.856, 55.264, 201.38
24.94, 327.184, 63.224, 268.336, 58.848, 190.316
24.94, 331.92, 64.1391, 272.616, 59.304, 185.58
25.94, 334.224, 64.5843, 274.368, 59.856, 183.276
25.94, 340.896, 65.8736, 279.056, 61.84, 176.604
26.94, 360.68, 69.6966, 296.52, 64.16, 156.82
26.94, 374.216, 72.3123, 306.664, 67.552, 143.284
27.94, 387.184, 74.8182, 319.528, 67.656, 130.316
27.94, 392.392, 75.8245, 324.352, 68.04, 125.108
28.94, 397.144, 76.7428, 329.152, 67.992, 120.356
28.94, 398.936, 77.0891, 330.496, 68.44, 118.564
29.94, 399.408, 77.1803, 331.12, 68.288, 118.092
29.94, 399.672, 77.2313, 330.736, 68.936, 117.828
30.94, 399.936, 77.2823, 330.04, 69.896, 117.564
30.94, 400.448, 77.3813, 330.152, 70.296, 117.052
31.94, 406.248, 78.502, 334.192, 72.056, 111.252
31.94, 412.176, 79.6475, 340.992, 71.184, 105.324
32.94, 418.664, 80.9013, 347.016, 71.648, 98.836
32.94, 421.616, 81.4717, 349.688, 71.928, 95.884
33.94, 425.736, 82.2678, 352.92, 72.816, 91.764
33.94, 428.888, 82.8769, 356.368, 72.52, 88.612
34.941, 439.016, 84.834, 367.016, 72, 78.484
34.941, 444.712, 85.9347, 372.92, 71.792, 72.788
35.94, 449.16, 86.7942, 377.384, 71.776, 68.34
35.94, 451.368, 87.2209, 379.536, 71.832, 66.132
36.94, 451.864, 87.3167, 380.544, 71.32, 65.636
36.94, 452.008, 87.3445, 380.88, 71.128, 65.492
37.94, 452.872, 87.5115, 381.24, 71.632, 64.628
37.94, 454.504, 87.8269, 381.976, 72.528, 62.996
38.94, 460.144, 88.9167, 386.984, 73.16, 57.356
38.94, 463.624, 89.5892, 390.376, 73.248, 53.876
39.94, 466.816, 90.206, 393.416, 73.4, 50.684
39.94, 467.464, 90.3312, 394.176, 73.288, 50.036
40.94, 468.872, 90.6033, 395.592, 73.28, 48.628
40.94, 469.848, 90.7919, 396.248, 73.6, 47.652
41.94, 470.784, 90.9728, 396.64, 74.144, 46.716
41.94, 470.976, 91.0099, 396.704, 74.272, 46.524
42.94, 471.16, 91.0454, 396.688, 74.472, 46.34
42.94, 471.28, 91.0686, 396.816, 74.464, 46.22
43.941, 471.312, 91.0748, 397.04, 74.272, 46.188
43.941, 471.312, 91.0748, 397.048, 74.264, 46.188
44.94, 471.384, 91.0887, 397.12, 74.264, 46.116
44.94, 471.464, 91.1042, 397.176, 74.288, 46.036
