Iteration, Path length, Time, Planning, Flying
1, 0.0142859, 0.949, 0.911, 0.02
2, 0.111859, 1.949, 1.033, 0.898
3, 0.329601, 2.949, 1.113, 1.817
4, 0.676288, 3.949, 1.113, 2.818
5, 1.08303, 4.949, 1.113, 3.818
6, 1.77843, 5.949, 1.113, 4.818
7, 2.82428, 6.949, 1.133, 5.798
8, 3.61813, 7.949, 1.153, 6.777
9, 4.13071, 8.949, 1.153, 7.777
10, 5.40595, 9.949, 1.153, 8.778
11, 5.85298, 10.949, 1.153, 9.778
12, 6.75402, 11.949, 1.153, 10.778
13, 7.86707, 12.949, 1.153, 11.778
14, 8.55688, 13.949, 1.153, 12.778
15, 9.3689, 14.949, 1.153, 13.778
16, 9.74919, 15.949, 1.153, 14.778
17, 10.7997, 16.949, 1.153, 15.777
18, 11.5503, 17.949, 1.153, 16.777
19, 12.5774, 18.949, 1.153, 17.778
20, 13.0457, 19.95, 1.153, 18.778
21, 13.9119, 20.949, 1.153, 19.778
22, 14.5386, 21.949, 1.153, 20.778
23, 14.9715, 22.949, 1.153, 21.778
24, 15.8989, 23.949, 1.153, 22.778
25, 16.9007, 24.949, 1.153, 23.778
26, 17.8251, 25.95, 1.153, 24.777
27, 18.7986, 26.949, 1.153, 25.778
28, 20.1455, 27.949, 1.153, 26.778
29, 20.5588, 28.949, 1.153, 27.778
30, 21.4721, 29.949, 1.153, 28.777
31, 22.2565, 30.949, 1.153, 29.778
32, 23.1255, 31.949, 1.153, 30.778
33, 24.3239, 32.949, 1.153, 31.778
34, 24.8892, 33.949, 1.153, 32.778
35, 25.8848, 34.949, 1.153, 33.777
36, 27.2349, 35.949, 1.153, 34.778
37, 27.9526, 36.949, 1.153, 35.778
38, 28.8751, 37.949, 1.153, 36.777
39, 30.0015, 38.949, 1.153, 37.777
40, 31.061, 39.949, 1.153, 38.777
41, 32.3768, 40.949, 1.153, 39.777
42, 33.3193, 41.949, 1.153, 40.778
43, 34.2396, 42.949, 1.153, 41.778
44, 35.0294, 43.949, 1.153, 42.778
45, 35.2257, 44.949, 1.253, 43.677
46, 35.9756, 45.949, 1.253, 44.677
47, 37.3724, 46.949, 1.253, 45.677
48, 38.1265, 47.949, 1.253, 46.678
49, 39.2173, 48.949, 1.253, 47.678
50, 39.7168, 49.949, 1.253, 48.678
51, 40.3133, 50.949, 1.253, 49.678
52, 41.8882, 51.949, 1.253, 50.678
53, 42.4673, 52.949, 1.253, 51.678
54, 43.7159, 53.949, 1.253, 52.677
55, 45.0563, 54.949, 1.253, 53.678
56, 45.4817, 55.949, 1.332, 54.599
57, 46.0982, 56.949, 1.332, 55.599
58, 46.4665, 57.949, 1.372, 56.559
59, 46.9008, 58.949, 1.712, 57.219
