Goal x, Goal y, Goal z, Planner
-3.18173, 5.1135, 1.3, racer
-3.05572, 5.26126, 1.30029, racer
-2.91095, 5.54437, 1.3094, racer
-2.75938, 4.77037, 1.29831, racer
-2.72999, 4.17698, 1.27764, racer
-2.7642, 5.1238, 1.2914, racer
-2.76226, 5.52471, 1.30068, racer
-2.77362, 5.38168, 1.30008, racer
-2.77316, 5.3825, 1.3, racer
-2.80055, 5.37948, 1.37024, racer
-2.46976, 5.2465, 1.98584, racer
-1.52399, 5.18155, 2.49619, racer
-1.00714, 5.64246, 2.14708, racer
-0.534508, 5.19291, 2.19609, racer
-0.310614, 4.31839, 2.49674, racer
-0.610004, 5.02608, 2.28414, racer
-0.552406, 6.13116, 1.96317, racer
-0.181571, 5.91814, 1.92448, racer
0.00497402, 4.7295, 1.87705, racer
0.407925, 3.59431, 1.34913, racer
0.62395, 3.34622, 0.885223, racer
0.191759, 4.15181, 1.6913, racer
-0.170881, 4.80968, 2.43433, racer
-0.130833, 4.64792, 2.37296, racer
-0.0747878, 4.29169, 2.30553, racer
0.241933, 4.05406, 2.30402, racer
0.531221, 3.23813, 2.30968, racer
-0.136453, 2.63955, 2.34869, racer
-1.37493, 2.41604, 2.22494, racer
-1.95174, 2.1109, 1.95393, racer
-1.83589, 1.69199, 1.25597, racer
-1.45627, 1.27736, 1.18511, racer
-2.03293, 0.563086, 1.48648, racer
-2.81851, 0.439263, 1.42397, racer
-2.82215, 0.592761, 1.43089, racer
-2.15086, -0.0851414, 1.81447, racer
-2.0307, -0.366054, 2.48109, racer
-1.69551, -0.851445, 1.83259, racer
-1.82195, -1.41199, 1.0945, racer
-2.64263, -2.19339, 1.2793, racer
-3.16979, -1.85237, 1.5388, racer
-2.89063, -1.83496, 1.58119, racer
-2.27379, -2.6255, 2.25321, racer
-2.42807, -3.26413, 2.4823, racer
-2.90887, -3.78525, 2.39903, racer
-2.92157, -4.36452, 2.26246, racer
-3.27123, -5.1929, 1.64181, racer
-3.66973, -4.72256, 2.09975, racer
-3.87178, -4.34335, 2.42705, racer
-3.4528, -5.04221, 1.74335, racer
-2.88491, -5.7813, 1.24313, racer
-2.81727, -5.60197, 1.71165, racer
-3.65394, -5.48132, 1.78727, racer
-4.29121, -5.45328, 1.74637, racer
-3.87888, -5.50064, 1.83434, racer
-3.08654, -5.51162, 1.79548, racer
-3.19471, -6.3497, 2.23936, racer
-2.87838, -6.55602, 2.42831, racer
-2.20209, -6.37603, 2.38767, racer
