Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.968, 213.84, 41.3217, 162.968, 50.872, 303.66
4.968, 229.056, 44.262, 174.528, 54.528, 288.444
4.968, 252.696, 48.8301, 193.296, 59.4, 264.804
4.968, 284.336, 54.9442, 220.992, 63.344, 233.164
8.968, 324.392, 62.6844, 254.816, 69.576, 193.108
11.968, 374.968, 72.4576, 302.176, 72.792, 142.532
14.968, 423.136, 81.7654, 347.304, 75.832, 94.364
17.968, 445.256, 86.0398, 361.424, 83.832, 72.244
23.987, 467, 90.2415, 381.496, 85.504, 50.5
23.987, 486.272, 93.9656, 398.528, 87.744, 31.228
24.928, 486.424, 93.995, 398.632, 87.792, 31.076
27.929, 487.968, 94.2933, 400.872, 87.096, 29.532
32.969, 495.28, 95.7063, 407.8, 87.48, 22.22
32.969, 495.736, 95.7944, 406.592, 89.144, 21.764
34.929, 495.736, 95.7944, 407.48, 88.256, 21.764
39.969, 496.744, 95.9892, 412.296, 84.448, 20.756
39.969, 500.632, 96.7405, 417.304, 83.328, 16.868
44.968, 501.216, 96.8533, 415.504, 85.712, 16.284
49.988, 501.768, 96.96, 412.424, 89.344, 15.732
49.988, 506.072, 97.7917, 418.176, 87.896, 11.428
49.988, 506.76, 97.9246, 415.856, 90.904, 10.74
50.972, 507.152, 98.0004, 418.952, 88.2, 10.348
53.972, 507.712, 98.1086, 421.68, 86.032, 9.788
56.972, 508.12, 98.1874, 421.84, 86.28, 9.38
59.972, 508.656, 98.291, 422.464, 86.192, 8.844
62.973, 509.24, 98.4039, 422.248, 86.992, 8.26
65.973, 509.816, 98.5152, 423.192, 86.624, 7.684
68.972, 509.816, 98.5152, 424.032, 85.784, 7.684
71.973, 509.824, 98.5167, 422.936, 86.888, 7.676
74.972, 511.176, 98.778, 422.416, 88.76, 6.324
77.973, 511.24, 98.7903, 420.904, 90.336, 6.26
80.972, 511.24, 98.7903, 423.608, 87.632, 6.26
83.972, 511.24, 98.7903, 419.328, 91.912, 6.26
86.973, 511.24, 98.7903, 425.632, 85.608, 6.26
