Iteration, Path length, Time, Planning, Flying
1, 0, 0.003, 0, 0
2, 0.0660379, 1.002, 0.487, 0.501
3, 0.416555, 2.002, 0.487, 1.5
4, 0.539439, 3.002, 0.865, 2.126
5, 0.605834, 4.002, 1.382, 2.606
6, 0.68428, 5.007, 1.491, 3.498
7, 0.926225, 6.002, 1.795, 4.195
8, 1.49872, 7.001, 1.795, 5.192
9, 1.63627, 8.002, 2.131, 5.859
10, 2.29268, 9.001, 2.131, 6.858
11, 2.98126, 10.001, 2.149, 7.84
12, 3.83897, 11.002, 2.149, 8.84
13, 4.67266, 12.001, 2.288, 9.705
14, 5.38803, 13.004, 2.288, 10.705
15, 5.96518, 14.002, 2.304, 11.684
16, 6.53151, 15.001, 2.304, 12.687
17, 7.57559, 16.001, 2.304, 13.686
18, 8.76754, 17.003, 2.304, 14.688
19, 9.56298, 18.002, 2.467, 15.522
20, 10.0141, 19.003, 2.528, 16.462
21, 10.6023, 20.003, 2.528, 17.459
22, 11.1368, 21.001, 2.528, 18.463
23, 12.2057, 22.001, 2.528, 19.462
24, 13.0046, 23.003, 2.528, 20.461
25, 13.4261, 24.001, 2.665, 21.326
26, 14.099, 25.003, 2.665, 22.327
27, 14.907, 26.003, 2.665, 23.324
28, 15.3099, 27.001, 2.987, 24.003
29, 15.4463, 28.007, 3.579, 24.41
30, 15.8136, 29.001, 3.934, 25.055
31, 16.4792, 30.001, 4.234, 25.756
32, 17.5937, 31.002, 4.269, 26.724
33, 18.843, 32.001, 4.269, 27.722
34, 19.2485, 33.003, 4.545, 28.446
35, 19.292, 34.003, 5.327, 28.664
36, 19.3157, 35.003, 6.207, 28.782
37, 19.7715, 36.002, 6.366, 29.622
38, 20.2919, 37.004, 6.386, 30.601
39, 20.9507, 38.004, 6.386, 31.607
40, 21.3987, 39.001, 6.386, 32.601
41, 22.1169, 40.002, 6.386, 33.603
42, 22.5068, 41.001, 6.753, 34.24
43, 23.5114, 42.001, 6.753, 35.239
44, 24.494, 43.002, 6.753, 36.237
45, 25.4128, 44.001, 6.753, 37.235
46, 26.4502, 45.001, 6.772, 38.219
47, 27.2225, 46.001, 7.088, 38.904
48, 27.4477, 47.001, 7.367, 39.625
49, 27.9795, 48.001, 7.706, 40.283
50, 28.1111, 49.002, 7.75, 41.241
51, 28.379, 50.003, 7.789, 42.202
52, 28.9137, 51.001, 7.789, 43.201
53, 30.0122, 52.002, 7.789, 44.203
54, 31.1273, 53.002, 7.825, 45.165
55, 32.1036, 54.001, 7.825, 46.164
56, 32.9927, 55.004, 7.825, 47.164
57, 34.1065, 56.004, 7.851, 48.139
58, 34.7236, 57.004, 7.851, 49.137
59, 35.2028, 58.003, 7.851, 50.139
60, 35.546, 59.001, 8.01, 50.978
61, 36.0253, 60.004, 8.01, 51.981
62, 36.7535, 61.003, 8.01, 52.978
63, 37.2592, 62.001, 8.01, 53.977
64, 37.6571, 63.001, 8.032, 54.956
65, 38.1921, 64.001, 8.051, 55.939
66, 38.8242, 65.001, 8.051, 56.941
67, 39.2817, 66.002, 8.051, 57.938
68, 39.5496, 67.004, 8.07, 58.919
69, 39.9184, 68.002, 8.07, 59.92
70, 40.2521, 69.002, 8.351, 60.639
71, 40.3103, 70.001, 9.248, 60.746
72, 40.7161, 71.003, 9.686, 61.305
73, 41.6733, 72.002, 9.705, 62.282
74, 42.5064, 73.002, 9.705, 63.282
75, 42.8204, 74.002, 9.948, 64.042
76, 43.2847, 75.003, 9.948, 65.041
77, 43.8853, 76.004, 9.948, 66.044
78, 44.6967, 77.003, 9.948, 67.043
79, 45.5637, 78.003, 9.948, 68.044
80, 46.3683, 79.001, 9.969, 69.022
81, 46.9224, 80.001, 9.969, 70.019
82, 47.1345, 81.002, 10.306, 70.682
83, 47.6215, 82.001, 10.306, 71.683
84, 48.5964, 83.001, 10.306, 72.683
85, 49.2099, 84.001, 10.306, 73.683
86, 50.4052, 85.002, 10.306, 74.685
87, 51.0604, 86.001, 10.306, 75.682
88, 51.651, 87.001, 10.306, 76.685
89, 52.6174, 88.001, 10.306, 77.681
90, 53.4233, 89.001, 10.306, 78.684
91, 54.3874, 90.001, 10.306, 79.683
92, 55.115, 91.003, 10.469, 80.519
93, 55.7394, 92.002, 10.469, 81.521
94, 56.7412, 93.002, 10.469, 82.524
95, 57.1184, 94.001, 10.671, 83.316
96, 57.7, 95.001, 10.932, 84.057
97, 58.1096, 96.002, 11.015, 84.978
98, 58.3002, 97.002, 11.338, 85.649
99, 58.8505, 98.002, 11.518, 86.471
100, 58.8972, 99.002, 12.012, 86.978
101, 58.9031, 100.002, 12.985, 87.003
102, 58.9031, 101.006, 13.985, 87.003
103, 58.9031, 102.004, 14.988, 87.003
104, 58.9031, 103.001, 15.987, 87.003
105, 58.9031, 104.003, 16.986, 87.003
106, 58.9031, 105.007, 17.989, 87.003
107, 58.9031, 106.004, 18.985, 87.003
108, 58.9031, 107.003, 19.989, 87.003
109, 58.9031, 108.002, 20.987, 87.003
110, 58.9031, 109.001, 21.987, 87.003
111, 58.9031, 110.001, 22.984, 87.003
112, 58.9031, 111.001, 23.991, 87.003
113, 58.9031, 112.001, 24.986, 87.003
114, 58.9031, 113.002, 25.988, 87.003
115, 58.9031, 114.005, 26.985, 87.003
116, 58.9031, 115.001, 27.993, 87.003
117, 58.9031, 116.002, 28.985, 87.003
118, 58.9031, 117.003, 29.988, 87.003
119, 58.9031, 118.003, 30.984, 87.003
120, 58.9031, 119.002, 31.985, 87.003
121, 58.9031, 120.002, 32.986, 87.003
122, 58.9031, 121.002, 33.99, 87.003
123, 58.9031, 122.001, 34.985, 87.003
124, 58.9031, 123.002, 35.989, 87.003
125, 58.9031, 124.002, 36.985, 87.003
126, 58.9031, 125.003, 37.987, 87.003
127, 58.9031, 126.001, 38.987, 87.003
128, 58.9031, 127.003, 39.986, 87.003
129, 58.9031, 128.003, 40.984, 87.003
130, 58.9031, 129.004, 41.986, 87.003
131, 58.9031, 130.001, 42.989, 87.003
132, 58.9031, 131.003, 43.989, 87.003
133, 58.9031, 132.003, 44.988, 87.003
134, 58.9031, 133.003, 45.987, 87.003
135, 58.9031, 134.003, 46.986, 87.003
136, 58.9031, 135.005, 47.987, 87.003
137, 58.9031, 136.001, 48.984, 87.003
138, 58.9031, 137.003, 49.987, 87.003
139, 58.9031, 138.005, 50.989, 87.003
140, 58.9031, 139.002, 51.986, 87.003
141, 58.9031, 140.002, 52.985, 87.003
142, 58.9031, 141.001, 53.986, 87.003
143, 58.9031, 142.001, 54.988, 87.003
144, 58.9031, 143.002, 55.987, 87.003
145, 58.9031, 144.001, 56.988, 87.003
146, 58.9031, 145.003, 57.987, 87.003
147, 58.9031, 146.004, 58.984, 87.003
148, 58.9031, 147.003, 59.985, 87.003
149, 58.9031, 148.004, 60.988, 87.003
150, 58.9031, 149.001, 61.987, 87.003
151, 58.9031, 150.001, 62.987, 87.003
152, 58.9031, 151.003, 63.991, 87.003
153, 58.9031, 152.002, 64.985, 87.003
154, 58.9031, 153.004, 65.987, 87.003
155, 58.9031, 154.004, 66.986, 87.003
156, 58.9031, 155.002, 67.991, 87.003
157, 58.9031, 156.003, 68.989, 87.003
158, 58.9031, 157.003, 69.986, 87.003
159, 58.9031, 158.001, 70.987, 87.003
160, 58.9031, 159.004, 71.986, 87.003
161, 58.9031, 160.002, 72.993, 87.003
162, 58.9031, 161.002, 73.985, 87.003
163, 58.9031, 162.002, 74.987, 87.003
164, 58.9031, 163.002, 75.984, 87.003
165, 58.9031, 164.003, 76.985, 87.003
166, 58.9031, 165.001, 77.989, 87.003
167, 58.9031, 166.003, 78.989, 87.003
168, 58.9031, 167.003, 79.984, 87.003
169, 58.9031, 168.002, 80.987, 87.003
170, 58.9031, 169.001, 81.99, 87.003
171, 58.9031, 170.002, 82.989, 87.003
172, 58.9031, 171.003, 83.987, 87.003
173, 58.9031, 172.002, 84.989, 87.003
174, 58.9031, 173.001, 85.987, 87.003
175, 58.9031, 174.002, 86.985, 87.003
176, 58.9031, 175.002, 87.987, 87.003
177, 58.9031, 176.003, 88.987, 87.003
178, 58.9031, 177.001, 89.987, 87.003
179, 58.9031, 178.002, 90.989, 87.003
180, 58.9031, 179.001, 91.989, 87.003
181, 58.9031, 180.004, 92.987, 87.003
182, 58.9031, 181.001, 93.984, 87.003
183, 58.9031, 182.001, 94.991, 87.003
184, 58.9031, 183.004, 95.985, 87.003
185, 58.9031, 184.003, 96.989, 87.003
186, 58.9031, 185.002, 97.989, 87.003
187, 58.9031, 186.002, 98.991, 87.003
188, 58.9031, 187.003, 99.99, 87.003
189, 58.9031, 188.001, 100.986, 87.003
190, 58.9031, 189.003, 101.985, 87.003
191, 58.9031, 190.003, 102.986, 87.003
192, 58.9031, 191.002, 103.984, 87.003
193, 58.9031, 192.003, 104.986, 87.003
194, 58.9031, 193.005, 105.988, 87.003
195, 58.9031, 194.002, 106.99, 87.003
196, 58.9031, 195.004, 107.988, 87.003
197, 58.9031, 196.001, 108.988, 87.003
198, 58.9031, 197.004, 109.986, 87.003
199, 58.9031, 198.003, 110.987, 87.003
200, 58.9031, 199.002, 111.988, 87.003
201, 58.9031, 200.002, 112.99, 87.003
202, 58.9031, 201.004, 113.986, 87.003
203, 58.9031, 202.002, 114.986, 87.003
204, 58.9031, 203.004, 115.984, 87.003
205, 58.9031, 204.001, 116.984, 87.003
206, 58.9031, 205.003, 117.985, 87.003
207, 58.9031, 206.003, 118.986, 87.003
208, 58.9031, 207.004, 119.984, 87.003
209, 58.9031, 208.001, 120.988, 87.003
210, 58.9031, 209.002, 121.986, 87.003
211, 58.9031, 210.002, 122.984, 87.003
212, 58.9031, 211.003, 123.994, 87.003
