Goal x, Goal y, Goal z, Planner
-3.0412, 5.06689, 1.22037, racer
-2.7674, 4.79432, 1.11957, racer
-2.8493, 4.7804, 1.36155, racer
-2.61814, 5.43142, 1.31022, racer
-2.59764, 5.45107, 1.28902, racer
-2.69711, 5.14267, 1.29985, racer
-2.88191, 5.07283, 1.2465, racer
-3.10987, 5.18179, 1.24055, racer
-3.26314, 5.3598, 1.27547, racer
-3.26643, 5.38089, 1.28884, racer
-3.23705, 5.40005, 1.2472, racer
-3.15314, 5.45803, 1.20159, racer
-3.06153, 5.50615, 1.13905, racer
-2.78208, 5.37806, 1.2401, racer
-2.29842, 5.55544, 0.955031, racer
-1.95978, 5.93072, 0.685551, racer
-2.09565, 5.80915, 0.700223, racer
-2.21494, 5.73385, 0.693794, racer
-2.08189, 5.90265, 0.778674, racer
