Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0.912, 32.872, 6.35208, 24.344, 8.528, 484.628
1.912, 37.336, 7.21469, 28.728, 8.608, 480.164
1.912, 39.776, 7.68618, 29.952, 9.824, 477.724
2.912, 52.96, 10.2338, 41.32, 11.64, 464.54
2.912, 61.264, 11.8385, 47.536, 13.728, 456.236
3.912, 75.816, 14.6504, 59.52, 16.296, 441.684
3.912, 82.056, 15.8562, 64.16, 17.896, 435.444
4.912, 87.928, 16.9909, 68.608, 19.32, 429.572
4.912, 101.48, 19.6097, 79.064, 22.416, 416.02
5.912, 114.232, 22.0738, 86.312, 27.92, 403.268
5.912, 124.992, 24.153, 93.552, 31.44, 392.508
6.912, 141.88, 27.4164, 109.752, 32.128, 375.62
6.912, 153.112, 29.5869, 119.68, 33.432, 364.388
7.912, 185.424, 35.8307, 150.232, 35.192, 332.076
7.912, 193.288, 37.3503, 157.36, 35.928, 324.212
8.912, 199.264, 38.5051, 163.448, 35.816, 318.236
8.912, 203.12, 39.2502, 167.136, 35.984, 314.38
9.912, 211.344, 40.8394, 173.208, 38.136, 306.156
9.912, 216.416, 41.8195, 175.456, 40.96, 301.084
10.912, 230.44, 44.5295, 185.808, 44.632, 287.06
10.912, 237.744, 45.9409, 192.584, 45.16, 279.756
11.912, 247.936, 47.9103, 200.824, 47.112, 269.564
11.912, 254.36, 49.1517, 205.184, 49.176, 263.14
12.912, 264.384, 51.0887, 211.608, 52.776, 253.116
12.912, 270.512, 52.2729, 217.264, 53.248, 246.988
13.912, 281.784, 54.451, 229.32, 52.464, 235.716
13.912, 288.736, 55.7944, 235.696, 53.04, 228.764
14.912, 308.992, 59.7086, 254.336, 54.656, 208.508
14.912, 319.936, 61.8234, 264.736, 55.2, 197.564
15.913, 337.072, 65.1347, 279.28, 57.792, 180.428
15.913, 355.432, 68.6825, 293.56, 61.872, 162.068
16.912, 362.688, 70.0846, 300.6, 62.088, 154.812
16.912, 367.264, 70.9689, 304.04, 63.224, 150.236
17.912, 377.208, 72.8904, 312.352, 64.856, 140.292
17.912, 392.456, 75.8369, 326.112, 66.344, 125.044
18.912, 405.344, 78.3273, 337.336, 68.008, 112.156
18.912, 406.76, 78.601, 338.152, 68.608, 110.74
19.912, 409.608, 79.1513, 340.368, 69.24, 107.892
19.912, 416.6, 80.5024, 345.264, 71.336, 100.9
20.912, 427.336, 82.577, 354.896, 72.44, 90.164
20.912, 439.352, 84.8989, 364.968, 74.384, 78.148
21.912, 447.184, 86.4124, 370.848, 76.336, 70.316
21.912, 447.216, 86.4186, 371.656, 75.56, 70.284
22.912, 448.744, 86.7138, 373.56, 75.184, 68.756
22.912, 449.184, 86.7988, 372.944, 76.24, 68.316
23.912, 449.512, 86.8622, 373.104, 76.408, 67.988
23.912, 449.584, 86.8761, 373.08, 76.504, 67.916
24.912, 449.672, 86.8931, 372.712, 76.96, 67.828
24.912, 449.856, 86.9287, 372.912, 76.944, 67.644
25.912, 450.472, 87.0477, 373.368, 77.104, 67.028
25.912, 450.488, 87.0508, 373.08, 77.408, 67.012
26.912, 450.568, 87.0663, 372.688, 77.88, 66.932
26.912, 450.784, 87.108, 372.856, 77.928, 66.716
27.912, 451.024, 87.1544, 373.168, 77.856, 66.476
27.912, 451.088, 87.1668, 373.184, 77.904, 66.412
28.912, 451.168, 87.1822, 373.096, 78.072, 66.332
28.912, 451.168, 87.1822, 373.136, 78.032, 66.332
29.912, 451.192, 87.1869, 373.528, 77.664, 66.308
29.912, 451.2, 87.1884, 373.544, 77.656, 66.3
30.912, 451.2, 87.1884, 373.952, 77.248, 66.3
30.912, 451.36, 87.2193, 374.136, 77.224, 66.14
31.912, 451.984, 87.3399, 374.888, 77.096, 65.516
31.912, 452.416, 87.4234, 375.208, 77.208, 65.084
32.912, 452.656, 87.4698, 375.192, 77.464, 64.844
32.912, 452.688, 87.4759, 375.096, 77.592, 64.812
33.912, 452.712, 87.4806, 375.76, 76.952, 64.788
33.912, 452.784, 87.4945, 375.592, 77.192, 64.716
34.912, 452.944, 87.5254, 375.44, 77.504, 64.556
34.912, 453.008, 87.5378, 375.488, 77.52, 64.492
35.912, 453.112, 87.5579, 375.192, 77.92, 64.388
35.912, 453.176, 87.5702, 375.28, 77.896, 64.324
36.912, 453.232, 87.5811, 376.392, 76.84, 64.268
36.912, 453.24, 87.5826, 376.536, 76.704, 64.26
37.912, 453.248, 87.5842, 375.752, 77.496, 64.252
37.912, 453.272, 87.5888, 375.792, 77.48, 64.228
38.912, 453.328, 87.5996, 376.192, 77.136, 64.172
38.912, 453.584, 87.6491, 376.392, 77.192, 63.916
39.912, 454.104, 87.7496, 377.024, 77.08, 63.396
39.912, 454.152, 87.7588, 377.064, 77.088, 63.348
40.912, 454.168, 87.7619, 377.08, 77.088, 63.332
40.912, 454.168, 87.7619, 376.872, 77.296, 63.332
41.913, 454.168, 87.7619, 376.784, 77.384, 63.332
41.913, 454.168, 87.7619, 376.384, 77.784, 63.332
42.912, 454.2, 87.7681, 377.256, 76.944, 63.3
42.912, 454.224, 87.7728, 377.16, 77.064, 63.276
43.912, 454.264, 87.7805, 376.792, 77.472, 63.236
43.912, 454.264, 87.7805, 376.56, 77.704, 63.236
44.912, 454.32, 87.7913, 377.448, 76.872, 63.18
44.912, 454.4, 87.8068, 377.44, 76.96, 63.1
45.912, 454.504, 87.8269, 377.576, 76.928, 62.996
45.912, 454.568, 87.8392, 377.744, 76.824, 62.932
46.912, 454.672, 87.8593, 377.344, 77.328, 62.828
46.912, 454.736, 87.8717, 376.768, 77.968, 62.764
47.912, 458.24, 88.5488, 379.088, 79.152, 59.26
47.912, 467.152, 90.2709, 385.84, 81.312, 50.348
48.912, 474.424, 91.6761, 391.24, 83.184, 43.076
48.912, 475.16, 91.8184, 391.736, 83.424, 42.34
49.912, 476.704, 92.1167, 392.856, 83.848, 40.796
