Iteration, Path length, Time, Planning, Flying
1, 0.140343, 0.948, 0.387, 0.558
2, 0.797801, 1.947, 0.387, 1.557
3, 1.60199, 2.947, 0.387, 2.558
4, 1.76509, 3.947, 0.908, 3.037
5, 2.24647, 4.947, 0.908, 4.036
6, 3.00651, 5.948, 0.908, 5.036
7, 3.6214, 6.947, 0.908, 6.037
8, 4.70885, 7.947, 0.908, 7.036
9, 5.33941, 8.947, 0.908, 8.038
10, 6.00326, 9.947, 0.908, 9.038
11, 7.41637, 10.947, 0.908, 10.037
12, 9.0029, 11.948, 0.908, 11.037
13, 10.6393, 12.947, 0.908, 12.037
14, 12.6005, 13.947, 0.908, 13.038
15, 14.3928, 14.947, 0.908, 14.037
16, 15.753, 15.947, 0.908, 15.036
17, 17.1993, 16.947, 0.908, 16.038
18, 18.7159, 17.947, 0.908, 17.037
19, 20.5118, 18.947, 0.908, 18.036
20, 22.4565, 19.947, 0.908, 19.037
21, 24.3393, 20.947, 0.908, 20.036
22, 25.5013, 21.947, 0.908, 21.036
23, 26.2624, 22.947, 0.908, 22.037
24, 27.1778, 23.947, 0.908, 23.036
25, 28.5826, 24.947, 0.908, 24.038
26, 29.6032, 25.947, 0.908, 25.038
27, 30.1701, 26.947, 0.908, 26.036
28, 31.5179, 27.947, 0.908, 27.036
29, 33.4837, 28.947, 0.908, 28.036
30, 35.2692, 29.947, 0.908, 29.038
31, 36.7842, 30.947, 0.908, 30.036
32, 38.2417, 31.947, 0.908, 31.036
33, 39.2892, 32.947, 0.908, 32.037
34, 40.3957, 33.947, 0.908, 33.036
35, 42.25, 34.947, 0.908, 34.037
36, 43.5486, 35.947, 1.208, 34.736
37, 43.5486, 36.947, 2.21, 34.736
38, 43.5486, 37.947, 3.209, 34.736
39, 43.5486, 38.947, 4.208, 34.736
40, 43.5486, 39.947, 5.208, 34.736
41, 43.5486, 40.947, 6.21, 34.736
42, 43.5486, 41.947, 7.208, 34.736
43, 43.5486, 42.947, 8.208, 34.736
44, 43.5486, 43.948, 9.209, 34.736
45, 43.5486, 44.947, 10.208, 34.736
46, 43.5486, 45.947, 11.208, 34.736
47, 43.5486, 46.947, 12.208, 34.736
48, 43.5486, 47.947, 13.209, 34.736
49, 43.5486, 48.947, 14.208, 34.736
50, 43.5486, 49.947, 15.208, 34.736
51, 43.5486, 50.947, 16.21, 34.736
52, 43.5486, 51.947, 17.208, 34.736
53, 43.5486, 52.947, 18.208, 34.736
54, 43.5486, 53.947, 19.209, 34.736
55, 43.5486, 54.947, 20.209, 34.736
56, 43.5486, 55.948, 21.208, 34.736
57, 43.5486, 56.947, 22.21, 34.736
58, 43.5486, 57.947, 23.208, 34.736
59, 43.5486, 58.947, 24.208, 34.736
60, 43.5486, 59.948, 25.209, 34.736
