Goal x, Goal y, Goal z, Planner
-2.92437, -5.38907, 1.18244, racer
-2.15062, -6.12849, 1.84102, racer
-0.660232, -7.63001, 2.16519, racer
0.804311, -9.06933, 2.42251, racer
1.94696, -9.8338, 2.41929, racer
2.54236, -9.46955, 2.02583, racer
3.13827, -8.22187, 1.88775, racer
3.15679, -6.62005, 2.07857, racer
2.43308, -5.07557, 2.28549, racer
1.37298, -3.51633, 2.46137, racer
0.773576, -2.22044, 2.45827, racer
0.270614, -1.12388, 2.13703, racer
-1.12893, 0.116112, 1.77926, racer
-2.34761, 1.11934, 1.80907, racer
-2.44836, 1.99384, 1.99141, racer
-1.48759, 3.00189, 2.23737, racer
0.0200753, 4.49258, 2.30795, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
1.45677, 5.41758, 2.27356, racer
