Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.956, 55.52, 10.7285, 41.272, 14.248, 461.98
2.956, 60.88, 11.7643, 46.632, 14.248, 456.62
2.956, 70.784, 13.6781, 52.416, 18.368, 446.716
3.957, 77.048, 14.8885, 56.024, 21.024, 440.452
3.957, 81, 15.6522, 60, 21, 436.5
4.956, 85.224, 16.4684, 63.592, 21.632, 432.276
4.956, 88.4, 17.0821, 66.136, 22.264, 429.1
5.956, 93.68, 18.1024, 70.96, 22.72, 423.82
5.956, 102.288, 19.7658, 77.712, 24.576, 415.212
6.956, 107.72, 20.8155, 80.704, 27.016, 409.78
6.956, 108.336, 20.9345, 82.248, 26.088, 409.164
7.956, 111.136, 21.4756, 83.92, 27.216, 406.364
7.956, 116.12, 22.4386, 88.552, 27.568, 401.38
8.956, 120.688, 23.3214, 93.208, 27.48, 396.812
8.956, 125.136, 24.1809, 97.584, 27.552, 392.364
9.956, 127.296, 24.5983, 99.592, 27.704, 390.204
9.956, 127.768, 24.6895, 99.16, 28.608, 389.732
10.956, 127.952, 24.725, 98.656, 29.296, 389.548
10.956, 129.912, 25.1038, 100.296, 29.616, 387.588
11.956, 136.112, 26.3018, 106.552, 29.56, 381.388
11.956, 144.608, 27.9436, 114.12, 30.488, 372.892
12.956, 161.44, 31.1961, 129.096, 32.344, 356.06
12.956, 165.888, 32.0557, 133.456, 32.432, 351.612
13.956, 168.48, 32.5565, 135.656, 32.824, 349.02
13.956, 170.496, 32.9461, 137.88, 32.616, 347.004
14.956, 171.68, 33.1749, 139.584, 32.096, 345.82
14.956, 173.44, 33.515, 141.088, 32.352, 344.06
15.956, 179.176, 34.6234, 144.856, 34.32, 338.324
15.956, 182.984, 35.3592, 148.504, 34.48, 334.516
16.956, 187.808, 36.2914, 153.288, 34.52, 329.692
16.956, 192.136, 37.1277, 157.064, 35.072, 325.364
17.956, 197.12, 38.0908, 160.688, 36.432, 320.38
17.956, 202.008, 39.0354, 164.8, 37.208, 315.492
18.956, 207.656, 40.1268, 168.256, 39.4, 309.844
18.956, 210.568, 40.6895, 171.24, 39.328, 306.932
19.956, 214.184, 41.3882, 175.328, 38.856, 303.316
19.956, 216.64, 41.8628, 177.296, 39.344, 300.86
20.956, 221.512, 42.8043, 181.28, 40.232, 295.988
20.956, 222.608, 43.016, 182.896, 39.712, 294.892
21.956, 226.568, 43.7813, 186.824, 39.744, 290.932
21.956, 231.912, 44.8139, 192.72, 39.192, 285.588
22.956, 234.544, 45.3225, 194.768, 39.776, 282.956
22.956, 242.984, 46.9534, 200.936, 42.048, 274.516
23.956, 254.216, 49.1239, 210.864, 43.352, 263.284
23.956, 258.272, 49.9076, 215.704, 42.568, 259.228
24.956, 259.008, 50.0499, 216.176, 42.832, 258.492
24.956, 259.888, 50.2199, 217.776, 42.112, 257.612
25.956, 259.968, 50.2354, 218.128, 41.84, 257.532
25.956, 260.04, 50.2493, 218.2, 41.84, 257.46
26.956, 262.68, 50.7594, 219.992, 42.688, 254.82
26.956, 264.672, 51.1443, 221.44, 43.232, 252.828
27.956, 265.672, 51.3376, 222.288, 43.384, 251.828
27.956, 265.888, 51.3793, 222.896, 42.992, 251.612
28.956, 265.936, 51.3886, 222.88, 43.056, 251.564
28.956, 266.016, 51.4041, 223.024, 42.992, 251.484
29.956, 266.576, 51.5123, 223.28, 43.296, 250.924
29.956, 267.664, 51.7225, 224.552, 43.112, 249.836
30.956, 268.032, 51.7936, 224.656, 43.376, 249.468
30.956, 268.416, 51.8678, 224.92, 43.496, 249.084
31.956, 269.552, 52.0873, 226.152, 43.4, 247.948
31.956, 271.448, 52.4537, 227.544, 43.904, 246.052
32.956, 271.688, 52.5001, 227.176, 44.512, 245.812
32.956, 271.92, 52.5449, 227.536, 44.384, 245.58
33.956, 272.616, 52.6794, 229.008, 43.608, 244.884
