Iteration, Path length, Time, Planning, Flying
1, 0.0228984, 0.948, 0.719, 0.22
2, 0.236065, 1.948, 0.719, 1.22
3, 0.793743, 2.948, 0.719, 2.221
4, 1.78957, 3.949, 0.74, 3.2
5, 2.62942, 4.949, 0.74, 4.2
6, 3.14052, 5.948, 0.759, 5.18
7, 3.75471, 6.949, 0.777, 6.163
8, 4.09123, 7.948, 0.777, 7.163
9, 4.84186, 8.949, 0.777, 8.163
10, 5.99513, 9.948, 0.777, 9.163
11, 7.04796, 10.949, 0.777, 10.163
12, 7.90692, 11.949, 0.797, 11.142
13, 8.48309, 12.95, 0.797, 12.145
14, 9.17694, 13.948, 0.797, 13.143
15, 9.56347, 14.95, 0.816, 14.124
16, 10.4133, 15.949, 0.816, 15.125
17, 11.4404, 16.948, 0.836, 16.104
18, 12.0016, 17.949, 0.836, 17.104
19, 12.7969, 18.948, 0.836, 18.105
20, 14.0126, 19.948, 0.855, 19.085
21, 15.2526, 20.949, 0.855, 20.085
22, 16.0308, 21.95, 0.855, 21.086
23, 17.2378, 22.949, 0.855, 22.084
24, 17.8136, 23.949, 0.875, 23.064
25, 18.977, 24.948, 0.875, 24.064
26, 19.6976, 25.948, 0.875, 25.065
27, 21.0183, 26.948, 0.875, 26.065
28, 21.8131, 27.948, 0.875, 27.065
29, 22.5642, 28.95, 0.875, 28.065
30, 23.6423, 29.949, 0.875, 29.065
31, 24.3625, 30.949, 0.895, 30.045
32, 25.6134, 31.949, 0.895, 31.046
33, 27.171, 32.948, 0.895, 32.046
34, 28.1918, 33.949, 0.895, 33.044
35, 29.1891, 34.949, 0.895, 34.045
36, 30.1246, 35.948, 0.895, 35.044
37, 31.4502, 36.948, 0.895, 36.045
38, 31.9828, 37.948, 0.895, 37.045
39, 33.0151, 38.948, 0.895, 38.045
40, 34.1033, 39.949, 0.895, 39.046
41, 34.714, 40.948, 0.895, 40.045
42, 35.8843, 41.949, 0.895, 41.044
43, 37.1981, 42.948, 0.914, 42.025
44, 37.8594, 43.95, 0.914, 43.026
45, 38.488, 44.95, 0.914, 44.026
46, 39.2359, 45.95, 0.914, 45.026
47, 40.6181, 46.95, 0.914, 46.026
48, 41.935, 47.949, 0.914, 47.025
49, 42.3856, 48.948, 0.914, 48.025
50, 43.3673, 49.948, 0.914, 49.025
51, 44.9172, 50.948, 0.932, 50.007
52, 46.2219, 51.949, 0.932, 51.008
53, 47.068, 52.948, 0.95, 51.99
54, 48.0872, 53.949, 0.95, 52.991
55, 49.6817, 54.948, 0.95, 53.99
56, 50.8906, 55.948, 0.95, 54.99
57, 51.6981, 56.95, 0.95, 55.989
58, 52.5416, 57.948, 0.95, 56.99
59, 53.4837, 58.95, 0.95, 57.989
60, 53.8615, 59.949, 0.95, 58.991
61, 55.0088, 60.949, 0.95, 59.989
62, 55.978, 61.949, 0.95, 60.989
63, 56.5268, 62.95, 0.968, 61.971
64, 57.0989, 63.95, 0.968, 62.971
65, 57.5008, 64.949, 0.987, 63.952
