Goal x, Goal y, Goal z, Planner
0.6, 4.8, 1, racer
0.985838, 4.75127, 1.05302, racer
1.38677, 4.63921, 1.13857, racer
1.63506, 4.51117, 1.19645, racer
1.23562, 4.55635, 1.12648, racer
1.02301, 4.51903, 1.00106, racer
1.02115, 4.51938, 1.00205, racer
1.01971, 4.51889, 1.00051, racer
1.01374, 4.51876, 1.00005, racer
1.02238, 4.51894, 1.00075, racer
1.01896, 4.51888, 1.00048, racer
1.01398, 4.51876, 1.00005, racer
1.01963, 4.51889, 1.00053, racer
1.01826, 4.51887, 1.00042, racer
1.01435, 4.51877, 1.00008, racer
1.01647, 4.51882, 1.00026, racer
1.01766, 4.51886, 1.00037, racer
1.01448, 4.51877, 1.00009, racer
1.01637, 4.51882, 1.00026, racer
1.01797, 4.51886, 1.0004, racer
1.01496, 4.51879, 1.00013, racer
1.00777, 4.51862, 0.999526, racer
1.01526, 4.51879, 1.00016, racer
1.02187, 4.51896, 1.00073, racer
1.01421, 4.51877, 1.00007, racer
1.01336, 4.51875, 0.999997, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
1.01331, 4.51874, 0.999992, racer
