Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.936, 205.136, 39.6398, 162.12, 43.016, 312.364
4.936, 214.048, 41.3619, 168.312, 45.736, 303.452
4.936, 223.528, 43.1938, 176.008, 47.52, 293.972
5.936, 240.216, 46.4186, 189.264, 50.952, 277.284
5.936, 267.568, 51.704, 210.28, 57.288, 249.932
5.936, 287.792, 55.612, 229.024, 58.768, 229.708
7.936, 306.848, 59.2943, 243.632, 63.216, 210.652
8.936, 318.648, 61.5745, 255.36, 63.288, 198.852
9.936, 324.32, 62.6705, 258.688, 65.632, 193.18
9.936, 342.4, 66.1643, 271.416, 70.984, 175.1
9.936, 349.776, 67.5896, 276.624, 73.152, 167.724
16.933, 357.24, 69.0319, 283.232, 74.008, 160.26
19.932, 379.416, 73.3171, 302.624, 76.792, 138.084
21.932, 399.8, 77.256, 325.84, 73.96, 117.7
24.932, 415.464, 80.2829, 338.008, 77.456, 102.036
26.933, 422.144, 81.5737, 340.984, 81.16, 95.356
26.933, 424.872, 82.1009, 347.24, 77.632, 92.628
26.933, 440.416, 85.1045, 360.064, 80.352, 77.084
27.019, 458.184, 88.538, 375.584, 82.6, 59.316
29.02, 465.664, 89.9834, 381.824, 83.84, 51.836
32.019, 471.56, 91.1227, 386.352, 85.208, 45.94
35.019, 475.24, 91.8338, 391.192, 84.048, 42.26
37.019, 475.544, 91.8926, 391.672, 83.872, 41.956
40.019, 480.824, 92.9129, 398.76, 82.064, 36.676
42.019, 482.952, 93.3241, 398.12, 84.832, 34.548
45.019, 487.48, 94.199, 401.224, 86.256, 30.02
48.019, 487.88, 94.2763, 400.032, 87.848, 29.62
50.019, 489.416, 94.5731, 401.856, 87.56, 28.084
53.019, 489.936, 94.6736, 402.92, 87.016, 27.564
56.02, 490.16, 94.7169, 400.432, 89.728, 27.34
58.019, 492.2, 95.1111, 400.584, 91.616, 25.3
61.019, 492.704, 95.2085, 400.576, 92.128, 24.796
63.019, 493.36, 95.3353, 400.496, 92.864, 24.14
66.019, 493.52, 95.3662, 400.512, 93.008, 23.98
69.02, 494.768, 95.6073, 402.896, 91.872, 22.732
71.019, 495.24, 95.6986, 404.376, 90.864, 22.26
74.019, 496.752, 95.9907, 403.984, 92.768, 20.748
77.019, 497.24, 96.085, 404.984, 92.256, 20.26
80.02, 497.408, 96.1175, 405.832, 91.576, 20.092
82.019, 497.408, 96.1175, 406.2, 91.208, 20.092
85.019, 497.408, 96.1175, 406.432, 90.976, 20.092
87.02, 497.408, 96.1175, 406.392, 91.016, 20.092
90.02, 497.408, 96.1175, 406.432, 90.976, 20.092
93.019, 497.44, 96.1237, 407.16, 90.28, 20.06
95.02, 497.448, 96.1252, 409.392, 88.056, 20.052
98.02, 497.456, 96.1268, 405.744, 91.712, 20.044
101.019, 497.528, 96.1407, 406.408, 91.12, 19.972
103.019, 497.864, 96.2056, 406.776, 91.088, 19.636
106.019, 498.448, 96.3185, 407.128, 91.32, 19.052
109.019, 498.608, 96.3494, 407.528, 91.08, 18.892
111.019, 498.944, 96.4143, 407.896, 91.048, 18.556
114.02, 498.944, 96.4143, 407.064, 91.88, 18.556
117.02, 498.96, 96.4174, 406.44, 92.52, 18.54
119.019, 498.968, 96.4189, 407.376, 91.592, 18.532
122.019, 498.968, 96.4189, 409.736, 89.232, 18.532
124.019, 499.128, 96.4499, 408.528, 90.6, 18.372
127.019, 499.616, 96.5442, 409.368, 90.248, 17.884
130.019, 499.624, 96.5457, 408.496, 91.128, 17.876
133.019, 499.712, 96.5627, 407.344, 92.368, 17.788
136.019, 499.792, 96.5782, 407.864, 91.928, 17.708
139.019, 499.792, 96.5782, 408.96, 90.832, 17.708
142.02, 499.888, 96.5967, 407.632, 92.256, 17.612
145.019, 500.096, 96.6369, 409.288, 90.808, 17.404
149.019, 500.096, 96.6369, 408.96, 91.136, 17.404
152.019, 500.104, 96.6385, 408.776, 91.328, 17.396
155.019, 500.128, 96.6431, 408.536, 91.592, 17.372
158.019, 500.128, 96.6431, 411.008, 89.12, 17.372
161.019, 500.128, 96.6431, 409.928, 90.2, 17.372
164.019, 500.136, 96.6446, 409.864, 90.272, 17.364
168.02, 500.448, 96.7049, 409.88, 90.568, 17.052
171.02, 500.872, 96.7869, 407.76, 93.112, 16.628
174.019, 500.912, 96.7946, 408.88, 92.032, 16.588
177.019, 501.2, 96.8502, 409.952, 91.248, 16.3
180.019, 501.24, 96.858, 409.72, 91.52, 16.26
183.019, 501.584, 96.9244, 409.272, 92.312, 15.916
186.019, 501.584, 96.9244, 409.144, 92.44, 15.916
189.02, 501.584, 96.9244, 408.72, 92.864, 15.916
192.02, 501.584, 96.9244, 408.384, 93.2, 15.916
