Goal x, Goal y, Goal z, Planner
0.6283, 4.79599, 0.999988, racer
0.995173, 4.74478, 1.0006, racer
1.0557, 4.5809, 1.00342, racer
0.948014, 4.45806, 1.00828, racer
0.98913, 4.48405, 1.00727, racer
1.62049, 4.10743, 1.28264, racer
2.72396, 3.54307, 1.67132, racer
3.23963, 3.18126, 1.35698, racer
3.08497, 2.32013, 1.28343, racer
2.38142, 1.28458, 1.1826, racer
1.76582, 1.05909, 1.18001, racer
2.25052, 1.69002, 1.71156, racer
3.2715, 2.38865, 2.16059, racer
3.31076, 2.97591, 2.13917, racer
2.87842, 3.93404, 1.88188, racer
2.83316, 4.83203, 1.55764, racer
2.45315, 5.24167, 1.18992, racer
1.4382, 5.39885, 1.48942, racer
1.19677, 5.43982, 1.65161, racer
2.07447, 5.35022, 1.42967, racer
2.9899, 5.56005, 1.53766, racer
3.16105, 6.61982, 1.76777, racer
