Iteration, Path length, Time, Planning, Flying
1, 0.0226409, 0.97, 0.793, 0.159
2, 0.453776, 1.969, 0.793, 1.158
3, 0.699869, 2.969, 0.813, 2.139
4, 0.941783, 3.969, 0.813, 3.139
5, 1.07245, 4.969, 0.872, 4.081
6, 1.58679, 5.969, 0.891, 5.06
7, 2.33639, 6.97, 0.891, 6.061
8, 3.09148, 7.969, 0.891, 7.062
9, 4.26081, 8.969, 0.891, 8.06
10, 5.0745, 9.97, 0.891, 9.061
11, 6.01555, 10.97, 0.891, 10.061
12, 7.1532, 11.971, 0.891, 11.061
13, 7.62181, 12.97, 0.891, 12.06
14, 8.5942, 13.969, 0.891, 13.061
15, 9.7794, 14.969, 0.891, 14.062
16, 10.2316, 15.97, 0.891, 15.06
17, 10.9925, 16.969, 0.891, 16.06
18, 11.6675, 17.969, 0.891, 17.06
19, 12.4468, 18.971, 0.891, 18.062
20, 13.1383, 19.969, 0.891, 19.06
21, 13.7026, 20.971, 0.891, 20.062
22, 14.8572, 21.97, 0.891, 21.061
23, 15.5634, 22.971, 0.891, 22.062
