Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.924, 120.416, 23.2688, 97.648, 22.768, 397.084
2.924, 141.88, 27.4164, 112.392, 29.488, 375.62
2.924, 157.08, 30.3536, 123.72, 33.36, 360.42
3.924, 157.08, 30.3536, 123.72, 33.36, 360.42
3.924, 175.464, 33.9061, 138.016, 37.448, 342.036
3.924, 182.688, 35.302, 143.528, 39.16, 334.812
4.925, 182.688, 35.302, 143.528, 39.16, 334.812
4.925, 191.888, 37.0798, 150.384, 41.504, 325.612
4.925, 191.92, 37.086, 150.328, 41.592, 325.58
4.925, 197.424, 38.1496, 154.248, 43.176, 320.076
5.924, 197.424, 38.1496, 154.248, 43.176, 320.076
5.924, 204.784, 39.5718, 159.824, 44.96, 312.716
5.924, 204.784, 39.5718, 159.648, 45.136, 312.716
5.924, 214.28, 41.4068, 165.376, 48.904, 303.22
6.924, 215.888, 41.7175, 166.984, 48.904, 301.612
6.924, 226.464, 43.7612, 176.352, 50.112, 291.036
6.924, 226.696, 43.806, 176.408, 50.288, 290.804
6.924, 238.808, 46.1465, 187.848, 50.96, 278.692
7.924, 242.264, 46.8143, 191.24, 51.024, 275.236
7.924, 255.816, 49.433, 202.048, 53.768, 261.684
7.924, 255.816, 49.433, 201.88, 53.936, 261.684
7.924, 276.36, 53.4029, 221.048, 55.312, 241.14
8.924, 277.664, 53.6549, 222.36, 55.304, 239.836
8.924, 289.016, 55.8485, 232.552, 56.464, 228.484
8.924, 289.112, 55.8671, 232.784, 56.328, 228.388
8.924, 300.384, 58.0452, 242.792, 57.592, 217.116
9.924, 304.64, 58.8676, 245.92, 58.72, 212.86
9.924, 326.528, 63.0972, 267.352, 59.176, 190.972
9.924, 337.448, 65.2073, 277.12, 60.328, 180.052
9.924, 368.376, 71.1838, 302.76, 65.616, 149.124
10.924, 374.24, 72.3169, 307.304, 66.936, 143.26
10.924, 393.056, 75.9529, 323.528, 69.528, 124.444
10.924, 397.584, 76.8278, 327.304, 70.28, 119.916
10.924, 414.088, 80.017, 339.408, 74.68, 103.412
11.924, 421.808, 81.5088, 346.048, 75.76, 95.692
11.924, 431.128, 83.3098, 353.408, 77.72, 86.372
11.924, 434.352, 83.9328, 356.032, 78.32, 83.148
11.924, 437.112, 84.4661, 358.632, 78.48, 80.388
12.924, 442.288, 85.4663, 363.344, 78.944, 75.212
12.924, 445.4, 86.0676, 366.424, 78.976, 72.1
12.924, 450.648, 87.0817, 372.24, 78.408, 66.852
13.924, 454.72, 87.8686, 376.456, 78.264, 62.78
13.924, 462.792, 89.4284, 384.744, 78.048, 54.708
14.925, 466.832, 90.2091, 388.104, 78.728, 50.668
15.924, 471, 91.0145, 392.656, 78.344, 46.5
16.924, 484.656, 93.6533, 404.88, 79.776, 32.844
17.924, 491.016, 94.8823, 411.208, 79.808, 26.484
18.925, 491.384, 94.9534, 410.48, 80.904, 26.116
18.925, 493.216, 95.3074, 409.816, 83.4, 24.284
21.924, 493.984, 95.4558, 413.936, 80.048, 23.516
23.924, 494.792, 95.612, 413.296, 81.496, 22.708
25.924, 494.792, 95.612, 411.248, 83.544, 22.708
27.924, 494.792, 95.612, 411.24, 83.552, 22.708
29.924, 494.792, 95.612, 411.248, 83.544, 22.708
31.924, 494.792, 95.612, 411.24, 83.552, 22.708
31.924, 494.792, 95.612, 411.232, 83.56, 22.708
31.983, 494.792, 95.612, 411.304, 83.488, 22.708
33.983, 494.792, 95.612, 411.304, 83.488, 22.708
40.924, 494.792, 95.612, 411.24, 83.552, 22.708
42.924, 494.792, 95.612, 411.232, 83.56, 22.708
42.924, 494.792, 95.612, 411.232, 83.56, 22.708
42.983, 494.792, 95.612, 411.232, 83.56, 22.708
49.924, 494.792, 95.612, 411.312, 83.48, 22.708
51.924, 494.792, 95.612, 411.992, 82.8, 22.708
53.924, 494.792, 95.612, 411.312, 83.48, 22.708
55.924, 494.792, 95.612, 411.992, 82.8, 22.708
55.924, 494.792, 95.612, 411.24, 83.552, 22.708
55.983, 494.792, 95.612, 411.232, 83.56, 22.708
57.983, 494.792, 95.612, 411.608, 83.184, 22.708
61.918, 494.792, 95.612, 411.6, 83.192, 22.708
66.924, 494.792, 95.612, 411.608, 83.184, 22.708
68.924, 494.792, 95.612, 411.6, 83.192, 22.708
70.924, 494.792, 95.612, 411.608, 83.184, 22.708
72.924, 494.792, 95.612, 411.608, 83.184, 22.708
72.924, 494.792, 95.612, 411.6, 83.192, 22.708
72.983, 494.792, 95.612, 411.6, 83.192, 22.708
79.924, 494.792, 95.612, 411.6, 83.192, 22.708
81.924, 494.792, 95.612, 411.304, 83.488, 22.708
81.924, 494.792, 95.612, 411.312, 83.48, 22.708
81.983, 494.792, 95.612, 411.304, 83.488, 22.708
88.924, 494.792, 95.612, 411.312, 83.48, 22.708
90.924, 494.792, 95.612, 411.312, 83.48, 22.708
90.924, 494.792, 95.612, 411.304, 83.488, 22.708
90.983, 494.792, 95.612, 411.304, 83.488, 22.708
94.918, 494.792, 95.612, 411.304, 83.488, 22.708
99.924, 494.792, 95.612, 411.312, 83.48, 22.708
101.924, 494.792, 95.612, 411.304, 83.488, 22.708
102.913, 494.792, 95.612, 411.312, 83.48, 22.708
104.913, 494.792, 95.612, 411.68, 83.112, 22.708
108.924, 494.792, 95.612, 411.672, 83.12, 22.708
110.924, 494.792, 95.612, 411.304, 83.488, 22.708
112.924, 494.792, 95.612, 411.312, 83.48, 22.708
113.914, 494.792, 95.612, 411.312, 83.48, 22.708
115.913, 494.792, 95.612, 411.304, 83.488, 22.708
119.924, 494.792, 95.612, 411.304, 83.488, 22.708
